course,type,code,description
accountancy,core,ACC1701,
accountancy,core,MKT1705,
accountancy,core,MNO1706,
accountancy,core,DAO2702,
accountancy,core,DAO2703,
accountancy,core,FIN2704,
accountancy,core,ACC4701,
accountancy,core,ACC2706,
accountancy,core,ACC2707,
accountancy,core,ACC2708,
accountancy,core,ACC2727,
accountancy,core,ACC3702,
accountancy,core,ACC3703,
accountancy,core,ACC3706,
accountancy,core,ACC3727,
accountancy,core,ACC4702,
accountancy,core,ACC4703,
accountancy,elective,ACC2711,
accountancy,elective,ACC2712,
accountancy,elective,ACC3711,
accountancy,elective,ACC3713,
accountancy,elective,ACC3714,
accountancy,elective,ACC3715,
accountancy,elective,ACC3717,
accountancy,elective,ACC4711,
accountancy,elective,ACC4712,
accountancy,elective,ACC4713,
accountancy,elective,ACC4715,
accountancy,elective,ACC4751,
accountancy,elective,ACC4761,
accountancy,elective,ACC4761A,
biomedical_engineering,core,MA1511,
biomedical_engineering,core,CE2407A,
biomedical_engineering,core,CE2407B,
biomedical_engineering,core,MA1513,
biomedical_engineering,core,EG2401A,
biomedical_engineering,core,EG3611A,
biomedical_engineering,core,EG3612,
biomedical_engineering,core,BN1112,
biomedical_engineering,core,BN2104,
biomedical_engineering,core,BN2105,
biomedical_engineering,core,BN2112,
biomedical_engineering,core,BN2201,
biomedical_engineering,core,BN2204,
biomedical_engineering,core,BN2301,
biomedical_engineering,core,BN2404,
biomedical_engineering,core,BN3101A,
biomedical_engineering,core,BN3405,
biomedical_engineering,core,BN3406,
biomedical_engineering,core,BN4101,
biomedical_engineering,core,BN2001,
biomedical_engineering,elective,BN3202,
biomedical_engineering,elective,BN3301,
biomedical_engineering,elective,BN3402,
biomedical_engineering,elective,BN3501,
biomedical_engineering,elective,BN4102,
biomedical_engineering,elective,BN4103,
biomedical_engineering,elective,BN4108,
biomedical_engineering,elective,BN4109,
biomedical_engineering,elective,BN4202,
biomedical_engineering,elective,BN4203,
biomedical_engineering,elective,BN4206,
biomedical_engineering,elective,BN4207,
biomedical_engineering,elective,BN4301,
biomedical_engineering,elective,BN4302,
biomedical_engineering,elective,BN4303,
biomedical_engineering,elective,BN4304,
biomedical_engineering,elective,BN4402,
biomedical_engineering,elective,BN4404,
biomedical_engineering,elective,BN4406,
biomedical_engineering,elective,BN4501,
biomedical_engineering,elective,BN4601,
biomedical_engineering,elective,BN4701,
business_analytics,core,CS1010A,
business_analytics,core,BT1101,
business_analytics,core,IS1108,
business_analytics,core,MA1521,
business_analytics,core,MA1522,
business_analytics,core,BT2101,
business_analytics,core,BT2102,
business_analytics,core,CS2030,
business_analytics,core,CS2040,
business_analytics,core,IS2101,
business_analytics,core,ST2334,
business_analytics,core,BT3103,
business_analytics,core,IS3103,
business_analytics,core,BT4103,
business_analytics,core,BT4101,
business_analytics,elective,IE3120,
business_analytics,elective,IS3150,
business_analytics,elective,IS3240,
business_analytics,elective,BT4013,
business_analytics,elective,BT4016,
business_analytics,elective,BT4211,
business_analytics,elective,BT4212,
business_analytics,elective,DBA4811,
business_analytics,elective,IS4241,
business_analytics,elective,IS4242,
business_analytics,elective,IS4250,
business_analytics,elective,IS4262,
business_analytics,elective,BT3017,
business_analytics,elective,BT3102,
business_analytics,elective,BT3104,
business_analytics,elective,CS3243,
business_analytics,elective,CS3244,
business_analytics,elective,CS4248,
business_analytics,elective,BT4012,
business_analytics,elective,BT4015,
business_analytics,elective,BT4221,
business_analytics,elective,BT4222,
business_analytics,elective,BT4240,
business_analytics,elective,BT4241,
business_analytics,elective,ST4245,
business_analytics,elective,IS3107,
business_analytics,elective,IS3221,
business_analytics,elective,BT4014,
business_analytics,elective,BT4301,
business_analytics,elective,IS4226,
business_analytics,elective,IS4228,
business_analytics,elective,IS4234,
business_analytics,elective,IS4246,
business_analytics,elective,IS4302,
business_analytics,elective,IS4303,
business_analytics,elective,IS4010,
business_analytics,elective,CP2880,
chemical_engineering,core,CN1101A,
chemical_engineering,core,CE2407A,
chemical_engineering,core,MA1513,
chemical_engineering,core,CN2102,
chemical_engineering,core,CN2103,
chemical_engineering,core,CS1010E,
chemical_engineering,core,MA1511,
chemical_engineering,core,MA1512,
chemical_engineering,core,CN2104,
chemical_engineering,core,CN2109,
chemical_engineering,core,CDE2501,
chemical_engineering,core,EE2211,
chemical_engineering,core,CN2105,
chemical_engineering,core,CN2110,
chemical_engineering,core,CN2111,
chemical_engineering,core,ES2631,
chemical_engineering,core,CN3104,
chemical_engineering,core,CN3105,
chemical_engineering,core,CN3106,
chemical_engineering,core,EG2401A,
chemical_engineering,core,EG3611A,
chemical_engineering,core,CN4119,
chemical_engineering,core,CN4101,
chemical_engineering,core,CN4102,
chemical_engineering,elective,CN4119,
chemical_engineering,elective,CN4201R,
chemical_engineering,elective,CN4203R,
chemical_engineering,elective,CN4205R,
chemical_engineering,elective,CN4215R,
chemical_engineering,elective,CN4221R,
chemical_engineering,elective,CN4227R,
chemical_engineering,elective,CN4240R,
chemical_engineering,elective,CN4248,
chemical_engineering,elective,CN4251,
chemical_engineering,elective,CN5111,
chemical_engineering,elective,CN5191,
chemical_engineering,elective,CN5246,
chemical_engineering,elective,CN5124,
chemical_engineering,elective,CN5205,
chemical_engineering,elective,CN5206,
chemical_engineering,elective,CN5251,
chemical_engineering,elective,EE3331C,
chemical_engineering,elective,ME2142,
chemical_engineering,elective,ME3142,
chemical_engineering,elective,EE3306,
chemical_engineering,elective,ME3163,
chemical_engineering,elective,EE4211,
chemical_engineering,elective,EE4212,
chemical_engineering,elective,EE4302,
chemical_engineering,elective,EE4307,
chemical_engineering,elective,EE4311,
chemical_engineering,elective,EE4312,
chemical_engineering,elective,EE4314,
chemical_engineering,elective,EE4315,
chemical_engineering,elective,ME3242,
chemical_engineering,elective,ME4262,
chemical_engineering,elective,ME4248,
chemical_engineering,elective,ME4246,
chemical_engineering,elective,ME5405,
chemical_engineering,elective,RB4301,
chemical_engineering,elective,CN4218,
chemical_engineering,elective,CN4233R,
chemical_engineering,elective,CN4247R,
chemical_engineering,elective,CN4249,
chemical_engineering,elective,CN5172,
chemical_engineering,elective,CN5173,
civil_engineering,core,CDE2501,
civil_engineering,core,CS1010E,
civil_engineering,core,EG1311BE,
civil_engineering,core,EE2211,
civil_engineering,core,PF1101A,
civil_engineering,core,MA1511,
civil_engineering,core,MA1513,
civil_engineering,core,CE2407A,
