module_code,module_title,module_type,relevance_score,breadth_score,max_similarity,num_matching_jobs
ACC1701,The course provides an introduction to accounting ,core,0.20704554472731992,953,0.5926702908784907,953
MKT1705,"This course is designed to provide knowledge, tech",core,0.23976361784828393,1309,0.6026283301727597,1309
MNO1706,This course is designed to introduce students to h,core,0.22123631853167483,1302,0.4451764578181278,1302
DAO2702,Data Science involves both a theoretical foundatio,core,0.1307491192493495,238,0.49847375893933527,238
DAO2703,This course provides an introduction to the substa,core,0.24375478868625555,1464,0.6159621053448444,1464
FIN2704,This course helps students to understand the key c,core,0.2512791646057433,1541,0.635490504532092,1541
ACC4701,This is a capstone course that to some extent mirr,core,0.2963526533797489,1814,0.6597692205256274,1814
ACC2706,"This course covers major concepts, tools and techn",core,0.2047838460061377,983,0.5961108566183386,983
ACC2707,The course covers financial accounting at an inter,core,0.1734484665474745,599,0.5453108459878171,599
ACC2708,The course covers financial accounting at an inter,core,0.19316583991450686,812,0.5550290453169673,812
ACC2727,,core,0.06719457470500793,52,0.29305139266215535,52
ACC3702,The primary aim of this course is to develop an ap,core,0.21192300605615677,1085,0.5347822012362257,1085
ACC3703,This course introduces students to the basic conce,core,0.22072064656776097,1142,0.6686463731410925,1142
ACC3706,The course covers corporate governance from a mult,core,0.2126446274883696,1109,0.6055513448055369,1109
ACC3727,,core,0.06719457470500793,52,0.29305139266215535,52
ACC4702,The course covers financial accounting at an advan,core,0.2099803424222428,1001,0.5802573710953981,1001
ACC4703,This course equips students with an understanding ,core,0.16351221344815173,569,0.46374789348002304,569
ACC2711,In this course we examine how companies are using ,elective,0.13962336864961952,364,0.4429374238035305,364
ACC2712,This course builds on the foundation laid by ACC17,elective,0.21053699779738314,1020,0.6833513870993964,1020
ACC3711,The course examines various means by which control,elective,0.21723660827513772,1160,0.5770471680289443,1160
ACC3713,Accounting Theory,elective,0.16449678710568957,570,0.5390004651728093,570
ACC3714,This course aims to equip students with the essent,elective,0.1887028685704492,806,0.5610329660793866,806
ACC3715,This course focuses on descriptive analytics and v,elective,0.15416915119417432,465,0.5700617106036798,465
ACC3717,This course provides a comprehensive understanding,elective,0.14371982124450214,396,0.48688099205477137,396
ACC4711,This course provides students with a foundation in,elective,0.19691254515295442,977,0.5808304135521114,977
ACC4712,It is designed to broaden the career prospects of ,elective,0.2029249380656532,963,0.5839352587926897,963
ACC4713,"This course equips students with internal audit, r",elective,0.23714133679094368,1307,0.6570034493023933,1307
ACC4715,Accounting theory is a body of rules and theories ,elective,0.13451224469330217,339,0.5570492480516454,339
ACC4751,Advanced Independent Study Courses (ISCs) are for ,elective,0.16731376670732714,521,0.4698144929455583,521
ACC4761,Depending on the expertise available in particular,elective,0.16673996888216067,543,0.49836087542456853,543
ACC4761A,"Internal auditing helps the Board of Directors, Au",elective,0.2360201929216683,1378,0.6475951995439503,1378
