module_code,module_title,module_type,relevance_score,breadth_score,max_similarity,num_matching_jobs
MA1511,This is a seven-week course specially designed for,core,0.12471555321907163,806,0.39370085519809855,806
CE2407A,Many engineering problems involve natural processe,core,0.11111144065959226,643,0.4047731587598277,643
CE2407B,This course is designed to equip engineering stude,core,0.06294916746679309,335,0.30690377678661945,335
MA1513,This is a seven-week course specially designed for,core,0.12373367193477121,744,0.377905401747228,744
EG2401A,This course aims to alert and sensitise students o,core,0.24632100265223394,1572,0.4977514685523603,1572
EG3611A,This internship course is for B.Eng. degree with a,core,0.27776384445854924,1571,0.5369468835806845,1571
EG3612,This internship course is for students who are adm,core,0.29814731993142773,1584,0.5736322174742183,1584
BN1112,,core,0.06830516400459909,301,0.29305139266215535,301
BN2104,,core,0.06830516400459909,301,0.29305139266215535,301
BN2105,What happens to a medical device once its design h,core,0.19944798063270447,1286,0.6222042681206961,1286
BN2112,,core,0.06830516400459909,301,0.29305139266215535,301
BN2201,This module provides students interested in bioeng,core,0.1161391681132151,661,0.4006569521574607,661
BN2204,The course introduces students to the fundamentals,core,0.11120784871532864,669,0.3982639546721335,669
BN2301,This course introduces biomedical engineering stud,core,0.046729156133096306,173,0.46432182069848266,173
BN2404,,core,0.06830516400459909,301,0.29305139266215535,301
BN3101A,"In this module, students will be provided with an ",core,0.14056753756204834,865,0.4531650071343828,865
BN3405,,core,0.06830516400459909,301,0.29305139266215535,301
BN3406,,core,0.06830516400459909,301,0.29305139266215535,301
BN4101,This course consists mainly of a research-based pr,core,0.19594641061845225,1426,0.5510036413211198,1426
BN2001,This module encourages students to become independ,core,0.12408137976681978,809,0.4034832818460932,809
BN3202,The course aims to introduce students to the princ,elective,0.10476209027189086,627,0.4911919485455765,627
BN3301,The objective of this course is to give students a,elective,0.09874369675074605,583,0.4506024037970099,583
BN3402,The course adopts a holistic analysis approach and,elective,0.041666944753373604,103,0.4270201954117544,103
BN3501,This course is designed to impart fundamental conc,elective,0.013334119995990183,45,0.3002547652181907,45
BN4102,This course introduces BME students to various hea,elective,0.1339642630425047,892,0.42002820974231064,892
BN4103,This course introduces students to various assisti,elective,0.12353637399935263,797,0.5086449848699737,797
BN4108,This course exposes students to the realities of h,elective,0.2238226034427332,1431,0.6134601970388075,1431
BN4109,The course comprises topical materials of a specia,elective,0.2309475553350272,1556,0.4681498401274229,1556
BN4202,This course introduces fluid dynamic principles an,elective,0.10564116336411976,549,0.4487313472451738,549
BN4203,The objective of this course is to introduce stude,elective,0.08934823662936363,503,0.4675485970032258,503
BN4206,The use of mathematical and computational techniqu,elective,0.04940596708690858,214,0.345797842457023,214
BN4207,,elective,0.06830516400459909,301,0.29305139266215535,301
BN4301,The course aims to provide the students with the b,elective,0.17044261284252718,1213,0.5272428393541154,1213
BN4302,Cell and tissue bioengineering plays a crucial rol,elective,0.01721950679295862,40,0.36493171863580814,40
BN4303,"Over the past decade, meat alternatives have garne",elective,0.03615973722007153,125,0.3492179610291616,125
BN4304,Gene and cell therapies are transforming the ways ,elective,0.1266266606199248,824,0.5316822673404757,824
BN4402,This course aims to provide a basic foundation int,elective,0.014942690247082599,47,0.1974441633219184,47
BN4404,This course introduces the concept of biomedical m,elective,0.046116581229241865,223,0.3509916211011487,223
BN4406,The purpose of this course is to introduce the pri,elective,0.01912312432858796,92,0.35960633208465503,92
BN4501,This course introduces engineering students to Eng,elective,0.05127491090422851,198,0.35094629511082204,198
BN4601,The course ‘Intelligent Medical Robotics’ will cov,elective,0.13738874269277107,926,0.4396648779166684,926
BN4701,A serious game (SG) is carefully designed to achie,elective,0.07376923169748213,406,0.37775749020772253,406
