module_code,module_title,module_type,relevance_score,breadth_score,max_similarity,num_matching_jobs
CDE2501,The course introduces students to how cities are g,core,0.1946282314012135,1728,0.48484069146478503,1728
CS1010E,This course introduces the fundamental concepts of,core,0.17235803938888827,1395,0.5421626760466527,1395
EG1311BE,,core,0.06686568307354998,170,0.33584688635961135,170
EE2211,This course introduces students to various machine,core,0.15559193713116057,1050,0.49582645846958273,1050
PF1101A,The course covers the fundamental principles of pr,core,0.25520940879752163,2202,0.6834613673639234,2202
MA1511,This is a seven-week course specially designed for,core,0.1232204501292403,653,0.39370089094437155,653
MA1513,This is a seven-week course specially designed for,core,0.12126525245119936,714,0.40221812001399343,714
CE2407A,Many engineering problems involve natural processe,core,0.1091015507719727,728,0.4047731587598277,728
CE2407B,This course is designed to equip engineering stude,core,0.06129119471766131,270,0.30690379696427894,270
EG2401A,This course aims to alert and sensitise students o,core,0.2449715905751586,2561,0.49775149550915754,2561
EG3611A,This internship course is for B.Eng. degree with a,core,0.2758401965342284,2582,0.5369468042381932,2582
CE1109,This course introduces students to the fundamental,core,0.09554385102487883,553,0.4000153955901065,553
CE2112,This is an introductory course in soil mechanics a,core,0.11047655394306113,575,0.5372824121117361,575
CE2155,This course equips students with knowledge and ski,core,0.15706146249649938,970,0.5929881937267228,970
CE2134,The first part introduces students to the basic co,core,0.1377082131889594,825,0.49677323710945676,825
CE3115,This is an introductory course on the stability as,core,0.02301292867754528,159,0.40048858992708497,159
CE3116,This is an introductory module in foundation engin,core,0.13912227186053852,746,0.5518030191649692,746
CE3121,This course introduces basic principles and tools ,core,0.18284983785101164,1422,0.4871017187303007,1422
CE3132,This course introduces the basic principles of sur,core,0.10804442701740131,438,0.44464980456268227,438
CE3155A,This course covers the fundamentals of structural ,core,0.16625809752268772,1100,0.5848619606655089,1100
CE3155B,Students will learn the methods and principles of ,core,0.1567266188867344,1013,0.5577635510771205,1013
CE3165,This course equips students with knowledge and ski,core,0.19511417049568858,1443,0.6409501476106989,1443
CE3166,The primary objective of this module is to equip u,core,0.19075191123310706,1479,0.6301610739548711,1479
