title,skill_votes,skill_coverage,semantic_avg_similarity,best_matching_module,description
Principal Data Scientist (Aerospace),12,24.489795918367346,0.34870387674052994,DSA4262 - Sense-making Case Analysis: Health and Medicine,"Responsibilities: Lead and collaborate with data scientists and analysts to drive innovation, knowledge sharing, and continuous improvement. Design, develop, and deploy robust analytical and machine learning models using advanced statistical techniques. Partner with business and technical stakeholders to identify key challenges and translate them into data-driven solutions. Develop dashboards and data visualisations to effectively communicate insights to technical and non-technical audiences. Stay current with emerging data science trends, tools, and methodologies, applying relevant advancements where appropriate. Contribute to the establishment and enhancement of data governance, data quality, and analytics best practices. Requirements Master’s degree or PhD in Data Science, Statistics, Machine Learning, Computer Science, or a related quantitative discipline. Significant hands-on experience in data science or advanced analytics roles, preferably within complex engineering or operational environments. Strong proficiency in Python and/or SQL, with experience using machine learning libraries and frameworks. Demonstrated ability to manage multiple projects concurrently and deliver high-quality outcomes in a fast-paced setting. Strong analytical and problem-solving skills, with the ability to interpret and extract insights from complex datasets. Excellent communication and stakeholder engagement skills, with the ability to explain technical concepts clearly to non-technical audiences. Familiarity with enterprise systems (e.g. PLM, MES, MRO) and cloud platforms such as AWS will be advantageous. To submit your application, please apply online to apply@rn-care.com or call +(65) 6513 5697 for private and confidential discussion. Your interest will be treated with the strictest of confidence. We regret that only shortlisted candidates will be notified or contacted. RN Care Pte. Ltd EA License No: 17C8900"
Data Scientist,12,24.489795918367346,0.32250349370407017,DSA4265 - Sense-making Case Analysis: Economics and Finance,"Data Scientist (Hong Kong) Our Client is a global quantitative and systematic
investment manager, operating in all liquid asset classes across the world. They
are a technology and data driven group implementing a scientific approach to
investing. Combining data, research, technology, and trading expertise has
shaped their collaborative mindset which enables them to solve the most complex
challenges. Their culture of innovation continuously drives their ambition to
deliver high quality returns for their investors. They are looking for an exceptional Data Scientist to join the
Data Search & Analytics team. In this role, you will work between the
Research and Trading desks, and the Engineering team to ensure the successful
leveraging of data at the firm. Your future role This team is integral to the firm’s success. As such, your
responsibilities will include: Collaborating
     with Quantitative Researchers and Traders to design datasets that drive
     systematic strategies and to inform discretionary trading decisions Prototyping
     and designing code to extract, clean, and aggregate data from a wide range
     of raw sources and formats Working
     with Engineers to automate and optimise your code, ensuring robust data
     extraction processes Managing
     the end-to-end process of onboarding new datasets Proactively
     solving data related problems to minimise time to production Innovating
     and experimenting with novel data extraction methods to enhance the firm’s
     data onboarding toolkit Your present skillset 3+
     years of experience as a Data Scientist (or similar position); experience
     in a buy-side quantitative finance role is advantageous Postgraduate
     degree in a quantitative discipline such as Mathematics, Physics or
     Engineering. Advanced
     programming experience in Python, including proficiency with data handling
     libraries such as Pandas and NumPy Demonstratable
     interest in financial markets and the application of data in its analysis
     and understanding Experience
     working with both traditional and alternative financial datasets Excellent
     communication skills, with the ability to effectively collaborate with all
     stakeholders, including researchers, traders, engineers, management, and
     external vendors Ability
     to work in a high-performance, high-velocity environment"
Data Analyst,12,24.489795918367346,0.2992089301675929,DSA4263 - Sense-making Case Analysis: Business and Commerce,"CCS is looking for a highly motivated Data Analyst. This role is
critical in transforming data into actionable insights that drive business
decisions. The successful candidate will be responsible for reporting, trend analysis, and collaborating with stakeholders to deliver data-driven solutions. Key Responsibilities Utilize Python for data processing, automation, and advanced analytics. Develop and maintain reports and dashboards using Power BI. Perform trend analysis and identify patterns to support strategic initiatives. Present findings and recommendations to management in a clear, concise, and impactful manner. Required Skills & Qualifications Strong proficiency in Python for data manipulation and analysis. Expertise in Power BI for visualization and reporting. Solid understanding of trend analysis, statistical methods, and data modeling. Excellent communication skills to convey complex data insights effectively."
Lecturer (NUS College),11,22.448979591836736,0.35405257937205337,DSA4266 - Sense-making Case Analysis: Science and Technology,"Interested applicants are invited to apply directly at the NUSCareer Portal Your application will be processed only if you applyvia NUSCareer Portal We regret that only shortlisted candidates will be notified. Job Description NUS College is the honours college of the National University of Singapore. Our focus is a rigorous and stimulating interdisciplinary education designed to help students cultivate the necessary skills to work effectively across boundaries, We plan to hire a dedicated individual  to fill a Lecturer’s position.  This is a full-time position that includes opportunities for pedagogical research funding and for promotion to an Associate Professor on the NUS Educator Track. The primary responsibility is to offer our mandatory courses, to which you will be expected to bring your own academic and intellectual expertise. Duties & Responsibilities For a start, you will be expected to offer the following, Computational Problem Solving (NPS2001) The CPS is a common curricular course designed to introduce NUS College students to the fundamental concepts, computational tools and techniques necessary to solve complex problems. The focus is on computer science and information technology, but course objectives are more general in nature, with the goal of developing essential skills for approaching and understanding new technology to critically assess potential benefits and risks. By having a comprehensive understanding of the potential of new technologies, students will be able to formulate a problem, outline potential technological solutions and set up a team to implement the solutions that can help achieve project goals. Impact Experience Project (NEP3001) The Impact Experience (IEx) is a eight-unit capstone course that all NUS College students will have to undertake for two years. Students will work in interdisciplinary teams to collaborate with non-profit partners and innovate future solutions for the benefit of communities and society in Southeast Asia, including Singapore. Each team of 6-7 students is supervised by a lecturer who specializes in the area they are working with. Students would choose to work with lecturers clustered into three broad areas: Science and Technology, Arts and Design, Civic and Community. Applicants from any field representing the Computer Sciences are welcome to apply for this position. We are interested in candidates whose work is cross-disciplinary and can be applied to better understand and tackle social, environmental and technological problems in the Singaporean context. The selected candidate's primary responsibility will be to teach the CPS together with other course instructors to ensure that students have a common curricular experience while allowing for individual instructor creativity in their seminars. Applicants should demonstrate their ability to teach such a course by providing evidence of teaching interdisciplinary computing courses in the university. The other responsibility will be to supervise IEx student teams working on projects that involve computing for social good. Successful candidates are expected to offer 2-3 sections of Computational Problem Solving in the academic year, an elective of their own design, supervise 3-6 IEx teams, and take on a small supervision load of independent study modules. Qualifications Candidates must hold a PhD. Remuneration and benefits are highly competitive on the global research university level. Expatriate benefits may include travel assistance from overseas and limited housing benefits. Appointments begin at the level of Lecturer on the Educator Track. Although the NUS Educator Track is not a tenurable line, it offers a pathway to promotion to Associate Professorship on an open contract (and beyond), as well as opportunities for pedagogical research funding, including overseas research and conference travel. The contract is for three years in the first instance and is renewable subject to good performance. Interested applicants should prepare and submit the following documents when they apply: •    A cover letter, clearly specifying which position they are applying for. •    CV: An abridged CV (5-page maximum), including details on education, employment history, past experience of teaching and supervision, research activities (including publications) and achievements, honours and awards, and service accomplishments. •    Qualifications: Include scanned copies of academic degrees. •    Teaching Portfolio: o    A Teaching Statement that commences with a preface (maximum 300 words) that makes the case for  appointment. This should be a highly distilled summary of key contributions to student learning and, if applicable, educational leadership, guided by your teaching philosophy. The rest of the Statement, of not more than 2,000 words, should outline your teaching philosophy and your educational contribution across multiple dimensions and roles. Please include evidence on how you have impact students' learning  experience and outcomes as well as how you have influenced peers and the community. o    Teaching evaluations and peer review reports, if available. Other evidence of teaching excellence and/or other contributions to education, e.g., curriculum development, pedagogical innovation etc., should also be provided. •    A proposal, of not more than 500 words, describing a prospective syllabus for the target course. •    A statement, of not more than 500 words, highlighting how you plan to contribute to pedagogical innovation and/or advance interdisciplinary honours education at NUSC. •    FOUR referees' letters (one of whom must be the applicant's PhD supervisor). Interviews will normally be conducted online. Only shortlisted applicants will be notified. More information about NUSC and our curriculum can be found on our website: https://nuscollege.nus.edu.sg/ Additional information about Academic Appointments at NUS can be found here: https://www.nus.edu.sg/careers/"
Research Assistant (12-Month Contract | SGD 3000 - SGD 3100) – JO 27772,11,22.448979591836736,0.3000133088429927,DSA4262 - Sense-making Case Analysis: Health and Medicine,"Key Highlights : Office Hours: Monday-Friday Nearest MRT: Caldecott Station Be a part of a data-driven team to support frontline programmes with visual insights. Key Responsibilities: Extract, locate and convert information from structured and unstructured sources (e.g., case notes, reports, session logs, genograms) into predefined structured data fields. Clean and process datasets for analysis using Excel and related tools. Produce visualisations (charts, tables) for operational reporting and stakeholder briefings. Contribute to data-driven process improvements and help identify opportunities to automate/manual workflow efficiencies. Maintain strict confidentiality and comply with data-protection practices when handling sensitive records. Provide general administrative support and ad-hoc data tasks as assigned by the team lead. Key Requirements: Holder (Bachelor’s Degree) Minimum 1 year relevant experience in data processing, data entry, analytics, or related administrative work. Advanced Excel skills (data cleaning, PivotTables, basic formulae). Experience with Power BI, Tableau, SQL, or Python is advantageous. Strong attention to detail, methodical approach, and ability to work with sensitive information. Good written and spoken English; clear communication and stakeholder engagement skills. Able to work independently and collaboratively in a team environment. Only shortlisted candidates are notified. Thank you. By submitting your resume or personal data, you consent to BGC Group Pte Ltd collecting, using, and disclosing your personal data to our clients and partners for the purpose of evaluating your suitability for job opportunities and related recruitment services. You acknowledge that you have read, understood, and agree to our Privacy Policy for Job Applicants, available at https://bgc-group.com/notice-for-job-applicants. BGC Group Pte Ltd (Outsourcing) EA 05C3053"
Analyst (Talend Data Integration & Informatica BDM),11,22.448979591836736,0.264348556184301,DSA4263 - Sense-making Case Analysis: Business and Commerce,"Job Summary We are seeking a Data Integration Analyst to generate and operationalize insights from diverse data sources, supporting key stakeholders through comprehensive data lifecycle management and data supply chains. You will extract, normalize, and transform data to deliver actionable business and performance insights via dashboard visualizations. Responsibilities Extract, normalize, and transform data from multiple sources to support business and performance insights Build and maintain complex SQL queries and data pipelines to ensure reliable data flow and accessibility Develop compelling and user-friendly data visualizations using commercial and/or open-source BI tools to communicate insights effectively Code in Python, R, or similar scripting languages to operationalize analytics workflows and automate data processes Collaborate with stakeholders to understand core business objectives and design end-to-end data-centric solutions that address their needs Apply critical thinking and analytical problem-solving skills to identify data issues and optimize data integration processes Maintain high attention to detail to ensure data accuracy and integrity throughout the data lifecycle Continuously develop expertise within your area of responsibility by staying current with emerging market offerings and technologies Required competencies and certifications Proficiency in SQL for building and maintaining complex queries and data pipelines Experience building data visualizations and analytics using commercial and/or open-source BI tools Coding capability in Python, R, or similar scripting languages to operationalize analytics workflows Minimum 1-2 years of experience in data analysis and visualization Preferred competencies and qualifications Undergraduate or graduate degree in Computer Science or equivalent Experience with Amazon Web Services, Cloudera, or other cloud services Data pipeline and/or database development experience Knowledge of statistical modeling, predictive analytics, or machine learning Certification in leading data analytics platforms such as Tableau, Qlik, MicroStrategy, Informatica, Talend, Microsoft SAS, or IBM Work Location Depot Road"
Data Analyst - Talend Data Integration & Informatica BDM,11,22.448979591836736,0.24970546917610667,DSA4263 - Sense-making Case Analysis: Business and Commerce,"We are looking for a data analyst to generate and operationalize insights from numerous data sources in support of key stakeholders. You will perform a variety of duties around data lifecycle management and data supply chains, related to sourcing, analysing, and presenting data. As part of this, you will extract, normalise, and transform data for derivation of business and performance insights through dashboard visualizations. A successful Data Integration Analyst possesses strong analytical problem-solving skills, excellent attention to detail, and a
passion for all things data. Responsibilities: -       Ownership within area of responsibility and scope of services focused on outcomes to deliver high quality, dependable, cost effective solutions for our customers. Lead, make decisions, and take actions. -       Responsible for the currency of the documentation and automation in area of responsibility. -       Accountablefor adherence to standards, controls, processes and procedures in Security, Service Control & Service Management, with operational discipline and successful outcomes. -       Dive into company data to identify sources and features that will drive business objectives. -       Work with data engineering team to rationalize the data warehouse throughout the data lifecycle from source to analysis to modelling. -       Work closely with project manager and technical leads to provide regular status reporting and support them to refine issues/problem statements and propose/evaluate relevant analytics solutions -       Bring your experience and ideas to effective and innovative engineering, design and strategy -       Work in interdisciplinary teams that combine technical, business and data science competencies that deliver work in waterfall or agile software development lifecycle methodologies Requirements: Must-have: -       Prior experience building compelling and usable data visualizations and analytics with commercial and/or open source BI tools -       SQL proficiency necessary to build and maintain complex queries and data pipelines -       Python/R (or similar scripting language) coding capability to operationalize data analytics workflows & processes -       1-2 years of experience in data analysis and visualization -       Undergraduate or graduate degree in Computer science or equivalent -       Good communications skills to understand our customers' core business objectives and build end-to-end data centric solutions to address them -       Good critical thinking and problem-solving abilities -       Expected to grow your skills and capabilities by becoming a SME within area of responsibility and scope of services and staying current on the new and emerging market offerings/technologies. Nice to have: -       Experience with Amazon Web Services, Cloudera (or other cloud services) -       Data pipeline and/or database development experience -       Knowledge of statistical modelling, predictive analytics or machine learning -       Certification in leading data analytics platforms such as: - Tableau, Qlik, Microstrategy, Informatica, Talend, Microsoft, SAS, IBM Interested candidates may send their CV to MAC (Reg No. R1221300) at anc1@anchorsearchgroup.com quoting the job title in the Subject line. We regret that only shortlisted candidates will be notified."
INFORMATION TECHNOLOGY CONSULTANT,11,22.448979591836736,0.3035075474705115,DSA4263 - Sense-making Case Analysis: Business and Commerce,"Responsibilities · Design, build, and maintain efficient and scalable ETL (Extract, Transform, Load) data pipelines to support analytics and reporting use cases. · Develop and manage core data infrastructure including data lakes, data warehouses, and databases . · Integrate structured and unstructured data from various sources into unified datasets to support enterprise reporting, dashboards, and advanced analytics. · Optimize data workflows for performance, scalability, and reliability . · Collaborate with data analysts, data scientists, and business users to understand requirements and ensure data solutions meet their needs. · Monitor and troubleshoot pipeline failures and performance issues, ensuring timely resolution. · Document data flows, processes, and system configurations in accordance with governance standards. Skills/Requirement · Strong SQL skills and experience with relational databases (e.g., PostgreSQL, MySQL, SQL Server). · Experience with data pipeline tools and frameworks (e.g., Apache Airflow, DBT, Luigi). · Proficiency in programming languages such as Python, Java, or Scala. · Experience with big data technologies (e.g., Hadoop, Spark). Interested candidates, who wish to apply for the above position, please send in your resume to: ansari.abdulrahman@persolapac.com PERSOL Singapore Pte Ltd EA License No. 01C4394 EA Reg No: R23118975 (ABDUL RAHMAN ANSARI RAJA) We regret to inform you that only shortlisted candidates will be contacted. ********************************** This is in partnership with Employment and Employability Institute Pte Ltd (“e2i”). e2i is the empowering network for workers and employers seeking employment and employability solutions. e2i serves as a bridge between workers and employers, connecting with workers to offer job security through job-matching, career guidance and skills upgrading services, and partnering employers to address their manpower needs through recruitment, training, and job redesign solutions. e2i is a tripartite initiative of the National Trades Union Congress set up to support nation-wide manpower and skills upgrading initiatives. By applying for this role, you consent to e2i’s PDPA . By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOL Singapore Pte Ltd and its affiliates to collect, use and disclose your personal data for the purposes set out in the Privacy Policy available at https://www.persol.com.sg/policies . You acknowledge that you have read, understood, and agree with the Privacy Policy. **********************************"
Junior Data Analyst (Databricks),11,22.448979591836736,0.3042180377336078,DSA4263 - Sense-making Case Analysis: Business and Commerce,"InfoCepts is a global leader of end-to-end data & analytics solutions with nearly 20 years of experience, also named as Gartner’s 2020, 2021 and 2022 customers’ choice for Data & Analytics providers. We continue to grow rapidly year over year, now employing more than 1,200 people in offices across the globe. As we have grown, we have stayed true to our mission—to always help our customers stay modern that help them make smart, data-driven decisions. Since 2004, we have deployed hundreds of high performance analytics applications over web and mobile platforms, built several advanced analytics models, processed petabytes of data using Big Data technologies and delivered several high impact business solutions. Driven by our vision of delivering great customer experiences, we are looking for professionals who are passionate about making the world a better place by leveraging the power of data. We are hiring aspiring / proven data analyst to join us. Roles and Responsibilities: Design, build, and maintain interactive dashboards and reports Develop and optimize SQL queries to extract, transform, and analyze data from various data sources Perform data analysis and automation using Python Collaborate with business stakeholders to gather, understand, and document reporting and analytics requirements Translate business requirements into technical specifications and BI solutions Ensure data accuracy, consistency, and performance across dashboards and reports Support data validation, testing, and ongoing enhancement of BI assets Provide insights and recommendations based on data analysis to support business objectives Maintain documentation for dashboards, data models, and reporting logic Skills Required: Bachelor’s degree in Computer Science, Engineering, or a related field (or equivalent work experience). Open to fresh graduates with relevant internship experience Experience in Databricks Experience in Tableau/PowerBi dashboard development Strong proficiency in SQL for data querying and analysis Working knowledge of Python for data analysis and automation Experience in requirements gathering and stakeholder engagement Ability to translate business questions into data-driven solutions Strong analytical and problem-solving skills"
Senior Data Consultant,11,22.448979591836736,0.2678529536781194,DSA4263 - Sense-making Case Analysis: Business and Commerce,"Senior Data Consultant ABOUT US Syniti , part of Capgemini, tackles the hardest work in data for the world’s largest organizations. We combine intelligent software with deep data expertise to help the Fortune2000 tackle complex data challenges and drive measurable business outcomes with business-ready data. Syniti’s Data First strategy transforms data from an afterthought into a strategic asset—unlocking insights, reducing risk, and fueling growth. With over 5,000 successful projects, we support the full data lifecycle through a unified platform for migration, quality, replication, matching, master data management, analytics, governance, and strategy. Operating globally across industries, Syniti’s award-winning software, expert consultants give enterprises a unique edge in managing and maximizing their data. THE ROLE We are recruiting talented and motivated individuals to join our team delivering data projects for clients across the globe. As a Senior Data Consultant at Syniti, you will work closely with functional consultants and key customer resources, gathering requirements, building conversion objects, and driving independent value through all data project phases. You will comfortably use your data skills and the Syniti data management platform to assess and iterate through design, build and deployment, ensuring that the highest customer value is derived from your assigned objects. As a member of a Syniti Data Migration team, you will execute against the best practices for successful business transformation and become skilled in the strongest platform to meet all of our customer’s needs. WHAT YOU WILL DO After an initial training period, a Senior Consultant will be expected to: • Apply Syniti’s data migration methodology and development standards across projects. • Develop and maintain data migration rules, transformation logic, reports, and data load programs using Syniti tools. • Execute end-to-end data loads, reconciliations, and cutover activities for assigned functional areas. • Analyze and validate source and target data structures, supporting data cleansing and issue resolution with business data owners. • Contribute to data migration design through data analysis, reporting, and collaboration with Syniti and client teams. • Participate in Business Blueprint workshops and facilitate data mapping sessions. • Maintain clear documentation and communicate progress, risks, and status to Syniti leadership and customer PMO. • Act as a functional/technical SME, collaborating with other process teams to identify and resolve cross-team data issues. WHAT IT TAKES • Degree level qualification in Computer Science (or other technology-related field) • Experience in ETL / Data Migration • Functional and technical ERP/SAP experience • Project experience across multiple ERP implementations • Database experience - SQL Server, Oracle etc. • Customer-facing skills • Excellent written and verbal communication skills • Willingness to travel according to project requirements up to 100% • Syniti ADM experience would be an advantage Be fully aligned with our core values: Think Big - Be courageous and bold. Aspire to greatness. Relentlessly pursue market innovation. Set the standard by which others follow. Create solutions that have a meaningful impact. Solve the challenges our customers don’t know they have. Be Curious - Be a lifelong learner. Seek out new ideas to serve customers. Understand our competition and the world. Be permanently dissatisfied with the status quo. Challenge preconceptions. Focus on the future rather than yesterday. Take Action - Be the first. Don’t wait. Take accountability. Inspire others by doing. Fail fast and learn from mistakes. Make a difference every day. Stronger Together - Respect, trust and look out for each other. Celebrate diverse perspectives. Listen. Build connections and belonging. Act with integrity. Give back. One Syniti family. WHAT WE OFFER Trust that you are proficient at what you do. At Syniti, you will find a supportive environment and access to learning tools, but micromanagement is not our thing. Growth. We are growing rapidly and steadily solving the biggest challenges enterprise companies are faced with today. There was never a better time to join and grow with us. Most importantly, you will have the chance to shape our journey and share in our success story. Support. We all rely on each other and enable each other to be successful. You won’t stand alone. Curiosity and genuine interest in you. We all have our different stories, all equally fascinating, with each depicting a different journey, and we want to hear them all. Recognition. We are the sum of individual achievements, and we always take the time to celebrate them. An open organisation. Hierarchies are not our thing, and access is something we make sure of across the board. We are a family where everyone is just as important, everyone’s work is seen, and ideas are valued. OUR COMMITMENT TO INCLUSION At Syniti, we’re committed to creating a respectful, inclusive, and fair workplace where everyone belongs and thrives. We believe that diverse perspectives make us stronger — and we value the unique backgrounds, experiences, and voices each person brings to our team. We welcome applicants based on their skills and potential, and we’re dedicated to ensuring equal opportunities for all, regardless of personal background. If you need accommodations during the hiring process, please let us know — we’re here to support you."
