module_code,module_title,module_type,relevance_score,breadth_score,max_similarity,num_matching_jobs
LAD1001A,This studio-based course provides a comprehensive ,core,0.08298458943646045,432,0.4474076884908,432
LAD1003,This course introduces the profession of landscape,core,0.14297514987178636,1014,0.5598759349053265,1014
DTK2234,This course explores advanced design thinking stra,core,0.1131091121205151,773,0.48121395211866946,773
AR2524,Spatial Computational Thinking is increasingly bei,core,0.07196056001186951,428,0.42640412424375534,428
LAD1005,As the second of two bachelor-level core studios i,core,0.12638303784928942,798,0.4955284684290122,798
LAD2003,This course develops students’ technical ability t,core,0.18031866403077512,1427,0.5555529580157892,1427
LAD2008,,core,0.06728887150780773,233,0.33584688635961135,233
EG1311,This course covers the fundamentals of engineering,core,0.20341811134383014,1697,0.5702484495943374,1697
EG1311BE,,core,0.06728887150780773,233,0.33584688635961135,233
LAD2006,This course applies principles of landscape design,core,0.15312717028698988,1100,0.5422374442067466,1100
LAD2004,The urban environment presents very different cond,core,0.08643243000605842,368,0.4573968894247322,368
LAD2010,,core,0.06728887150780773,233,0.33584688635961135,233
CDE2212,This module introduces you to applications of Arti,core,0.1442127423037298,942,0.4684592340941766,942
LAD2007,This course applies principles of landscape design,core,0.119073901153946,721,0.45202195594514283,721
LAD2009,,core,0.06728887150780773,233,0.33584688635961135,233
LAD2005,This course provides an understanding of the basic,core,0.1451596244878739,1039,0.4630686276513341,1039
LAD3001,This course continues to develop a level of compet,core,0.14375122455901454,996,0.4913733107335174,996
CDE2501,The course introduces students to how cities are g,core,0.19438743662887714,1810,0.46172892608459637,1810
LAD3003,The course will provide informative knowledge on h,core,0.20713320079263747,1781,0.5879266280739236,1781
LAD3005,The internship programme aims to provide opportuni,core,0.2611327656544166,2413,0.5305090241585712,2413
LAD4005,This course will involve a critical and thorough d,core,0.1608177760239337,1203,0.5066349574482352,1203
LAD3002,This course continues to develop a level of compet,core,0.14599331982102584,1001,0.47516381443038036,1001
PF1101A,The course covers the fundamental principles of pr,core,0.25477188358066954,2134,0.6834613673639234,2134
LAD4008,The course develops higher level skills in landsca,elective,0.1430486034285082,1015,0.46614308588357434,1015
LAD4010,This studio-based course develops an appreciation ,elective,0.1247933897988205,809,0.4541990469074143,809
LAD4003,This course consists of two parts. The first part ,elective,0.17229380521565094,1271,0.5797326749770012,1271
