module_code,module_title,module_type,relevance_score,breadth_score,max_similarity,num_matching_jobs
ACC1701,The course provides an introduction to accounting ,core,0.20835889036377434,954,0.5450173327839384,954
MKT1705,"This course is designed to provide knowledge, tech",core,0.2418360847832743,1021,0.6026282945767036,1021
MNO1706,This course is designed to introduce students to h,core,0.22415076539098294,1100,0.44517631935470925,1100
DAO2702,Data Science involves both a theoretical foundatio,core,0.1317038321519611,405,0.4984736919136743,405
DAO2703,This course provides an introduction to the substa,core,0.244026019410513,1062,0.6159621820410811,1062
FIN2704,This course helps students to understand the key c,core,0.2525173709040842,1104,0.5650940312277746,1104
RE2702,"The course covers basic concepts in Land Law, incl",core,0.1338409652449787,444,0.5036459987179102,444
RE2705,This course employs tools from microeconomic analy,core,0.1062171384488247,313,0.38071970282644396,313
RE3701,This course examines real estate and infrastructur,core,0.16930237731285327,670,0.49165593248595446,670
RE3705,,core,0.06778522599797744,115,0.29305139266215535,115
RE3706,,core,0.06778522599797744,115,0.29305139266215535,115
RE4701,This course examines the development process for a,core,0.19177482281484437,742,0.5307465207679242,742
RE3808,,core,0.06778522599797744,115,0.29305139266215535,115
RE3809,,core,0.06778522599797744,115,0.29305139266215535,115
RE3810,,core,0.06778522599797744,115,0.29305139266215535,115
RE3811,,core,0.06778522599797744,115,0.29305139266215535,115
RE4803,The emergence and rapid expansion of REIT and Busi,core,0.16684617141353478,677,0.5315239069959631,677
RE4808,This course exposes students to current urban chal,core,0.1599374301203157,637,0.47659768981363343,637
RE4809,,core,0.06778522599797744,115,0.29305139266215535,115
RE4810,,core,0.06778522599797744,115,0.29305139266215535,115
RE4811,,core,0.06778522599797744,115,0.29305139266215535,115
