module_code,module_title,module_type,relevance_score,breadth_score,max_similarity,num_matching_jobs
91,"This course provides knowledge about the analysis,",core,0.22892675639592933,848,0.6322577414637006,848
141,This course is designed to give students an overvi,core,0.17218473811180232,398,0.5894118705629584,398
16071,This course focuses on the accounting requirements,core,0.2231005715549148,799,0.6663384335210589,799
8401,The focus of this course is predominantly on the e,core,0.24213639406170703,976,0.6998894591862557,976
51,This course provides the student with a basic unde,core,0.20965855233857011,679,0.5934274657265874,679
13801,This course provides an in-depth examination of co,core,0.22329177674425027,841,0.6862295822220886,841
15291,"In today’s volatile, uncertain, complex and ambigu",core,0.18448468216692485,516,0.5994460437614062,516
61,This course introduces cost and management account,core,0.23693469351137378,964,0.6188718471574676,964
21101,"In Data Analytics for Accountants, Richardson et a",core,0.16525894616873474,358,0.6244098932325626,358
101,"On completion of this course, students should be a",core,0.26920816365112177,1216,0.7068347700837441,1216
13491,This course covers valuation of both financial as ,core,0.166907812923878,364,0.4974094743567334,364
1681,This is an introductory course designed to help bu,core,0.23620154156101966,1005,0.6457440902267134,1005
1691,The corporate form is the most widely used legal s,core,0.273819142694654,1269,0.6576039217980958,1269
32861,This course introduces students to the fundamental,core,0.2240384844740034,843,0.6033252917658178,843
901,This course describes the role of financial market,core,0.17109288410118148,361,0.5584199306398054,361
3361,The purpose of this course is to introduce the bas,core,0.1140205114388427,45,0.36181262398300734,45
1921,This course focuses on managing people in the work,core,0.2553838427976931,1256,0.5326339090184405,1256
1931,This course introduces students to the theoretical,core,0.22451385336307036,909,0.5831899001630764,909
32011,This course is aimed at exposing students to recen,elective,0.21200394607042936,751,0.5380829768471833,751
16821,"Traditionally, the accounting function’s role is a",elective,0.20337237883719672,671,0.6145536358995465,671
7051,The Accounting Study Mission is aimed at exposing ,elective,0.21963490916912554,809,0.6465365329189914,809
26371,The purpose of this course is to provide participa,elective,0.30871458178279715,1484,0.6351820452902719,1484
121,This course aims at providing students with an und,elective,0.25982918141324873,1157,0.6208301864005092,1157
151,The aim of this course is to help students in thei,elective,0.20165185149364662,642,0.5663017881623625,642
13501,This course aims to provide knowledge of the activ,elective,0.28831911665792276,1356,0.6630689481452573,1356
13531,"This course imparts knowledge of, and foundational",elective,0.23285693690083137,934,0.6233989459262343,934
13541,Today’s business environment is characterized by g,elective,0.24693505673091945,1032,0.7254544070037957,1032
19901,The course expands on ACCT331 and covers advanced ,elective,0.28859743651267006,1404,0.6821615357953902,1404
20371,This course provides knowledge on the full spectru,elective,0.21002906343850616,734,0.6074837673708148,734
21091,Accountants regularly work with large amounts of f,elective,0.18937400479791805,500,0.5795314025814362,500
21071,This course explores how data can be used to solve,elective,0.18395457820488534,464,0.6205439901492185,464
21111,This course examines quantitative models and techn,elective,0.11265009694786764,164,0.5020978342394105,164
21131,"With a rapidly changing regulatory environment, st",elective,0.17822917423146126,441,0.7085813667451968,441
21141,This course examines IT systems and environment us,elective,0.27420424224834455,1245,0.608750774174363,1245
24681,This course will equip students with the fundament,elective,0.21058563094388918,698,0.6187260120412965,698
25651,This Cyber Risk and Forensic Work-Study Elective i,elective,0.21623051273394903,772,0.5757337894419237,772
26381,This Accounting Data and Analytics Work-Study Elec,elective,0.2591939847597247,1176,0.6231474192172737,1176
27161,Digital technology affects almost all aspects of m,elective,0.18975695752663108,534,0.5556112355129625,534
26981,This is an accounting elective course for SMU seni,elective,0.19274464364018318,559,0.5649326436938172,559
27131,This Audit and Assurance Work-Study Elective is a ,elective,0.28307088407295616,1401,0.711142308644017,1401
28111,What is the role of accountants in helping the wor,elective,0.1637097769617689,363,0.5232211250320533,363
29201,The Financial Forensics Work-Study Elective is an ,elective,0.25374567471738485,1138,0.5904392513734317,1138
30601,This course on Robotic Process Automation (RPA) in,elective,0.25278720324150317,1174,0.568335876675215,1174
30621,The Sustainability Accounting Work-Study Elective ,elective,0.24139168419892634,1042,0.5420028429552944,1042
32001,With mandatory sustainability reporting pushed out,elective,0.2011353497309384,654,0.545061152117738,654
33011,The Taxation Work-Study Elective (WSE) course is a,elective,0.27063741594399376,1324,0.5963916951522201,1324
32881,Artificial Intelligence (AI) has been transforming,elective,0.18799131278429712,485,0.6286721525575474,485
33581,The Accounting Work-Study Elective (WSE) is part o,elective,0.2590065790622782,1277,0.596583300887759,1277
30881,This course equips students with both foundational,elective,0.15051519099645314,219,0.5195854875677578,219
22201,The Foundations of Cybersecurity course provides f,elective,0.1498820186550107,267,0.6037978087256025,267
33661,As digital technologies pervade every aspect of so,elective,0.07956115758185174,64,0.41579140115396357,64
30671,This course seeks to introduce students to the var,elective,0.14288305549452243,169,0.48462265800989823,169
23161,The aim of this course is to help students underst,elective,0.08844010576027068,74,0.4207895502811444,74
21201,This course introduces students to the theory and ,elective,0.1509658949401981,371,0.5017282787272701,371
21341,Today’s businesses and investors are increasingly ,elective,0.12426935542452287,204,0.46723065561199784,204
21321,This course explores the corporate and institution,elective,0.2087648564896546,713,0.6629608661041817,713
25001,This course will cover the fundamentals of relatio,elective,0.23704277650567135,1084,0.5158328396276455,1084
20051,This course is intended for any student who wishes,elective,0.19060586505375451,500,0.47312392322315683,500
1531,This course will cover fundamentals of relational ,elective,0.22477744383771417,956,0.5301951522903765,956
30891,A&P can be viewed as a first course in algorithms.,elective,0.1942604145120688,554,0.5856188929801727,554
25011,This course explores blockchains and smart contrac,elective,0.19929968145635069,653,0.5379287766495168,653
25021,Financial analytics helps to identify insights fro,elective,0.1961395193117188,607,0.6020468879030217,607
30051,Quantum computing is now being realised at an ever,elective,0.17570868753930144,449,0.4995153871656011,449
32521,This course on Generative AI is designed for stude,elective,0.12497540029501403,68,0.5780840704882485,68
22121,"The commercial world is full of agreements, some o",elective,0.22328646771540242,889,0.5257989516850333,889
31161,This course provides an overview to financial crim,elective,0.1651405677471275,421,0.6355793750975068,421
11161,The Law of Evidence is primarily concerned with th,elective,0.15613351434916886,354,0.46200126910896394,354
25601,This course will introduce students to key issues ,elective,0.16555823479595183,448,0.5574231062369704,448
