module_code,module_title,module_type,relevance_score,breadth_score,max_similarity,num_matching_jobs
11,This course provides the student with a basic unde,core,0.21275479304878234,358,0.585580436904308,358
31,This course introduces cost and management account,core,0.240492906019914,515,0.6141623004616296,515
51,This course provides the student with a basic unde,core,0.21275479304878234,358,0.585580436904308,358
61,This course introduces cost and management account,core,0.24025766717223498,514,0.6188718471574676,514
891,The course helps students understand the various f,core,0.20708874978913924,332,0.510886746424817,332
1681,This is an introductory course designed to help bu,core,0.2391879565902706,538,0.6457440902267134,538
1931,This course introduces students to the theoretical,core,0.2277596185201058,493,0.48389227582298916,493
2331,The course introduces Marketing as both a professi,core,0.24979976610452787,513,0.6425603304059047,513
1921,This course focuses on managing people in the work,core,0.2587564719997762,667,0.5230153040137783,667
2621,The objective of this course is to introduce stude,core,0.211238904534663,396,0.46719056624929606,396
2641,Companies produce and deliver goods or services to,core,0.30213466987363646,843,0.613858939077517,843
71,This course examines corporate reporting issues an,elective,0.22480305363508635,406,0.6011307358972716,406
13801,This course provides an in-depth examination of co,elective,0.2258988460886012,442,0.6862295822220886,442
8351,COMM102 is the core course of the communication ma,elective,0.21359455300506222,406,0.6648647440038148,406
16871,What makes people notice certain messages (commerc,elective,0.12530983096573664,134,0.5795799242089712,134
2141,This course is a core course for the Entrepreneurs,elective,0.29535480590315755,829,0.5579159237360652,829
32561,This course traces the steps that entrepreneurs li,elective,0.2597290703677585,669,0.5223385871334838,669
901,This course describes the role of financial market,elective,0.17388539572527015,184,0.5584199306398054,184
911,This course continues to develop the analytical sk,elective,0.17799477633987792,224,0.4976997883579853,224
8451,Negotiation forms a large part of what lawyers do.,elective,0.14206385459105111,58,0.44191507474367697,58
16801,This course helps students understand challenges f,elective,0.2188451131724829,441,0.4301375326607515,441
2341,The study of consumer behavior is an important par,elective,0.17499511425272474,259,0.4905741486141948,259
2351,This course provides you with the fundamental skil,elective,0.24298053918203766,510,0.5495379929887513,510
2601,The course enables you to discover the challenging,elective,0.3105756308441531,880,0.655860700642264,880
2661,This course explores the dimensions of successful ,elective,0.31239692452369483,840,0.6374188436407056,840
2681,Matching supply with demand is a primary challenge,elective,0.23161642858212617,485,0.6084784932811189,485
8331,This course aims to expose students to the use and,elective,0.15412020182178343,140,0.4973880247738496,140
18281,What is Quantitative Finance? Why quantitative? In,elective,0.13846333398726035,70,0.5062856289019149,70
18291,Have you ever wondered how do outstanding asset ma,elective,0.14777883809905157,82,0.47364769892540926,82
