module_code,module_title,module_type,relevance_score,breadth_score,max_similarity,num_matching_jobs
3361,The purpose of this course is to introduce the bas,core,0.1142046464220112,334,0.36181260108005814,334
7351,This course is designed for students who have a ba,core,0.17306847607678325,889,0.45405298093028446,889
24611,This is an interdisciplinary survey course on the ,core,0.15667543428070024,648,0.5806939673620768,648
12151,How do we transform our everyday observations of t,core,0.12032002478724224,416,0.4179546019509754,416
27691,The Social Science Practicum (SSP) is a compulsory,core,0.17140630825659564,804,0.565700171664949,804
3021,This course provides an introduction to the major ,core,0.1012460540601519,256,0.33295177114182367,256
3031,Psychology is the scientific study of behavior and,core,0.14890959245263818,681,0.3772043485385964,681
12121,Psychology experiments can range from simple to co,core,0.08561167646693298,179,0.33586541596435804,179
12141,This course builds on the methodological concepts ,core,0.14121181755100634,591,0.3984307255994567,591
3171,The interdependence between society and the indivi,core,0.14492063717999432,612,0.5033771191276074,612
3181,This course examines the major theoretical develop,core,0.06322739413379108,91,0.3027237057656697,91
29561,The Sustainability Practicum is a required compuls,core,0.15283103064700193,712,0.5083860120153787,712
18431,"What is the relationship between the state, arts a",elective,0.15978075673638323,727,0.4954394177347277,727
29571,"In today’s interconnected and diverse world, inter",elective,0.1899251645433117,922,0.5175339535943062,922
31191,"The Anthropocene, derived from the Ancient Greek t",elective,0.06956046305760598,143,0.4830254706365618,143
15241,This course explores various models in managing di,elective,0.12183131742392725,461,0.44384635840387376,461
30821,This SMU-X Overseas programme explores the challen,elective,0.10805965661087831,381,0.41045083784564446,381
12031,This course examines popular culture in a range of,elective,0.07144594051768749,216,0.4065069938659424,216
17541,"With the rise of China as an economic superpower, ",elective,0.1804421292404765,868,0.5272006445899657,868
24321,This course employs a top-down approach to introdu,elective,0.13978603621271024,531,0.5009634285481314,531
25151,The goal of the course is to provide a broad appre,elective,0.1044755899288241,345,0.38983115276665026,345
28821,We live in a hyperconnected world – ecosystems and,elective,0.10801444178529965,360,0.43408224242347493,360
28851,The aim of this course is to introduce students to,elective,0.12769330263582623,483,0.4268223000700163,483
30081,In today's rapidly evolving technological landscap,elective,0.11446458190266331,357,0.47039628020470403,357
30091,This course will introduce students to the fascina,elective,0.10810308474697199,331,0.39737861518961465,331
9721,What is law? How is law related to justice? This c,elective,0.0996792259499117,216,0.4396753082414549,216
33161,Innovation is the journey of turning ideas into pr,elective,0.17995810633142892,827,0.4947014801372194,827
32761,Artificial intelligence raises profound ethical qu,elective,0.07826688394567896,184,0.3979418941960347,184
5361,This course examines contemporary politics in Sout,elective,0.10638151106572385,387,0.43361620272300827,387
12201,Contemporary governance illustrates a shift from a,elective,0.16962566137910215,790,0.5222340770900729,790
30141,"In today's fast-paced and interconnected world, po",elective,0.12437609140104024,463,0.4077442209269489,463
18031,This course will introduce the concept of sustaina,elective,0.1746811916311618,811,0.548821058518026,811
28271,How does digital technology use affect the human m,elective,0.11110937083355131,362,0.4325783936082258,362
12131,Subjective well-being (SWB) refers to individuals’,elective,0.1137475576031764,314,0.3545954867285304,314
3191,"This course explores the connections between food,",elective,0.0486904176720284,118,0.45545792254856865,118
11241,In this course we will engage in a study of contem,elective,0.08133193365883104,157,0.5117275207722236,157
4831,China’s rise as an economic power is the world-tra,elective,0.11459146442988936,418,0.4796518303125661,418
15361,“Globalization” is one of the most important conce,elective,0.12839472509135336,518,0.49233975539509245,518
13381,Singapore is a fascinating subject of sociological,elective,0.12794181625641618,485,0.5977350077813203,485
29551,This core module focuses on providing students wit,elective,0.14242951708014423,602,0.4655292575193749,602
30131,This core module will develop key competencies and,elective,0.17961674558241889,918,0.49076970003323556,918
30591,Sustainability reporting is the practice of disclo,elective,0.1347364420480719,537,0.39044535540814873,537
23521,"This course introduces students to climate change,",elective,0.15691106787053913,740,0.5146964426411875,740
22261,This module aims to introduce students to topics w,elective,0.034508186829614935,39,0.39461321220426554,39
24761,Biotechnology has emerged as one of the most promi,elective,0.11740102121878151,398,0.44985131758683716,398
29541,Terms of Use Website Feedback Report Whistleblowin,elective,0.10517088144787434,304,0.42902816986973386,304
30171,What is ethnographic research? How can it help us ,elective,0.07870381414143976,177,0.49355614279995375,177
30181,This course is intended for students who are not e,elective,0.10029789277677531,336,0.43931196015199825,336
30191,This course will introduce students to contemporar,elective,0.06616141833115814,150,0.42913822155030296,150
33231,Asia’s cities are growing at a pace and scale unma,elective,0.09899205326722997,381,0.4008239158463086,381
24741,Nations have long sought to evoke loyalty and pers,elective,0.11344978851476675,420,0.5289656321812715,420
25911,Hailed as “the greatest book on democracy ever wri,elective,0.00985036350068226,9,0.29682649237384484,9
32381,This course explores the dynamic intersection of e,elective,0.0872683684960975,267,0.4215671212907913,267
17551,This course focuses on the interaction and integra,elective,0.1273257953561798,487,0.43812380942988793,487
24591,This course focuses on various aspects of economic,elective,0.12927504604472725,512,0.43950557938142054,512
521,This course will provide an introduction to the de,elective,0.15016073425689827,654,0.4409539854380553,654
24581,In the financial system funds flow from those who ,elective,0.08663558599354525,233,0.41221189080206355,233
581,The course is structured into two parts: internati,elective,0.11180156146517053,348,0.47353220677027147,348
591,This course will provide an introduction to develo,elective,0.07600419151550339,190,0.3971861308010913,190
611,This is an advanced course in game theory. Student,elective,0.07459726133710794,86,0.409014442031758,86
641,"This course introduces theory, applications, and e",elective,0.1493196417588715,688,0.35729211307038217,688
651,This course aims to strengthen our understanding o,elective,0.03965594445617637,55,0.3674222544998338,55
661,The module begins by revisiting the conceptual bas,elective,0.14130850642406467,605,0.42056381432413525,605
681,"In this course, conceptual and empirical tools in ",elective,0.08029617713038381,265,0.3818340412630897,265
13461,Health economics is a rapidly growing field of app,elective,0.13805351910179237,528,0.5187361301005481,528
13511,This course aims to enhance students’ understandin,elective,0.12814609912558797,510,0.36414883343685234,510
16131,This course will introduce methods of measuring in,elective,0.12498080116168248,481,0.4130401094490397,481
17431,The income per capita in the United States and Wes,elective,0.038741370106280246,58,0.3329938195851522,58
22091,This course will examine the diversity of healthca,elective,0.2173140850121747,962,0.6299331947238422,962
6841,This course is designed as an introductory course ,elective,0.14878964142804324,634,0.408269516832406,634
9601,"This course will cover basic concepts, tools and f",elective,0.10945476810896537,344,0.4458219279609679,344
9811,This course develops analytical skills indispensab,elective,0.13773988718830754,570,0.4335440677226567,570
10891,Human capital refers to the attributes gained by a,elective,0.13537144222746225,498,0.5502012464699697,498
18901,Students will learn about the economic approach of,elective,0.17879275640650188,910,0.5051312348680844,910
23201,This course aims to provide a broad analytical fra,elective,0.07177597966154944,163,0.3180721982113048,163
25381,This course aims at applying economics to demograp,elective,0.11318093553971827,420,0.46946414897470984,420
32411,"This course is a primer on behavioural economics, ",elective,0.09453882197620803,336,0.39455408387469887,336
25661,Financial Markets play an important part in assuri,elective,0.19555084346454288,973,0.5452496065948395,973
23051,This course provides students with a foundational ,elective,0.12351283425205353,489,0.5377442269246812,489
23071,This course is the second part of a two-course Mac,elective,0.11084970172664309,325,0.43647102794962,325
30021,This course is designed to provide students with a,elective,0.12792878497534654,506,0.41128120544044916,506
9641,This course is a continuation of Intermediate Micr,elective,0.12645222188282998,481,0.5525495649238502,481
7021,This course is an introduction to Political Econom,elective,0.06843474911568544,122,0.3944653760267456,122
12091,This is a special topic course and the selected to,elective,0.14095142502161692,605,0.44386502487497626,605
12101,The Global Asia Study Mission takes students to a ,elective,0.18219272902702907,877,0.4946320417826996,877
28911,This SMU-XO course takes students to a country in ,elective,0.153133457326607,675,0.46962001239640333,675
30461,The purpose of this course is to provide participa,elective,0.28691385393973656,1198,0.5583580575381174,1198
26881,We interact with a variety of services and systems,elective,0.09994494282676145,251,0.3921970146857088,251
29041,The efficient management of our shared resources a,elective,0.22437806020760404,1119,0.5863623693843675,1119
21281,This course will equip students with core knowledg,elective,0.17078694142416195,777,0.48494411748159144,777
25041,China’s controversial Belt and Road Initiative (BR,elective,0.16451998288468841,728,0.4658778245792694,728
3101,This course introduces students to the cognitive b,elective,0.15203850307317712,721,0.40986307473173156,721
3091,This course provides an overview of the psychologi,elective,0.07826204269229135,157,0.3681810520156604,157
3111,"This course provides an overview of theories, rese",elective,0.24164622167749408,1218,0.4720590710659938,1218
4461,This course provides an overview of the relationsh,elective,0.08094661893015884,148,0.36742775878909906,148
4401,This course provides an overview of the psychologi,elective,0.1629044818368649,831,0.35807443980402864,831
12161,This course is designed to provide a foundation in,elective,0.15940926117325105,759,0.40450169793906765,759
17511,This course is designed to provide students with a,elective,0.09839033443342118,278,0.4420614704712888,278
31061,The family environment is a critical context for t,elective,0.05667328106735876,74,0.35335133870386093,74
33931,Each of us has an “internalised and evolving story,elective,0.09460867140654632,256,0.3431473282235804,256
4451,This course covers the measurement principles and ,elective,0.15349917699860482,723,0.39165033250445047,723
4471,Human thought and behavior do not exist in a cultu,elective,0.09836024187024096,281,0.32875726600728705,281
4481,The social cognition movement has emerged as the d,elective,0.10934689848019134,316,0.3144013909475598,316
4491,People often have to make choices under situations,elective,0.16805019888161835,825,0.38312667229878017,825
10001,This course aims to teach students the adaptive ex,elective,0.07089560956652927,103,0.3088099087288328,103
10011,This course will explore the major topics in emoti,elective,0.12737218182572296,474,0.35148683025502964,474
10021,Our motivation energizes us to achieve a desired e,elective,0.1425901790273157,610,0.3882117488513411,610
19871,There is reason to believe that close relationship,elective,0.06934856350522993,108,0.273097197250593,108
24981,This module aims to offer an advanced understandin,elective,0.07124690105018794,102,0.4270955434603877,102
28901,"Today’s pressing sustainability issues, such as cl",elective,0.05300914005423434,92,0.43129370019894814,92
29961,Modern societies extol busyness and may even regar,elective,0.15315886161535008,708,0.40487626452697933,708
33641,The Societal Impact Elective will provide students,elective,0.19055857421528713,956,0.5730113029255798,956
3131,The specific title and content of this course will,elective,0.14648138825412446,644,0.4061718820943597,644
10951,This course will cover various dimensions of human,elective,0.061317314677334527,55,0.22921813299261198,55
19991,The Psychology Study Mission focuses on an advance,elective,0.11952917537029409,418,0.3705688971519141,418
27591,This is an SMU-XO course which focuses on an advan,elective,0.16173877151417754,715,0.48446978659418405,715
5891,The Senior Thesis in Psychology is an intensive co,elective,0.15952545076510552,786,0.3994011362657042,786
28131,This course will provide students with the opportu,elective,0.164214446764727,824,0.41076287381345117,824
4541,Social stratification concerns the unequal distrib,elective,0.10076923030769255,261,0.30267112974075816,261
3291,This course integrates theories and findings from ,elective,0.16729792115755354,732,0.43836220406734205,732
3931,This course looks at globalization and the increas,elective,0.10270321645305475,296,0.4098752803864445,296
3231,This course will cover demographic theories of pop,elective,0.07220102424994522,132,0.2910609272968654,132
16051,Have you ever watched news coverage of a major act,elective,0.03129386301077768,28,0.2743340672877512,28
15381,The education system is one of the most important ,elective,0.12529607113474484,456,0.5216430431078725,456
21151,"Working, particularly in the form of paid employme",elective,0.18274753413676414,950,0.37640315706634964,950
4511,Why do people move and what does this mean to the ,elective,0.0891419479139142,316,0.37299185489284015,316
24051,This course will explore the migrations and cross-,elective,0.0864705073624872,303,0.4112926601549594,303
26951,This course is designed to provide hands-on experi,elective,0.22036054104726824,1096,0.5566198290465714,1096
31331,This course explores the sociology of aging and th,elective,0.12266029852532521,482,0.4172914420201729,482
33671,The Social Impact Elective will provide students t,elective,0.1971029366560509,1019,0.5623285184759027,1019
33891,The work-study elective is a collaboration between,elective,0.25783354225467753,1226,0.5449222841058208,1226
3311,"Selected topic, vary from year to year, will be ta",elective,0.10810165348003606,297,0.33902844411691396,297
3211,Social networks are the subject of some of the mos,elective,0.05302416221682253,124,0.31201615716763353,124
4841,Economic sociology is the study of the social caus,elective,0.08641480137998049,235,0.3760871075061013,235
3271,"Unifying theory and practice, the Sociology Study ",elective,0.13172090537351402,519,0.5034519948489179,519
3281,This course takes the expansion of human capabilit,elective,0.14702541355724846,633,0.40164383474943866,633
15371,Science and technology play increasingly important,elective,0.04270191400771942,112,0.44707237836973635,112
32751,This is an SMU-XO course which offers overseas exp,elective,0.20022768886310724,991,0.49661460464932905,991
6441,The Senior Thesis in Sociology is an intensive cou,elective,0.1684086716604723,843,0.4372127987935423,843
32641,This course provides students with the opportunity,elective,0.1832213735389224,916,0.5201261951956123,916
30151,The work-study elective is a collaboration between,elective,0.21996823285862288,1147,0.5205920840068781,1147
31081,Innovation is essential to drive sustainability tr,elective,0.10940737409366627,367,0.47811732722777184,367
3381,This course is to develop knowledge of the fundame,elective,0.15187951456336377,734,0.35789781358703093,734
3491,The heart of the course lies in the science of the,elective,0.20802639935771716,1101,0.4938671427860737,1101
