module_code,module_title,module_type,relevance_score,breadth_score,max_similarity,num_matching_jobs
20-101,The studio establishes foundations for architectur,core,0.1759366825019996,1097,0.5986895631013384,1097
20-102,Architecture Core Studio 2 expands the scope of ar,core,0.2214545316527297,1797,0.6653276511936707,1797
20-103,Architecture Core Studio 3 expands the complexity ,core,0.16896903983297784,997,0.5780357307084234,997
20-111,Option Studio 1 builds upon the foundational princ,core,0.17017312980556565,1169,0.5306346866169603,1169
20-112,Option Studio 2: Speculative Urban Futures invites,core,0.19440935094917652,1587,0.5554684753001093,1587
20-201,The development of a building design to its actual,core,0.186198996803655,1174,0.6326189116660283,1174
20-202,The course provides students with basic knowledge ,core,0.20673905730550401,1499,0.6377984288991807,1499
20-203,Energy poses one of the greatest challenges to a f,core,0.1826783180808868,1219,0.7049584916512942,1219
20-212,Digital Design and Fabrication investigates the tr,core,0.19601768326468866,1445,0.5887105422383445,1445
20-213,"Building and Urban Analytics provides rich, machin",core,0.180125665857392,1058,0.6553230652896858,1058
20-221,This course provides a general outline of the hist,core,0.09791246592695761,467,0.5002193059149886,467
20-222,Studies the essential interrelationships of archit,core,0.1679426898925865,978,0.5689270261534581,978
20-224,"Today, we are all, voluntarily or involuntarily, s",core,0.10812786849638355,467,0.4351689769050682,467
20-318,The course provides an overview of today’s machine,core,0.12153999000745677,589,0.5341383291293027,589
20-319,Image Credit: Daniel Joseph Whittaker The process ,core,0.20385532496430597,1571,0.6048430344094939,1571
20-099,Sketching is a way of communication and expression,elective,0.14246998280091686,738,0.49189453155452056,738
20-223,"Far from isolated trajectories, new ideas, scienti",elective,0.11659219369936596,568,0.5680432463485005,568
20-301,Students enrolled will gain insight into synthetic,elective,0.15684494468605686,994,0.4935428543363502,994
20-302,This seminar course teaches natural and electric l,elective,0.16949311835308586,1112,0.5365990955483946,1112
20-303,The seminar will investigate a number of qualitati,elective,0.1147791251871103,503,0.3739287780361423,503
20-304,The ‘Urban Housing Typology’ seminar will discuss ,elective,0.12771627392790336,612,0.5032625723943281,612
20-305,This course will acquaint participants with the di,elective,0.17754849587786975,1208,0.5474546016677232,1208
20-307,The course is intended to give students enrolled a,elective,0.17799760322465907,1132,0.6897123235677325,1132
20-311,The course offers knowledge and skill on advanced ,elective,0.18050349752770564,1173,0.5877161574849833,1173
20-312,This course aims to equip the students with theore,elective,0.17676918326953459,1233,0.47798009475442205,1233
20-313,This seminar course teaches methods for the design,elective,0.11986291332018048,616,0.616105118528334,616
20-314,This seminar focuses of the paradigms of adaptatio,elective,0.19726608465972148,1518,0.5862394235864596,1518
20-316,The course is a cross-disciplinary collaboration b,elective,0.15300512161280685,962,0.4967889113645785,962
20-317,Augmented Reality has crossed a significant thresh,elective,0.1453607775354515,870,0.5339101613226138,870
20-320,Project Management is a course set in the context ,elective,0.31756566920685253,2533,0.7693890579221183,2533
20-321,This course introduces architectural and urban aco,elective,0.1617300291757916,978,0.5475102661643508,978
20-322,The course provides a cross-disciplinary overview ,elective,0.12293933032172684,711,0.6137849029488253,711
20-323,[Latin repraesentare ‘to make present or manifest’,elective,0.08729784424844905,339,0.3985706694532452,339
