module_code,module_title,module_type,relevance_score,breadth_score,max_similarity,num_matching_jobs
30-002,"The SUTD EPD pillar course, Circuits and Electroni",core,0.12312675769030852,521,0.4302733267921281,521
30-007,Students develop a holistic view and competency in,core,0.22503665710759424,1370,0.5667153484596894,1370
30-100,This course will provide you with the indispensabl,core,0.13364981153890926,647,0.42575958041962325,647
30-101,This course will provide students with the framewo,core,0.06828517325787593,183,0.3052424914597974,183
30-102,"This course focuses on electromagnetics (EM, Maxwe",core,0.04259399245346553,86,0.3285740775038153,86
30-103,This course will provide students with an introduc,core,0.12430972775882167,543,0.38648150535934594,543
01-106,"In this course, we cover an overview of engineerin",elective,0.29688918242480494,1673,0.6157615957203654,1673
30-104,"This course, particularly relevant for Mechanical,",elective,0.08460293800392642,243,0.3753375270408971,243
30-105,This subject provides advanced knowledge for desig,elective,0.20914343253341117,1209,0.5838107264020719,1209
30-106,Introduction to: Goal The purpose is to establish ,elective,0.07835046706738275,131,0.443544975172681,131
30-107,"The SUTD EPD pillar course, Power Electronics 30.1",elective,0.19560320471628465,1305,0.5673171924717163,1305
30-108,Fundamentals of structure and energetics that unde,elective,0.012013486449821297,56,0.361432622510392,56
30-109,This course aims to extend the fundamental concept,elective,0.14718566769948668,727,0.5030887189886054,727
30-110,"Lectures and labs are conducted on digital logic, ",elective,0.137388308327696,718,0.5166314035290568,718
30-111,This course focuses on the social-technical factor,elective,0.20168683914504443,1256,0.5453222694126356,1256
30-113,This course introduces design and fabrication of M,elective,0.03962861347586235,97,0.31416477496549455,97
30-114,Extending feedback control theory and applications,elective,0.032183336152091374,50,0.29040372787894275,50
30-115,This course is a fundamental and essential course ,elective,0.15909177636234934,894,0.5492042983233811,894
30-117,This is a course in electric power systems. Topics,elective,0.21559108559259066,1345,0.6278987004720489,1345
30-119,This subject provides an overview of robot mechani,elective,0.17340748098335854,1071,0.5479744207592722,1071
30-120,This subject provides exposure to a range of curre,elective,0.19016629848070307,1125,0.5870235224704073,1125
30-123,This project-based design course aims to teach the,elective,0.15233688293773645,843,0.48007702876897074,843
30-200,This subject introduces students to key micro-fabr,elective,0.08658722229807742,248,0.4343532641606758,248
30-201,This course is an introduction to the design and a,elective,0.13440953188669305,665,0.5138503369490344,665
30-202,30.202 Design of Intelligent Digital Integrated Ci,elective,0.12438293543678271,532,0.466777293227496,532
30-203,This course will introduce students to the broad d,elective,0.1500139193051716,800,0.4804329979189031,800
30-303,Industry 4.0 and 3D printing is a new course in EP,elective,0.194470954809539,1198,0.5241760812380083,1198
30-316,The course is a cross-disciplinary collaboration b,elective,0.16212862381416296,893,0.5303787241472376,893
