module,level_1,level_2,level_3,total
ACC4712,0,0,0,0
ACC3713,0,0,0,0
ACC1701,12,4,1,17
ACC2727,2,0,0,2
ACC3702,0,0,0,0
ACC2711,0,0,0,0
MNO1706,1,0,0,1
ACC3706,1,0,0,1
ACC4701,0,0,0,0
DAO2702,1,0,0,1
ACC2707,4,1,0,5
ACC3714,0,0,0,0
ACC4761A,0,0,0,0
ACC4751,0,0,0,0
ACC3711,0,0,0,0
ACC4761,0,0,0,0
ACC4711,0,0,0,0
ACC2708,4,0,0,4
ACC4713,0,0,0,0
ACC2712,0,0,0,0
ACC2706,4,0,0,4
ACC3717,0,0,0,0
ACC4702,0,0,0,0
DAO2703,1,0,0,1
FIN2704,2,0,0,2
ACC3703,1,0,0,1
ACC4703,0,0,0,0
ACC4715,0,0,0,0
MKT1705,1,0,0,1
ACC3715,0,0,0,0
ACC3727,0,0,0,0
