module,level_1,level_2,total
BN3406,0,0,0
EG3612,0,0,0
BN1112,0,0,0
EG2401A,0,0,0
BN4108,0,0,0
BN4404,0,0,0
BN2404,0,0,0
BN4402,0,0,0
BN4206,0,0,0
CE2407A,0,0,0
BN4701,0,0,0
BN2104,0,0,0
CE2407B,0,0,0
BN4109,0,0,0
MA1513,0,0,0
BN4303,0,0,0
BN2204,1,0,1
BN4202,0,0,0
BN4304,0,0,0
BN2201,0,0,0
BN2112,0,0,0
BN4406,0,0,0
BN3301,1,0,1
BN3202,0,0,0
BN4101,0,0,0
BN2105,0,0,0
BN4501,0,0,0
BN4103,0,0,0
BN3101A,0,0,0
BN3405,0,0,0
BN3402,0,0,0
BN2001,0,0,0
EG3611A,0,0,0
BN4203,0,0,0
BN2301,1,1,2
BN4302,0,0,0
BN4601,0,0,0
BN4102,0,0,0
MA1511,0,0,0
BN4207,0,0,0
BN4301,0,0,0
BN3501,0,0,0
