module,level_1,level_2,level_3,level_4,total
BT4012,0,0,0,0,0
BT4241,0,0,0,0,0
IS3107,0,0,0,0,0
MA1521,7,9,3,0,19
BT4240,0,0,0,0,0
IS3103,3,0,0,0,3
DBA4811,0,0,0,0,0
IS4262,0,0,0,0,0
CS2030,2,5,2,0,9
BT3104,0,0,0,0,0
IS2101,3,3,0,0,6
IS4234,0,0,0,0,0
BT4212,0,0,0,0,0
BT4211,0,0,0,0,0
CS3243,1,0,0,0,1
BT4222,0,0,0,0,0
IS4303,0,0,0,0,0
IS4242,0,0,0,0,0
BT3102,2,0,0,0,2
ST2334,5,2,0,0,7
IE3120,0,0,0,0,0
CS3244,0,0,0,0,0
IS4246,0,0,0,0,0
IS3150,0,0,0,0,0
BT2102,8,7,0,0,15
ST4245,0,0,0,0,0
CS2040,3,4,2,0,9
IS3240,0,0,0,0,0
IS4228,0,0,0,0,0
BT4014,0,0,0,0,0
IS4302,0,0,0,0,0
IS3221,0,0,0,0,0
BT4103,0,0,0,0,0
CS1010A,9,15,13,2,39
IS4010,0,0,0,0,0
BT2101,9,1,0,0,10
BT4221,0,0,0,0,0
BT1101,5,15,7,0,27
BT3103,7,0,0,0,7
BT4101,0,0,0,0,0
IS1108,5,3,0,0,8
BT3017,0,0,0,0,0
MA1522,3,0,0,0,3
CS4248,0,0,0,0,0
BT4013,0,0,0,0,0
BT4301,0,0,0,0,0
BT4016,0,0,0,0,0
CP2880,0,0,0,0,0
BT4015,0,0,0,0,0
IS4241,0,0,0,0,0
IS4226,0,0,0,0,0
IS4250,0,0,0,0,0
