module,level_1,level_2,level_3,total
CN4101,0,0,0,0
CN3106,0,0,0,0
CN5206,0,0,0,0
EG2401A,0,0,0,0
CN5251,0,0,0,0
CN5111,0,0,0,0
CN4201R,0,0,0,0
ME2142,4,0,0,4
RB4301,0,0,0,0
CN5173,0,0,0,0
EE4315,0,0,0,0
EE4311,0,0,0,0
CN4240R,0,0,0,0
CN4119,0,0,0,0
EE4312,0,0,0,0
EE3306,0,0,0,0
CN4233R,0,0,0,0
CN4218,0,0,0,0
CN4249,0,0,0,0
CN2103,0,0,0,0
ME3242,0,0,0,0
CS1010E,1,7,0,8
CN4247R,0,0,0,0
CE2407A,1,0,0,1
CN2102,1,0,0,1
EE4307,0,0,0,0
CN2111,0,0,0,0
CN3105,0,0,0,0
CN2105,3,0,0,3
CN5172,0,0,0,0
CN1101A,0,0,0,0
CN2104,0,0,0,0
MA1513,3,7,0,10
CN4203R,0,0,0,0
EE4314,0,0,0,0
ME5405,0,0,0,0
ME4246,0,0,0,0
ES2631,0,0,0,0
CN5205,0,0,0,0
CN5124,0,0,0,0
CN4248,0,0,0,0
EE4302,0,0,0,0
CN4102,0,0,0,0
CN3104,0,0,0,0
CN4221R,0,0,0,0
EE4212,0,0,0,0
CN4205R,0,0,0,0
CN4251,0,0,0,0
EG3611A,0,0,0,0
CN4227R,0,0,0,0
ME4248,0,0,0,0
EE4211,0,0,0,0
CN2109,0,0,0,0
CN4215R,0,0,0,0
CDE2501,0,0,0,0
EE3331C,4,0,0,4
CN5246,0,0,0,0
MA1511,2,8,1,11
EE2211,4,0,0,4
CN2110,0,0,0,0
MA1512,2,5,3,10
ME3142,2,0,0,2
ME3163,0,0,0,0
CN5191,0,0,0,0
ME4262,0,0,0,0
