module,level_1,level_2,total
CE5807QB,0,0,0
PF1101A,0,0,0
ESE4408,0,0,0
CE3203,0,0,0
CE5808,0,0,0
EG2401A,0,0,0
CE5212,0,0,0
CE2134,1,1,2
CE5101,0,0,0
CE5310,0,0,0
CE3115,0,0,0
CE3202,1,0,1
CE5611QA,0,0,0
CE4002,0,0,0
CS1010E,1,0,1
CE3132,1,0,1
CE2407A,1,5,6
CE3204,0,0,0
CE5113QB,0,0,0
CE5807,0,0,0
CE2407B,0,0,0
CE5807QA,0,0,0
MA1513,1,0,1
CE2155,5,0,5
CE3166,0,0,0
CE4103,0,0,0
CE5108QB,0,0,0
CE5316,0,0,0
CE5107QB,0,0,0
EG1311BE,0,0,0
CE3165,1,0,1
CE5208,0,0,0
CE5319,0,0,0
CE3155B,0,0,0
CE3116,0,0,0
CE5210,0,0,0
CE5809,0,0,0
EG3611A,0,0,0
CE5805,0,0,0
CE5108QA,0,0,0
CE5509QB,0,0,0
CE4221,0,0,0
CE5513,0,0,0
CE5315,0,0,0
CE5113QA,0,0,0
CE5509QA,0,0,0
CE5515,0,0,0
CDE2501,0,0,0
CE4104,0,0,0
CE3155A,0,0,0
EE2211,0,0,0
MA1511,1,0,1
CE5206,0,0,0
CE3121,5,0,5
CE5209,0,0,0
CE5107QA,0,0,0
CE5604,0,0,0
CE1109,1,4,5
CE5611QB,0,0,0
CE3201,0,0,0
CE2112,4,0,4
