module,level_1,level_2,level_3,level_4,total
ST3247,0,0,0,2,2
ST4250,0,0,0,2,2
ST3236,2,0,0,2,4
ST4238,0,0,0,2,2
ST4253,0,0,0,2,2
ST4248,0,0,0,2,2
ST4234,0,0,0,2,2
ST3232,0,0,0,2,2
ST3131,5,0,2,2,9
ST3239,0,0,0,2,2
ST4231,0,0,0,2,2
ST2132,9,5,0,2,16
ST2131,16,18,0,2,36
ST3248,0,0,0,2,2
DSA4263,0,0,0,0,0
MA4251,0,0,2,0,2
QF4212,0,0,0,0,0
MA4268,0,0,2,0,2
DSA4266,0,0,0,0,0
DSA4211,0,0,0,0,0
DSA4288,0,0,0,0,0
DSE4212,0,0,0,0,0
MA3238,2,0,2,0,4
DSE4211,0,0,0,0,0
DSA4288S,0,0,0,0,0
MA2104,6,12,19,0,37
CS3244,8,0,0,0,8
DSA4213,0,0,0,0,0
MA2002,9,26,9,0,44
QF4211,0,0,0,0,0
DSA1101,4,1,5,0,10
DSA4264,0,0,0,0,0
CS2040,5,8,0,0,13
MA3252,1,0,2,0,3
DSA3102,4,0,0,0,4
DSA4288M,0,0,0,0,0
MA3227,0,0,2,0,2
DSA4262,0,0,0,0,0
DSA3288R,0,0,0,0,0
MA4260,0,0,2,0,2
CS1010S,3,6,13,0,22
MA2001,11,17,2,0,30
DSA2101,4,5,0,0,9
DSA3288,0,0,0,0,0
MA4270,0,0,2,0,2
MA4230,0,0,2,0,2
DSA3101,8,0,0,0,8
DSA4265,0,0,0,0,0
DSA2102,11,0,0,0,11
MA2116,16,18,2,0,36
MA2311,6,12,19,0,37
