module,level_1,level_2,level_3,total
ID3111,0,0,0,0
ID1116,2,2,1,5
ID3110,0,0,0,0
ID3107,0,0,0,0
ID4121,0,0,0,0
ID1114,2,2,1,5
ID1121,0,0,0,0
ID1119,2,2,1,5
ID2108,2,1,0,3
ID2109,1,0,0,1
ID2300,0,0,0,0
ID2110,1,0,0,1
ID3124,0,0,0,0
CDE2605,0,0,0,0
ID4122,0,0,0,0
ID4106,0,0,0,0
CDE2605R,0,0,0,0
ID1223,0,0,0,0
ID1115,2,2,1,5
ID1118,2,2,1,5
ID3125,0,0,0,0
ID2100,0,0,0,0
ID2122,0,0,0,0
ID2200,0,0,0,0
ID2114,0,0,0,0
ID2107,2,1,0,3
ID1117,2,2,1,5
ID3131,0,0,0,0
ID3108,0,0,0,0
ID4107,0,0,0,0
ID2322,0,0,0,0
ID2115,0,0,0,0
ID3109,0,0,0,0
ID3126,0,0,0,0
