school,degree,degree_full_name,category,total_modules,market_size,market_cutoff_score,union_relevance,collective_relevance,well_prepared_jobs,well_prepared_pct,moderately_prepared_jobs,moderately_prepared_pct,underprepared_jobs,underprepared_pct,top_module,top_module_relevance
smu,business,Singapore Management University - Business,business,29,1085,0.3175892006237704,0.3856820021777902,0.3349577832685789,603,55.576036866359445,348,32.07373271889401,134,12.350230414746544,2661,0.31239692452369483
nus,business_analytics,National University of Singapore - Business Analytics,business_analytics,52,1772,0.23444626953392306,0.3759298175146624,0.309011063391348,784,44.24379232505643,726,40.9706546275395,262,14.785553047404063,IS4010,0.3200473267334953
nus,information_systems,National University of Singapore - Information Systems,information_systems,50,1984,0.2589845434554466,0.372830771931632,0.3224721087906351,1016,51.20967741935484,697,35.131048387096776,271,13.659274193548388,IS4010,0.3193878612364852
smu,accountancy,Singapore Management University - Accountancy,business,68,1805,0.2980410947726266,0.3679462185156364,0.3330269948603538,933,51.689750692520775,709,39.2797783933518,163,9.030470914127424,26371,0.30871458178279715
nus,accountancy,National University of Singapore - Accountancy,business,31,2164,0.26078473378280315,0.3481879646625332,0.2942710885921627,707,32.670979667282815,966,44.63955637707948,491,22.68946395563771,ACC4701,0.2963526533797489
smu,social_sciences,Singapore Management University - Social Sciences,social_sciences,144,1247,0.18596576920460148,0.3455501665402337,0.2986796964859456,441,35.36487570168404,658,52.76663993584603,148,11.868484362469928,30461,0.28691385393973656
nus,civil_engineering,National University of Singapore - Civil Engineering,engineering,61,2744,0.22186390460752883,0.345294523184845,0.3018559249708321,1013,36.916909620991255,1024,37.31778425655977,707,25.765306122448976,EG3611A,0.2758401965342284
nus,chemical_engineering,National University of Singapore - Chemical Engineering,engineering,65,1728,0.17012649867786403,0.3425800833370291,0.2807945174049238,486,28.125,774,44.79166666666667,468,27.083333333333332,CN5191,0.2809035124197691
nus,real_estate,National University of Singapore - Real Estate,business,21,1210,0.19168764419751466,0.33677266512443593,0.25844136365132353,225,18.59504132231405,553,45.70247933884298,432,35.70247933884298,FIN2704,0.2525173709040842
sutd,architecture,Singapore University of Technology and Design - Architecture and Sustainable Design,design,33,2645,0.23437589226176098,0.3324829812421875,0.26354667814748,595,22.495274102079396,794,30.018903591682424,1256,47.485822306238184,20-320,0.31756566920685253
nus,biomedical_engineering,National University of Singapore - Biomedical Engineering,engineering,42,1586,0.15616434378533342,0.32822696245179156,0.274018678152696,377,23.770491803278688,766,48.29760403530896,443,27.93190416141236,EG3612,0.29814731993142773
sutd,engineering_systems,Singapore University of Technology and Design - Engineering Systems and Design,engineering,23,1333,0.24283006967150697,0.32623372813389123,0.279358273057596,440,33.00825206301575,484,36.30907726931733,409,30.682670667666915,40-250,0.2759368981874813
sutd,engineering_product,Singapore University of Technology and Design - Engineering Product Development,engineering,28,1824,0.21638881405706425,0.3251411646858162,0.26169062312077623,433,23.739035087719298,621,34.04605263157895,770,42.21491228070175,01-106,0.29688918242480494
smu,economics,Singapore Management University - Economics,business,71,1535,0.18221994651575307,0.3197608234566199,0.2695251091161069,318,20.71661237785016,749,48.79478827361564,468,30.4885993485342,23031,0.2543198401974653
nus,industrial_design,National University of Singapore - Industrial Design,design,34,1820,0.2585526429661722,0.3136532991976808,0.2754931262561756,479,26.31868131868132,741,40.714285714285715,600,32.967032967032964,ID2107,0.24211077010200563
sutd,design_ai,Singapore University of Technology and Design - Design and AI,data_science,16,1656,0.21965114288081772,0.31288590879345135,0.25211231793997335,203,12.258454106280194,800,48.309178743961354,653,39.43236714975845,02-211,0.2735693764512472
smu,computinglaw,Singapore Management University - Computing and Law,information_systems,25,1186,0.2414811793303455,0.3127103853292087,0.26340187762489203,207,17.45362563237774,571,48.14502529510961,408,34.40134907251265,6021,0.25723163749780886
nus,landscape_architecture,National University of Singapore - Landscape Architecture,design,26,2510,0.20398107792239054,0.31013896049772555,0.24337484048709696,416,16.573705179282868,743,29.60159362549801,1351,53.82470119521913,LAD3005,0.2611327656544166
smu,information_systems,Singapore Management University - Information Systems,information_systems,19,1720,0.2381745367900029,0.27972810282955657,0.23253818546275956,177,10.290697674418604,581,33.77906976744186,962,55.93023255813954,24161,0.241025476918469
nus,data_sci_analytics,National University of Singapore - Data Science and Analytics,data_science,51,1403,0.16977534982946252,0.2755113465468208,0.2357434217949676,117,8.33927298645759,561,39.98574483250178,725,51.67498218104063,DSA3288R,0.2198580567258253
sutd,computer_sci,Singapore University of Technology and Design - Computer Science and Design,data_science,31,2059,0.2000884550882455,0.2573826418172071,0.22182501411352046,176,8.547838756677999,495,24.040796503156873,1388,67.41136474016513,50-038,0.22099369279515776
