title,combined_score,topic_label,topic_module_count,avg_similarity,max_similarity,best_module,description
Mechanical Technician,0.6512763745745043,"patient centric solutions, pharmaceutical solutions passionate, cqv quality compliance",14,0.31334535333825103,0.6296911661960193,CN5173 – Downstream Processing of Biochemical & Pharmaceutical Products,"Job scope: Apply specialized knowledge to implement and maintain pharmaceutical or biological processes Calculate, organize, and document data for standard process flow sheets, including instrumentation and control aspects Assist in process and unit operation modelling Operate processing equipment following correct sequences, specifications, and instructions Conduct basic tests and measurements during production to monitor variables such as temperature, density, pressure, and viscosity Perform maintenance, troubleshoot, and resolve standard engineering issues in existing processes or equipment Adhere to established processes and procedures to ensure regulatory compliance"
Process Engineer (1 year contract),0.6488965521521854,"patient centric solutions, pharmaceutical solutions passionate, cqv quality compliance",14,0.33173430822299116,0.5810141443149447,CN5191 – Project Engineering,"Key Responsibilities: Develop Manufacturing / Operating Instructions and necessary Standard Operating Procedures. Develop, maintain and troubleshoot the process control system recipe / models. Carry out technical assessment for evaluation of processes. Investigate, report and troubleshoot findings on both quality and EHS related issues observed during manufacturing or during batch record review. Develop, implement and monitor robust preventive measures for processing issues. Play a pro-active role in ensure the site safety and quality standards are adhered to. Proactively monitor, identify, develop and implement improvements in processes and equipment. Communicate on a regular basis to the plant personnel on process updates. Train the process technicians and fellow process engineers on the process and procedures as required. Requirements Bachelor's Degree in Chemistry or Chemical Engineering. Experience in Pharmaceutical / Chemical Plant with sound understanding of API unit of operations. Knowledge of Good Manufacturing Practices and experience in pharmaceutical environment. Driven and able to work in a dynamic environment. If you have what it takes, please send your resume to syafiqah@ambition.com.sg or click APPLY NOW. Data provided is for recruitment purposes only. Regrettably, only shortlisted candidates will be notified. Business Reg No : 200611680D | Licence No : 10C5117 | EA Reg No : R2199023"
Contract Technician - Till End of Dec (Lifescience MNC) - $2000 #HKH,0.6484823685244373,"patient centric solutions, pharmaceutical solutions passionate, cqv quality compliance",14,0.3170370758442241,0.6083376909337382,CN5173 – Downstream Processing of Biochemical & Pharmaceutical Products,"Assemble Single-Use Bio-Processing Containers for critical sterile liquid-handling applications in the biopharmaceutical industry. Working environment is in Class 7, Cleanroom environment Follow standard work instructions and interpret technical drawings to ensure consistent product quality. Maintain strict adherence to ISO 13485:2016, ISO 22301:2019, and current Good Manufacturing Practices (cGMP) documentation standards to ensure regulatory compliance and quality assurance. Complete all relevant training before performing any task. Timely completion of relevant batch records with adherence to Good Documentation Practice (GDP). Participate in Practical Process Improvements (PPI) to improve production efficiency and product quality. Adhere to all safety protocols and guidelines to maintain a safe working environment. Work collaboratively with team members, including engineers, quality assurance, and maintenance personnel. Communicate effectively with supervisors and colleagues to ensure smooth production operations. Ensure accurate storage and handling of materials to prevent contamination or damage. Perform any other duties as assigned by the Manager Requirements Min NITEC in any engineering courses No exp provided - Training provided Mon to Fri, office hours Interested candidates, please forward your resume to kevynhuang@recruitexpress.com.sg Consultant: Huang Jingsheng Kevyn (R1333338) Recruit Express Pte Ltd (99C4599)"
Maintenance (Mechanical) Trainee - Train and Place Program,0.6476887990768521,"patient centric solutions, pharmaceutical solutions passionate, cqv quality compliance",14,0.3105607981377144,0.6173223991088314,CN4233R – Good Manufacturing Practices in Pharmaceutical Industry,"The Trainee scheme for Advanced Biopharmaceuticals Manufacturing technician is a talent development programme aimed at building the next generation of skilled manpower for Singapore’s Biopharmaceuticals manufacturing industry in anticipation of hiring demand. This programme is jointly supported by the Workforce Singapore (WSG) and Workforce Advancement Federation (WAF). The training programme consists of 15 months of local attachment with Roche. The Opportunity Ensure the execution and completion of maintenance tasks in full compliance with current Good Manufacturing Practices (cGMP), Safety, Health and Environment (SHE) and Quality policies and standards. Key Responsibilities Perform tasks as defined in the Maintenance Work Orders for facilities and manufacturing equipment. Review all Job Packages for accuracy and understanding prior to initiating the work. Completes maintenance/ inspection logs, work orders and other related paperwork. Ensure high quality equipment history is entered for 100% of all work ordered executed and provide feedback to the Planners regarding the correctness and quality of the Job Plans. Accurately confirm 100% of the daily time into the computerized maintenance management system using the correct Scheduling Compliance Codes. Participate in Root Cause Analyses (RCA's) and Reliability Center Maintenance Reviews (RCM's) and follow up on all corrective actions and preventive actions. Troubleshoot to resolve equipment problems, repair, perform adjustments, rebuild, maintain and return to service with minimal downtime. Perform PPM routines, preventive maintenance inspections, lubrication, restoration and repairs to plant equipment in an effort to maximize equipment availability and to avoid repeat failures. Performs technical completion of non-GMP maintenance work order; initiate follow up work order and discrepancy notification as necessary. Co-ordinate LOTO and follow all specified safety practices described in the Job Safety Analysis. Repairs and maintains, in accordance with diagrams, sketches, operation manuals, and manufacturer's specifications, machinery and mechanical equipment. Provide support to manufacturing, utility and engineering services during routine and shutdown maintenance work; and product switch-over in support of plant operations . Supervise maintenance contractors on shift to perform engineering maintenance and repair of all facilities and manufacturing equipment in support of plant operations. Coordinate with MRO storeroom personnel to establish and maintain the proper stocking levels of parts and equipment required to provide maximum equipment uptime at the lowest possible costs. All other duties and activities as directed by Supervisor. Safety, Health & Environment: Comply with all RSTO's Safety, Health & Environmental (SHE) requirements, never put oneself and others at safety & health risks, and report any workplace accidents, near misses and hazards as soon as practicable. Observe all RSTO's site security measures at all times, and report any suspicious characters/objects & damaged security mechanisms to Site Security immediately. Lean Production System: Embody PT Lean Production System (LPS), while demonstrating a continuous improvement mindset and behaviors through the use and application of LPS tools for continuous improvement initiatives. Qualifications A Diploma/ITC in Mechanical, Marine or Chemical Process Engineering with a strong background in operation and maintenance of production and utility systems. Good inter-personal and excellent organization skills. Must be self-motivated and capable of working independently as well as part of a team Must be team oriented, and customer focus, attention to details, accurate and thorough. Willing to perform shift hours as required. Have good written and verbal communication skills to interact with equipment operators, other maintenance personnel, engineers, or equipment vendors. Ability to read and comprehend equipment schematics/assembly drawings, pneumatic and hydraulic schematic diagrams. Must have excellent analytical problem solving skills to identify/determine causes of equipment or component failure and assist in developing programs to reduce occurrence rates. Preferred Willing to work at Singapore Tuas Bay Link. Willing to work at shift arrangement."
Laboratory Analyst,0.6412435355607162,"patient centric solutions, pharmaceutical solutions passionate, cqv quality compliance",14,0.3247194115716101,0.556778854660361,CN4102 – Chemical Engineering Lab,"Roles and Responsibilities: Perform raw material, intermediate and final product Quality analysis Interpret and report test results accurately and timely based on test method Compliance to HSEQ systems requirement Upkeep safety and quality standards, data integrity Maintenance of equipment calibration Manage and maintain chemicals, reagents and consumables, quality records Chemical waste management according to regulatory requirements Other work as assigned by Superior Our Requirements: NITEC/Diploma in Science related field 3-5years experience in analytical laboratory environment Hands-on experience with analytical equipment and chemicals Able to multi-task in a fast-paced environment Meticulous to detail Strong commitment to safety and quality Experience with LIMS and SAP system is advantageous"
Senior Chemical Technician – 2 years contract,0.639434662358258,"patient centric solutions, pharmaceutical solutions passionate, cqv quality compliance",14,0.3098801521832448,0.5774130074248002,CN5191 – Project Engineering,"Senior Chemical Technician (WDA) – 2 years contract Based in Singapore, the regional hub for Asia Pacific (AP) and top-rankedbiopharmaceutical company on The Straits Times and Statista’s list of Best Employers in Singapore for two consecutive years (2020, 2021). Join the premier biopharmaceutical company that has been in Singapore for more than 25 years and in AP for over 60 years. Our Manufacturing Operations teams are the people that make our products. We work in the manufacturing plants with a “Safety First, Quality Always” mindset striving for continuous improvement. We work in the local plant connected to our global manufacturing network to ensure the highest quality of raw materials, intermediates and finished products. WHAT YOU WILL DO The Chemical Technicians will operate and monitor the chemical production activities in the plant, ensure that processes are run according to process description, complete batch documentation accurately and thoroughly, while adhering to the required quality and safety standards, and in a productive, cost-effective manner.  They are also required to meet production targets/schedules while maintaining satisfactory standards of Good Manufacturing Practice, safety, and housekeeping. Operate and monitor the chemical processes assigned: Each of these processes may comprise the following activities: Participate in an appropriate hand-over of the process(es) on which he / she is working. Obtain, follow and complete process related documentation. Check prior shifts' documentation for accuracy and thoroughness. Clean vessels and lines prior to and following batches as required. Conduct all required pre-batch checks. Charge vessels with solids or liquids as directed in procedures. Conduct post-charge verification checks and take any necessary corrective action. Adjust and monitor (using all information available, including automation input/outputs and personal inspection) process conditions as required. Carry out routine sampling, testing some samples as necessary. Transfer process streams to other units in coordination with other staff. Monitor process; both with Distributed Control System (DCS) and manually observing temperature, pressure, flow, PH, volume, colour, salt content, moisture content and adjusting the parameters accordingly. Perform Batch / Offloading operations. Operate general facility service equipment such as vacuum pumps, water systems, scrubbers. Record all operational and analytical data on the appropriate documents and inform the Shift Production Lead of any process abnormalities. Put on appropriate clothing and personal protective equipment for the process and the processing area. Maintain material segregation and label appropriately and accurately all containers, bags and vessels. Carry out routine checks and scheduled cleaning procedures, for both process and facilities as required. Obtain and verify materials necessary for processing, monitor materials stock and notify Shift Production Lead as necessary in the event of a material or supply abnormality. Notify Shift Production Lead of requirement for maintenance. Prepare equipment before maintenance work e.g. depressurizing, cleaning of lines and equipment, de-energizing etc. Conduct on-the-job training of other Chemical Technicians. Perform material handling duties including forklift/reach-truck operation driving. Carry out assignments for alternate or simultaneous processes as directed. Meet eligibility requirements for the Emergency Response Team. Attend meetings and training events as required. Maintain all qualifications and development milestones as necessary for duties. Lead/participate in troubleshooting and resolving problems that arise during the processing. Lead/Participate in pre-commissioning and chemical commissioning activities as required under the direction of the Senior Manager, Operations and Shift Production Lead. Lead/Participate in SHE, Business Compliance, cGMP and all other compliance-related matters, where applicable. Lead a section of Chemical Technicians to meet production targets/schedules while maintaining satisfactory standards of Good Manufacturing Practice, safety, and housekeeping. Adhere to and comply with the company and departmental procedures, health & safety rules and regulations, and comply with current Good Manufacturing Practice and Good Housekeeping at all times. Supervise and oversee Third Party Contractors, where applicable. Any other duties as and when assigned by the Production Lead. WHAT YOU MUST HAVE To be successful in this role, you will have: Higher NITEC or Diploma in Engineering (Chemical, Mechanical, Electrical) or Science, or equivalent operations experience. Good stewardship awareness (including cGMP, regulatory inspection preparation, SHE)· Good knowledge in applicable regulations and divisional policies/guidelines (especially cleaning/housekeeping/maintenance, environmental control, process/cleaning/equipment validation, change control and manufacturing practices). Demonstrate Ethics & Integrity & Result Driven Focus on Customers & Patients & Make Rapid Disciplined Decision Act with Courage & Candor, Build Talent & Foster Collaboration Demonstrate Our Company's Inclusive Behaviors & Effective communication skills Willing to work 12 hours rotating shift (day/night) This is a career conversion program under Workforce Singapore (WSG) and candidates must meet the following criteria and are open to
the following conditions: Singaporeans/Singapore PRs only PMETs/Mid-Careerist with no prior work experience in Biopharma industry are welcomed to apply Open to two years contract WHAT YOU CAN EXPECT Limitless opportunities across various areas in Manufacturing; well-structured career path A state-of-the-art facility that delivers solution to its customers world-wide Highly engaging team that aims to innovate the future Our Manufacturing & Supply Division is committed to be the most trusted supplier of biopharmaceuticals worldwide. Our facilities, along with our external contractors, suppliers, and partners, create an interdependent global manufacturing network that’s committed to delivering a high quality, reliable supply to customers and patients on time, every time. We are proud to be a company that embraces the value of bringing diverse, talented, and committed people together. The fastest way to breakthrough innovation is when diverse ideas come together in an inclusive environment. We encourage our colleagues to respectfully challenge one another’s thinking and approach problems collectively. We are an equal opportunity employer, committed to fostering an inclusive and diverse
workplace."
R&D Manager,0.6385325785069514,"patient centric solutions, pharmaceutical solutions passionate, cqv quality compliance",14,0.2944215233163053,0.6038198459021467,CN5251 – Membrane Science & Technology,"R&D Manager (Membrane Technology) Location: Singapore Employment Type: Full-time, On-site Role Description We are seeking an experienced and hands-on R&D Manager to lead and support the development of new membrane products and continuous improvement of production processes. Based in Singapore, this role plays a critical part in translating laboratory research into scalable, high-quality membrane solutions. The R&D Manager will actively conduct and oversee experimental work, membrane characterization, material qualification, and technical evaluations. This role requires close collaboration with the technical and production teams while ensuring compliance with laboratory safety standards and best practices. Key Responsibilities Lead and support R&D activities for new membrane product development and production process improvements Plan, conduct, and supervise experiments for membrane characterization and performance evaluation Perform and support qualification testing for raw materials and finished products Analyze experimental data and provide technical recommendations for product optimization Conduct literature reviews and technical research relevant to membrane technology and product development Prepare R&D reports, documentation, and progress updates for internal stakeholders Work closely with cross-functional teams including production, quality, and engineering Ensure strict adherence to laboratory safety protocols , SOPs, and best practices Support and undertake other R&D-related tasks as assigned by the company Qualifications & Requirements Bachelor’s Degree in Chemical Engineering, Environmental Engineering, Chemistry , or a related discipline Strong analytical, troubleshooting, and problem-solving skills Ability to work effectively both independently and in a collaborative team environment Hands-on experience in membrane technology is a strong advantage Experience in laboratory testing, data analysis, and technical reporting Familiarity with industrial R&D or manufacturing environments is preferred"
Quality Control Laboratory Technician,0.6359426825108156,"patient centric solutions, pharmaceutical solutions passionate, cqv quality compliance",14,0.3086034703811748,0.5625064717917283,CN4102 – Chemical Engineering Lab,"Purpose of the Position Reporting to the Quality Control Supervisor, the Quality Control Laboratory Technician's primary responsiblity is to provide testing services for routine production and non-routine additional requirements. Job Description Perform shift (12-hour day/night) production testing as indicated in the control plan   in the quality control laboratory in compliance with all quality, safety and   environmental requirements. Perform non-routine additional requested testing as required. Perform control testing on laboratory   equipment to ensure equipment effectiveness. Review results on a Statistical Process Control (SPC) chart and initiate corrective action if out of control. Accurately input test results into laboratory database in a timely manner and inform production/laboratory   supervisor of atypical situations and out-of-specification results. Perform instrument troubleshooting if the instrument is generating atypical data, breakdown, out of calibration, etc. Perform scheduled calibration and maintenance on laboratory equipment. Perform and document routine laboratory safety system functionality testing as per schedule. Ensure good housekeeping is maintained in area of responsibility. Attend and participate periodic communication sessions (where possible). Support non-routine laboratory operation activities, like waste disposal, retention   sample handling, etc. Other laboratory/company related duties, as assigned. Job Requirements Diploma in Engineering /Chemistry or Process Technology 1-3 years experience in a Chemical or Petrochemical manufacturing operation. Fresh graduates are welcome to apply. Relevant laboratory testing experience, especially rubber/plastic, hydrocarbon, is an added advantage. Hands-on experience and familiar with Laboratory instruments like GC, HPLC, FTIR, KF titrator, XRF, Mooney, MDR, is an added advantage. Proficient in computer applications (for example: Microsoft Word, Excel, LIMS) is desirable. Positive working attitude and highly motivated with good character. Initiative, independent and team player. Good communication and interpersonal skills."
CQV Engineer,0.6319394115145517,"patient centric solutions, pharmaceutical solutions passionate, cqv quality compliance",14,0.30503856151471986,0.5496199345433184,CN5191 – Project Engineering,"Job Description: Contribute to Life Science projects for Antaes Asia clients Develop and execute CQV documentation including commissioning protocols, FAT/SAT reports, IQ/OQ/PQ protocols, summary reports, and traceability matrices. Support end-to-end CQV lifecycle for process, utility, and support systems — e.g. bioreactors, chromatography skids, filtration units, CIP/SIP, WFI, HVAC, autoclaves, and clean utilities. Participate in design reviews (URS, FDS, P&ID walkdowns) to ensure CQV considerations are integrated during project design and construction. Manage execution of commissioning and qualification activities in alignment with project schedules, safety standards, and GMP compliance. Support automation qualification (DeltaV, PLC, SCADA) and ensure integration with process control systems. Review vendor documentation and coordinate FAT and SAT with suppliers and engineering teams. Troubleshoot and resolve technical issues encountered during CQV execution. Ensure all CQV deliverables meet internal Quality and Validation standards, and align with site Validation Master Plan (VMP). Support handover of qualified systems to Manufacturing and Maintenance teams, including training and documentation. Collaborate closely with cross-functional teams including Engineering, QA Validation, Manufacturing, and Automation. Contribute to the promotion of Antaes services on top of assistance provided to clients. Job Requirements: Bachelor’s Degree in Chemical, Mechanical, Biomedical, or related Engineering field. 3–7 years of CQV experience in the pharmaceutical industry. Strong understanding of GMP, GEP, ISPE Baseline Guides, ASTM E2500, and FDA/EMA validation expectations. Experience in process equipment qualification (bioreactors, chromatography, UF/DF, CIP/SIP), clean utilities, and automation integration. Familiar with risk-based CQV approach and change control processes. Proficiency with documentation management systems (e.g., Veeva). Candidate must be highly motivated, be able to work independently as well as in a team and have good organizational and oral and written communication skills. Excellent communication skills, both written and verbal, in English - to coordinate and liase with English speaking counterparts."
MNC Lab Technician / Chemical Technician / Entry level /Junior 5Days,0.6307856332354242,"patient centric solutions, pharmaceutical solutions passionate, cqv quality compliance",14,0.3077896134492451,0.5383489392786308,CN4102 – Chemical Engineering Lab,"Entry level / Junior welcome apply 5 days work week / Permanent Role / Company transport provided Full training provided !! Job Responsibilities : * Perform quality control analysis for in-coming, intermediate and final products * Carry out calibration of equipment and ensure in working condition * Ensure activities in the laboratory are safe * Maintain up to date analysis reports Job Requirements : * Nitec / Diploma in Chemical Process Technology / Chemistry or equivalent * Preferably with hand on experience in sampling, preparation and analysis for liquid samples * Prefer experience in handling laboratory analytical equipment Good Pay + Good allowance + Good Bonus Interested candidates please send an updated Resume / CV  in Ms Word format to lilian@recruitflash.com or WhatsApp’s your resume to 98332779 ( no Calls) Consultant in-charge : Quah Li Lian (Lilian) ( Registration No: R1983286 )"
