title,combined_score,topic_label,topic_module_count,avg_similarity,max_similarity,best_module,description
Technical and Construction Supervisor,0.6791204592563538,"materials equipment subcontractor, materials installations suppliers, equipment subcontractor",10,0.39110535591908746,0.6133915844435939,CE3165 – Concrete Design for Urban Infrastructure,"Coordinate and oversee structural construction activities and technical supervision on-site. Supervise building works to ensure proper execution and progress. Liaise effectively with consultants and subcontractors to resolve issues and maintain workflow. Maintain accurate records of work completed on site. Ensure all work meets the required quality standards and conforms to project specifications. Requirements Professional Certificate/Diploma in Civil/ Structural Engineering or equivalent preferable. We regret only shortlisted candidates will be contacted. All applications will be handled confidentially. By submitting your application, you agree to the collection, use, retention, and disclosure of your personal information to prospective employers. EA License No: 20C0270 EA Personnel No: R22110981 EA Personnel Name: Law Mei Fong"
Construction Mechanical Assistant Manager [SL],0.676913041140044,"materials equipment subcontractor, materials installations suppliers, equipment subcontractor",10,0.3958219570083149,0.59292129168359,CE4104 – B. Eng. Dissertation,"Demonstrate effective site problem-solving and coordination skills to clients. Apply strong engineering expertise, particularly in design and compliance with building services codes of practice. Ensure the quality of materials and installations by suppliers and subcontractors in accordance with the ISO quality plan. Coordinate, monitor, and control suppliers’ materials, equipment, and subcontractor installation quality. Prepare shop drawings and manage drawing coordination. Develop work schedules and attend client and internal meetings. Assist the Manager in daily site operations in line with master planning, quality, and safety requirements. Coordinate closely with the main contractor to prevent rework. Control site materials and equipment to minimize wastage. Maintain close communication with suppliers and subcontractors to reduce delivery delays affecting progress. Inspect materials and installations to identify and prevent non-conformance and defects. Explore new technologies and installation methods to improve productivity. Monitor site progress closely and communicate clearly with suppliers and subcontractors. Requirements Diploma in Mechanical Engineering or equivalent. Preferable 3-8 years’ relevant experience. We regret only shortlisted candidates will be contacted. All applications will be handled confidentially. By submitting your application, you agree to the collection, use, retention, and disclosure of your personal information to prospective employers. EA License No: 20C0270 EA Personnel No: R22110981 EA Personnel Name: Law Mei Fong"
Construction Electrical Assistant Manager [SL],0.6686409381091317,"materials equipment subcontractor, materials installations suppliers, equipment subcontractor",10,0.3801821423102562,0.5828404059251461,CE4104 – B. Eng. Dissertation,"Demonstrate strong site problem-solving and coordination skills to clients. Apply solid engineering expertise, particularly in design and compliance with building services codes of practice. Ensure materials and installations by suppliers and subcontractors comply with the ISO quality plan. Coordinate, monitor, and control suppliers’ materials, equipment, and subcontractor installation quality. Prepare shop drawings and manage drawing coordination activities. Develop work schedules and attend client and internal coordination meetings. Assist the Manager with daily site operations in accordance with master planning, quality, and safety requirements. Maintain close coordination with the main contractor to minimize rework. Manage site materials and equipment to reduce wastage. Communicate closely with suppliers and subcontractors to prevent delivery delays affecting project progress. Inspect materials and installations to identify and rectify non-conformance and prevent defects. Explore new technologies and installation methods to enhance productivity. Closely monitor site progress and communicate clearly with suppliers and subcontractors. Requirements Diploma in Electrical Engineering or equivalent. Preferable 3 - 5 years relevant experience. We regret only shortlisted candidates will be contacted. All applications will be handled confidentially. By submitting your application, you agree to the collection, use, retention, and disclosure of your personal information to prospective employers. EA License No: 20C0270 EA Personnel No: R22110981 EA Personnel Name: Law Mei Fong"
Planning Engineer (Changi),0.6671157493585854,"materials equipment subcontractor, materials installations suppliers, equipment subcontractor",10,0.37115557296157,0.5932676008697866,CE4104 – B. Eng. Dissertation,"Assists in the tender process by planning work execution sequences and proposing value engineering solutions. Develops the master program for the project using Excel or MS Project. Prepares the Project Quality Plan and ensures its effective implementation on site. Ensures all works are carried out in accordance with the Project Quality Plan; monitors and inspects materials and equipment to confirm they meet approved quality standards. Prepares Method Statements and collaborates with the Safety Team to conduct risk assessments in compliance with Authority requirements. Coordinates with relevant Authorities and submits necessary applications to meet all statutory requirements. Conducts site inspections and internal audits to ensure work quality aligns with project standards and building codes. Maintains an organized documentation system to ensure traceability of data and records. Requirements Preferable 10 years of relevant experience in the Construction industry Diploma or Bachelor’s Degree in Civil Engineering/ Construction management or equivalent We regret only shortlisted candidates will be contacted. All applications will be handled confidentially. By submitting your application, you agree to the collection, use, retention, and disclosure of your personal information to prospective employers. EA License No: 20C0270 EA Personnel No: R22110981 EA Personnel Name: Law Mei Fong"
Senior Quantity Surveyor,0.6606824908957108,"materials equipment subcontractor, materials installations suppliers, equipment subcontractor",10,0.3639746494752785,0.5754631555279971,CE5807 – Integrated Digital Delivery (IDD),"Responsible for quantity surveying, BOQ, supplier and sub-contractor management Prepare the subcontractor bill of quantities, specifications, contracts and programmes and schedules for the tender/works Monitor and measure contractors works and assist the QS to certify valuations Preparation of Cost value reports Ensure the periodic reviews of suppliers and sub-contractors Attend daily and monthly meetings Ensure contractors conform to and submit all relevant SHEP documents as necessary Preparation of project budgets and monitor the monthly actuals against planned Provide technical information on specifications supply and logistics arrangements facilitating efficient procurement, clearance, storage and distribution of supplies and equipment Ensure drawings and designs meet project/tender deadlines Exposure to various industry design CAD practices and work cultures We regret only shortlisted candidates will be contacted. All applications will be handled confidentially. By submitting your application, you agree to the collection, use, retention, and disclosure of your personal information to prospective employers. EA License No: 20C0270 EA Personnel No: R22110981 EA Personnel Name: Law Mei Fong"
Senior Quantity Surveyor (Consturction),0.6596880221367062,"materials equipment subcontractor, materials installations suppliers, equipment subcontractor",10,0.3593689098348736,0.5797022910137835,CE4104 – B. Eng. Dissertation,"Responsible for taking and analysing measurements, as well as reviewing tender documentation. Implement procurement strategies and review returned tender documents. Reviews cost estimates and cash flow forecasts to communicate updates to relevant stakeholders. Manages the complete post-contract administration processes. Leads project meetings with customers and supports with dispute resolution matters when required. Builds relationships with customers and liaises with contractors, specialists and sub-contractors to help develop resource plans and monitor costs and profitability of construction works to deliver the customers’ and/or project objectives. Analyse Building Information Modelling (BIM) models to validate cost plans. Review documentation to invite tenders from contractors, specialists or sub-contractors on a competitive or negotiated basis. Review valuations and recommendations for interim payments to contractors, specialists and sub-contractors. Review and price assessment of variation cost claims. Review final accounts. Requirements Recognized Degree in Quantity Surveying or Building or equivalent preferable. Possesses knowledge of the industry, construction materials, procurement methods and regulations. Possess strong numeracy, analytical and problem-solving skills. We regret only shortlisted candidates will be contacted. All applications will be handled confidentially. By submitting your application, you agree to the collection, use, retention, and disclosure of your personal information to prospective employers. EA License No: 20C0270 EA Personnel No: R22110981 EA Personnel Name: Law Mei Fong"
M&E Resident Technical Officer (RTO),0.6556075406216567,"materials equipment subcontractor, materials installations suppliers, equipment subcontractor",10,0.363893579287209,0.550250544533865,CE5809 – Management and Economics of International Construction,"Qualification: A recognised Diploma in Mechanical/Electrical Engineering Building Services or ITC Certificate or equivalent. Experience: Minimum 10 years of relevant site experience in the supervision of building M&E Services. Familiar with local codes and regulations. Experience in new chilled water system A&A and new proposed development projects would be added advantage. Site Location: Loyang Way Expected Commencement Date: March 2026. Estimated Contract Period: 7 to 9 months. Working Days: 5.5 days per week. Duties and Responsibilities: The primary objective of the M&E RE/RTO shall be to assist the M&E Engineer/Client in ensuring that the M&E Installation works are in accordance with the specified requirements with respect to design, quality and performance. Duties and responsibilities shall among others, encompass the following: - General Assist the client/consultant to oversee all project activities; to prepare weekly progress report update to Clients/ Consultants. Prepare weekly progress report update to Clients/Consultants. To ensure that all installation methods and material used are in accordance with the contract drawings and specifications as well as client’s house rule and the Greenmark and Environmental Aspects and Impacts requirements. To liaise with the Contractors and the M&E Engineer in the checking and approval of shop drawings, catalogues and samples. To liaise with the Contractors in the co-ordination of site works. To liaise with the Contractors in resolving site problems. All problems on site shall be referred immediately to the M&E Engineer. The M&E RTO shall issue sketches or site memos as and when necessary. All site memos shall be copied to the M&E Engineer. The M&E RE/RTO shall not issue Instructions/Directions. To monitor and ensure that the site progress is in accordance with the approved construction programme. Any deviation from the construction schedule shall be reported immediately to the M&E Engineer. Technical To check on site that all materials used are of the approved type and of the best quality. To check on site that all installation works are of the approved methods as specified in the approved drawings. To check on site that all material and equipment used have been approved by the M&E Engineer. To ensure that the contractors record accurately on drawings, the installation works on site. This is to ensure that the ‘As-Built’ drawings reflect accurately the work that has been done on site. To check on site that all material and equipment installed on site are according to the code and client requirements approved by the M&E Engineer. Cost and Records To record, co-relate and file all incoming and outgoing design, shop, construction and co-ordination drawings. To record, co-relate and file all incoming and outgoing mail pertaining to the M&E works. To check and record the contractor's site progress. The M&E RE/RTO shall be required to submit the daily progress report to the M&E Engineer on a weekly basis. A monthly progress assessment/summary with comments on contractor's performance and forecast of manpower requirements and problem areas. To advise the M&E Engineer on the percentage of M&E works completed, equipment/material delivered to site for the purpose of progress payment evaluation. To check Contractors' claims and variation orders. Actual site check and measurement shall be carried out."
Mechanical Assistant Director [SL],0.6541492918160962,"materials equipment subcontractor, materials installations suppliers, equipment subcontractor",10,0.3598164656585501,0.5511135277633805,CE5808 – Digital Design and Construction (BIM and VDC),"Demonstrate strong site problem-solving and coordination skills to clients. Particularly in design and compliance with building services codes of practice. Ensure materials and installations by suppliers/subcontractors comply with the ISO quality plan. Coordinate, monitor, and control suppliers’ materials, equipment, and subcontractor installation quality. Prepare shop drawings and manage drawing coordination. Develop work schedules and attend client and internal coordination meetings. Assist the manager with daily activities in line with master planning, quality, and safety requirements. Maintain close coordination with the main contractor to minimize rework. Manage site materials and equipment to reduce wastage. Communicate effectively with suppliers and subcontractors to prevent delivery delays affecting progress. Inspect works and materials to identify and prevent non-conformance and defects. Explore new technologies and installation methods to improve productivity. Closely monitor site progress and communicate updates clearly to suppliers and subcontractors. Requirements Diploma in Mechanical or equivalent. Preferable with 5-10 years relevant experience. Knowledge of ISO 9000, 45001, 14001. Possess ISO Internal Quality Auditor and Building Construction Safety Supervisor Course. We regret only shortlisted candidates will be contacted. All applications will be handled confidentially. By submitting your application, you agree to the collection, use, retention, and disclosure of your personal information to prospective employers. EA License No: 20C0270 EA Personnel No: R22110981 EA Personnel Name: Law Mei Fong"
Project Quantity Surveyor (Architectural Works / West Region),0.6524369662087213,"materials equipment subcontractor, materials installations suppliers, equipment subcontractor",10,0.34085879845738576,0.5804672341288347,CE5809 – Management and Economics of International Construction,"Responsibilities: Monitor and control project costs for MRT station projects to ensure budget compliance. Prepare and analyze cost comparisons to identify cost-saving opportunities. Obtain, evaluate, and negotiate quotations with subcontractors and suppliers. Perform quantity take-offs and measurements for cost estimation and billing. Prepare variation orders, claims, final accounts, and settlement documents. Manage monthly progress claims, variations, and subcontractor payments. Administer post-contract matters for main contracts and subcontracts. Liaise with consultants, QS, architects, developers, contractors, and suppliers. Source and recommend cost-effective materials in line with project requirements. Prepare detailed financial reports in Mandarin for China head office. Work independently with strong analytical skills and attention to detail. Collaborate effectively as a team player to support project delivery. Requirements: Degree in Building, Quantity Surveying, or Civil Engineering. Minimum 5 years’ experience as a Quantity Surveyor with main construction companies. ______________________________________________________ HOW TO APPLY : Interested candidates, please submit your resume by clicking on “Quick Apply” or contact win@hkmsvs.com for more details. Please provide following information in the resume for immediate processing 1) Reasons for leaving current and/or last employment 2) Last drawn and/or current salary 3) Expected salary 4) Date of availability and/or Notice Period All applications will be treated in strictest confidence and only shortlisted candidates will be notified Wee Wai Dan EA License No : 03C5391 EA Reg No : R22109628"
Electrical Engineer [SL],0.6521309176505852,"materials equipment subcontractor, materials installations suppliers, equipment subcontractor",10,0.35879892370070876,0.543056740851508,CE4104 – B. Eng. Dissertation,"Demonstrate strong site problem-solving and coordination skills to clients. Particularly in design and compliance with building services codes of practice. Ensure materials and installations by suppliers and subcontractors comply with the ISO quality plan. Coordinate, monitor, and control suppliers’ materials, equipment, and subcontractor installation quality. Prepare shop drawings and manage drawing coordination. Develop work schedules and attend client and internal meetings. Assist the Manager in daily site operations in accordance with master planning, quality, and safety requirements. Maintain close coordination with the main contractor to minimize rework. Control site materials and equipment to reduce wastage. Communicate closely with suppliers and subcontractors to minimize delivery delays affecting progress. Inspect materials and installations to identify and prevent non-conformance and defects. Explore new technologies and installation methods to enhance productivity. Monitor site progress closely and ensure clear communication with suppliers and subcontractors. Requirement Diploma in Electrical Engineering or equivalent. Preferable 3-5 years relevant experience. We regret only shortlisted candidates will be contacted. All applications will be handled confidentially. By submitting your application, you agree to the collection, use, retention, and disclosure of your personal information to prospective employers. EA License No: 20C0270 EA Personnel No: R22110981 EA Personnel Name: Law Mei Fong"
