title,combined_score,topic_label,topic_module_count,avg_similarity,max_similarity,best_module,description
Principal Data Scientist (Aerospace),0.6702604392902631,"data engineer, data engineers, data analyst",18,0.34894062671278436,0.6534209430257464,DSA4262 – Sense-making Case Analysis: Health and Medicine,"Responsibilities: Lead and collaborate with data scientists and analysts to drive innovation, knowledge sharing, and continuous improvement. Design, develop, and deploy robust analytical and machine learning models using advanced statistical techniques. Partner with business and technical stakeholders to identify key challenges and translate them into data-driven solutions. Develop dashboards and data visualisations to effectively communicate insights to technical and non-technical audiences. Stay current with emerging data science trends, tools, and methodologies, applying relevant advancements where appropriate. Contribute to the establishment and enhancement of data governance, data quality, and analytics best practices. Requirements Master’s degree or PhD in Data Science, Statistics, Machine Learning, Computer Science, or a related quantitative discipline. Significant hands-on experience in data science or advanced analytics roles, preferably within complex engineering or operational environments. Strong proficiency in Python and/or SQL, with experience using machine learning libraries and frameworks. Demonstrated ability to manage multiple projects concurrently and deliver high-quality outcomes in a fast-paced setting. Strong analytical and problem-solving skills, with the ability to interpret and extract insights from complex datasets. Excellent communication and stakeholder engagement skills, with the ability to explain technical concepts clearly to non-technical audiences. Familiarity with enterprise systems (e.g. PLM, MES, MRO) and cloud platforms such as AWS will be advantageous. To submit your application, please apply online to apply@rn-care.com or call +(65) 6513 5697 for private and confidential discussion. Your interest will be treated with the strictest of confidence. We regret that only shortlisted candidates will be notified or contacted. RN Care Pte. Ltd EA License No: 17C8900"
Data Scientist,0.6623414771665148,"data engineer, data engineers, data analyst",18,0.32350930739091266,0.6646887710507488,DSA4265 – Sense-making Case Analysis: Economics and Finance,"Data Scientist (Hong Kong) Our Client is a global quantitative and systematic
investment manager, operating in all liquid asset classes across the world. They
are a technology and data driven group implementing a scientific approach to
investing. Combining data, research, technology, and trading expertise has
shaped their collaborative mindset which enables them to solve the most complex
challenges. Their culture of innovation continuously drives their ambition to
deliver high quality returns for their investors. They are looking for an exceptional Data Scientist to join the
Data Search & Analytics team. In this role, you will work between the
Research and Trading desks, and the Engineering team to ensure the successful
leveraging of data at the firm. Your future role This team is integral to the firm’s success. As such, your
responsibilities will include: Collaborating
     with Quantitative Researchers and Traders to design datasets that drive
     systematic strategies and to inform discretionary trading decisions Prototyping
     and designing code to extract, clean, and aggregate data from a wide range
     of raw sources and formats Working
     with Engineers to automate and optimise your code, ensuring robust data
     extraction processes Managing
     the end-to-end process of onboarding new datasets Proactively
     solving data related problems to minimise time to production Innovating
     and experimenting with novel data extraction methods to enhance the firm’s
     data onboarding toolkit Your present skillset 3+
     years of experience as a Data Scientist (or similar position); experience
     in a buy-side quantitative finance role is advantageous Postgraduate
     degree in a quantitative discipline such as Mathematics, Physics or
     Engineering. Advanced
     programming experience in Python, including proficiency with data handling
     libraries such as Pandas and NumPy Demonstratable
     interest in financial markets and the application of data in its analysis
     and understanding Experience
     working with both traditional and alternative financial datasets Excellent
     communication skills, with the ability to effectively collaborate with all
     stakeholders, including researchers, traders, engineers, management, and
     external vendors Ability
     to work in a high-performance, high-velocity environment"
Junior Data Analyst (Databricks),0.6549939212881177,"data engineer, data engineers, data analyst",18,0.30492394668697,0.6651217130666485,DSA4263 – Sense-making Case Analysis: Business and Commerce,"InfoCepts is a global leader of end-to-end data & analytics solutions with nearly 20 years of experience, also named as Gartner’s 2020, 2021 and 2022 customers’ choice for Data & Analytics providers. We continue to grow rapidly year over year, now employing more than 1,200 people in offices across the globe. As we have grown, we have stayed true to our mission—to always help our customers stay modern that help them make smart, data-driven decisions. Since 2004, we have deployed hundreds of high performance analytics applications over web and mobile platforms, built several advanced analytics models, processed petabytes of data using Big Data technologies and delivered several high impact business solutions. Driven by our vision of delivering great customer experiences, we are looking for professionals who are passionate about making the world a better place by leveraging the power of data. We are hiring aspiring / proven data analyst to join us. Roles and Responsibilities: Design, build, and maintain interactive dashboards and reports Develop and optimize SQL queries to extract, transform, and analyze data from various data sources Perform data analysis and automation using Python Collaborate with business stakeholders to gather, understand, and document reporting and analytics requirements Translate business requirements into technical specifications and BI solutions Ensure data accuracy, consistency, and performance across dashboards and reports Support data validation, testing, and ongoing enhancement of BI assets Provide insights and recommendations based on data analysis to support business objectives Maintain documentation for dashboards, data models, and reporting logic Skills Required: Bachelor’s degree in Computer Science, Engineering, or a related field (or equivalent work experience). Open to fresh graduates with relevant internship experience Experience in Databricks Experience in Tableau/PowerBi dashboard development Strong proficiency in SQL for data querying and analysis Working knowledge of Python for data analysis and automation Experience in requirements gathering and stakeholder engagement Ability to translate business questions into data-driven solutions Strong analytical and problem-solving skills"
Data Analyst,0.6448969186646157,"data engineer, data engineers, data analyst",18,0.2986955706672282,0.6270934519886224,DSA4263 – Sense-making Case Analysis: Business and Commerce,"CCS is looking for a highly motivated Data Analyst. This role is
critical in transforming data into actionable insights that drive business
decisions. The successful candidate will be responsible for reporting, trend analysis, and collaborating with stakeholders to deliver data-driven solutions. Key Responsibilities Utilize Python for data processing, automation, and advanced analytics. Develop and maintain reports and dashboards using Power BI. Perform trend analysis and identify patterns to support strategic initiatives. Present findings and recommendations to management in a clear, concise, and impactful manner. Required Skills & Qualifications Strong proficiency in Python for data manipulation and analysis. Expertise in Power BI for visualization and reporting. Solid understanding of trend analysis, statistical methods, and data modeling. Excellent communication skills to convey complex data insights effectively."
Data Engineer,0.6427894390871203,"data engineer, data engineers, data analyst",18,0.29489409372952413,0.6241590079765532,DSA4263 – Sense-making Case Analysis: Business and Commerce,"Deegit Asia Pte Ltd is looking for a highly motivated and detail-oriented Data Engineer with 6 to 7 years of experience to join our growing analytics team. The ideal candidate will have strong analytical skills, hands-on experience in Databricks, Pyspark, AWS and a passion for data-driven decision making. You will play a key role in designing data pipelines and data storage solutions, including databases, data lakes, and warehouses. Overview Use comprehensive modern data engineering techniques and methods with Advanced Analytics to support business decisions for clients. can collect, aggregate, and analyze structured/unstructured data from multiple internal and external sources and patterns, insights, and trends to decision-makers. Your goal is to support the use of data-driven insights to help our Clients achieve business outcomes and objectives. In this role, you will be responsible for extracting, analyzing, and interpreting large datasets to support strategic business decisions. Proficiency in Pyspark, Databricks and data analytics is essential, as you will work closely with stakeholders to design data transformations , and orchestrating pipelines · Work across workstreams to support data requirements including reports and dashboards · Analyze and perform data profiling to understand data patterns and discrepancies following Data Quality and Data Management processes · Understand and follow best practices to design and develop the E2E Data Pipeline: data transformation, ingestion, processing, and surfacing of data for large-scale applications · Develop data pipeline automation using Azure, AWS data platform and technologies stack, Databricks, Data Factory · Understand business requirements to translate them into technical requirements that the system analysts and other technical team members can drive into the project design and delivery · Analyze source data and perform data ingestion in both batch and real-time patterns via various methods; for example, file transfer, API, Data Streaming using Kafka and Spark Streaming · Analyze and understand data processing and standardization requirements, develop ETL using Spark processing to transform data · Understand data/reports and dashboards requirements, develop data export, data API, or data visualization using Power BI, Tableau, or other visualization tools Key Accountabilities · Work with large datasets · Use Pyspark for data wrangling, transformation, and statistical analysis. · Build reports, dashboards, and visualizations to present findings to stakeholders. · Collaborate with cross-functional teams including business, product, and engineering to support analytics needs. · Assist in developing data models and data pipelines as needed. · Ensure data accuracy and consistency through validation and quality checks. · Investigate and fix performance issues · Travel as needed. Key Role Capabilities Requirement · Bachelor’s degree in Computer Science, Computer Engineer, IT, or related fields · Minimum of 4 years’ experience in Data Engineering fields · Data Engineering skills: Python, SQL, Spark, Cloud Architect, Data & Solution Architect, API, Databricks, Azure, AWS · Data Visualization skills: Power BI (or other visualization tools), DAX programming, API, Data Model, SQL, Story Telling and wireframe design · Business Analyst skills: business knowledge, data profiling, basic data model design, data analysis, requirement analysis, SQL programing · Basic knowledge in Data Lake/Data Warehousing/ Big data tools, Apache Spark, RDBMS and NoSQL, Knowledge Graph · Experience working in a Singapore public sector, client-facing/consulting environment is a plus · Team player, analytical and problem-solving skills Education Qualifications Bachelor’s degree in computer science or other relevant fields. Equivalent combination of Education and experience will also suffice."
Research Assistant (12-Month Contract | SGD 3000 - SGD 3100) – JO 27772,0.639899461790957,"data engineer, data engineers, data analyst",18,0.29793355693226675,0.6036301950902514,DSA4262 – Sense-making Case Analysis: Health and Medicine,"Key Highlights : Office Hours: Monday-Friday Nearest MRT: Caldecott Station Be a part of a data-driven team to support frontline programmes with visual insights. Key Responsibilities: Extract, locate and convert information from structured and unstructured sources (e.g., case notes, reports, session logs, genograms) into predefined structured data fields. Clean and process datasets for analysis using Excel and related tools. Produce visualisations (charts, tables) for operational reporting and stakeholder briefings. Contribute to data-driven process improvements and help identify opportunities to automate/manual workflow efficiencies. Maintain strict confidentiality and comply with data-protection practices when handling sensitive records. Provide general administrative support and ad-hoc data tasks as assigned by the team lead. Key Requirements: Holder (Bachelor’s Degree) Minimum 1 year relevant experience in data processing, data entry, analytics, or related administrative work. Advanced Excel skills (data cleaning, PivotTables, basic formulae). Experience with Power BI, Tableau, SQL, or Python is advantageous. Strong attention to detail, methodical approach, and ability to work with sensitive information. Good written and spoken English; clear communication and stakeholder engagement skills. Able to work independently and collaboratively in a team environment. Only shortlisted candidates are notified. Thank you. By submitting your resume or personal data, you consent to BGC Group Pte Ltd collecting, using, and disclosing your personal data to our clients and partners for the purpose of evaluating your suitability for job opportunities and related recruitment services. You acknowledge that you have read, understood, and agree to our Privacy Policy for Job Applicants, available at https://bgc-group.com/notice-for-job-applicants. BGC Group Pte Ltd (Outsourcing) EA 05C3053"
Senior Data Scientist,0.638988614782715,"data engineer, data engineers, data analyst",18,0.2855374623007074,0.6238681493121594,DSA4266 – Sense-making Case Analysis: Science and Technology,"Synthesis x Senior Data Scientist At Synthesis, we push the boundaries of what’s possible with Open Data. It’s a fast-paced, rapidly-changing environment at the intersection of data science, cultural analysis & brand consultancy. We call this Open Source Intelligence for brands. As a Senior Data Scientist at Synthesis, you will play a key role in shaping our data science practice and driving innovation across both client projects and internal products. You will lead end-to-end data initiatives, delivering project work from shaping datasets and building models to designing scalable data workflows that power the insights and decision frameworks we deliver. You will work with diverse open data sources, ranging from search, social, and e-commerce, to academic papers and patents, to understand audience behaviour and anticipate how needs will evolve over time. In this role, you will not only contribute hands-on but also guide junior data scientists, act as a thought partner to cultural strategists, and help define the roadmap for our data products and infrastructure. We are a small, collaborative team with diverse backgrounds, spanning computer science and engineering, anthropology, and law. We value curiosity, creativity, and a spirit of experimentation. If you are excited about combining data and culture to solve real-world problems, we would love to hear from you! What you’ll need. 5+ years of experience in data science, with a strong record of delivering impactful projects from data exploration through to production deployment. Deep proficiency in Python and SQL, with strong software engineering fundamentals (clean, modular, well-documented code, testing, and version control with Git). Proven experience designing and building scalable data workflows or data-driven products, including architecting pipelines, modular components, and reusable frameworks. Experience applying large language models or advanced NLP techniques (e.g. embeddings, semantic parsing, topic modelling, text classification); familiarity with processing Asian languages is a plus. Strong grasp of statistical methods and core machine learning algorithms, with practical experience using libraries such as scikit-learn, statsmodels, and the ability to select appropriate models based on data characteristics and problem context. Comfortable working with large, messy, and unstructured datasets, particularly text and image-based data. Ability to translate complex technical insights into clear, actionable recommendations for non-technical stakeholders, and collaborate closely with strategists to drive business outcomes. A collaborative mindset, with openness to feedback and diverse perspectives. Bonus points if you have the following. Experience leading or mentoring junior data scientists, including setting technical direction and supporting professional growth. Experience building and maintaining production-grade data pipelines (e.g. Airflow, Dagster) or integrating data from APIs, web scraping, or third-party providers. Familiarity with cloud environments such as Google Cloud or AWS, and deploying data science workflows at scale Why Synthesis? Synthesis is known for delivering exceptional data models and products that uncover the stories of the people they represent and inspire our partners to act with confidence. Partnering with the world’s most successful brands in fashion, beauty, content, and travel, we’re building specialised solutions to solve problems of planning for the future. Rooted in culture, tested in data science, we spot and anticipate changes and connections in culture to inspire action and help brands grow with a new wave of audiences. After three years of iterative development and refinement, we are preparing to launch a series of products over the next 5 years. We will be at the forefront of a shift towards leveraging open data to develop rich, honest, human insight. In an industry that has, for too long, relied on a ‘question-response’ approach to understanding changes in behaviour, we prioritise layering behavioural, performative, search, and sales data to highlight discrepancies between what people say they do and what they actually do. We see a $40 billion industry that has failed to innovate for too long, and we are just getting started. About Synthesis We do Human Centred Data Science. It’s a way of reimaging open data sources from a human perspective. It prioritises behaviour and context to unravel why people do what they do, at scale.  By blending data science with human and market intelligence, we help our clients spot early signals of change and predict implications for business. Diverse by design. Synthesis is a team of digital researchers, gaming designers, data forecasters, network scientists, ethnographers, and engineers.  Cultural and category experts train our models – ensuring they detect measures that matter most – whilst data scientists uncover patterns the eye cannot see. Building bespoke, comprehensive datasets where none exist. We work with open data - search, ratings, social, and sales.  By layering many signals, we build robust and relevant data-driven stories around brands, businesses, and consumer behaviour. Asia first, global applied. Our products must work in Asia first - the hardest test markets.  We continue to make significant investments in language and capabilities across Asian-specific platforms.  Now applied in Europe, LatAm, and the USA."
INFORMATION TECHNOLOGY CONSULTANT,0.6360135883009714,"data engineer, data engineers, data analyst",18,0.30640894192928064,0.5672500576462958,DSA4263 – Sense-making Case Analysis: Business and Commerce,"Responsibilities · Design, build, and maintain efficient and scalable ETL (Extract, Transform, Load) data pipelines to support analytics and reporting use cases. · Develop and manage core data infrastructure including data lakes, data warehouses, and databases . · Integrate structured and unstructured data from various sources into unified datasets to support enterprise reporting, dashboards, and advanced analytics. · Optimize data workflows for performance, scalability, and reliability . · Collaborate with data analysts, data scientists, and business users to understand requirements and ensure data solutions meet their needs. · Monitor and troubleshoot pipeline failures and performance issues, ensuring timely resolution. · Document data flows, processes, and system configurations in accordance with governance standards. Skills/Requirement · Strong SQL skills and experience with relational databases (e.g., PostgreSQL, MySQL, SQL Server). · Experience with data pipeline tools and frameworks (e.g., Apache Airflow, DBT, Luigi). · Proficiency in programming languages such as Python, Java, or Scala. · Experience with big data technologies (e.g., Hadoop, Spark). Interested candidates, who wish to apply for the above position, please send in your resume to: ansari.abdulrahman@persolapac.com PERSOL Singapore Pte Ltd EA License No. 01C4394 EA Reg No: R23118975 (ABDUL RAHMAN ANSARI RAJA) We regret to inform you that only shortlisted candidates will be contacted. ********************************** This is in partnership with Employment and Employability Institute Pte Ltd (“e2i”). e2i is the empowering network for workers and employers seeking employment and employability solutions. e2i serves as a bridge between workers and employers, connecting with workers to offer job security through job-matching, career guidance and skills upgrading services, and partnering employers to address their manpower needs through recruitment, training, and job redesign solutions. e2i is a tripartite initiative of the National Trades Union Congress set up to support nation-wide manpower and skills upgrading initiatives. By applying for this role, you consent to e2i’s PDPA . By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOL Singapore Pte Ltd and its affiliates to collect, use and disclose your personal data for the purposes set out in the Privacy Policy available at https://www.persol.com.sg/policies . You acknowledge that you have read, understood, and agree with the Privacy Policy. **********************************"
Data Engineer,0.6334919018512754,"data engineer, data engineers, data analyst",18,0.298010509944254,0.5714384893678685,DSA4263 – Sense-making Case Analysis: Business and Commerce,"Bounteous is a premier end-to-end digital
transformation consultancy dedicated to partnering with ambitious brands to
create digital solutions for today’s complex challenges and tomorrow’s
opportunities. With uncompromising standards for technical and domain
expertise, we deliver innovative and strategic solutions in Strategy,
Analytics, Digital Engineering, Cloud, Data & AI, Experience Design, and
Marketing.` One of our
key Financial Services clients is looking for a Data Engineer for
a senior position based in Singapore. Job
Description We are seeking a skilled and motivated Data Engineer with
expertise in Hadoop, Spark, OpenShift Container Platform (OCP), and DevOps
practices. As a Data Engineer, you will be responsible for designing,
developing, and maintaining efficient data pipelines, processing large-scale
datasets. Your expertise in Hadoop, Spark, OCP, and DevOps will be crucial in
ensuring the availability, scalability, and reliability of our ML Solutions. The
primary application you will be working on is the Quantexa platform in the AML
domain. Responsibilities: ·       Implement data
transformation, aggregation, and enrichment processes to support various data
analytics and machine learning initiatives ·       Collaborate with
cross-functional teams to understand data requirements and translate them into
effective data engineering solutions ·       Ensure data quality and
integrity throughout the data processing lifecycle ·       Design and deploy data
engineering solutions on OpenShift Container Platform (OCP) using
containerization and orchestration techniques ·       Optimize data engineering
workflows for containerized deployment and efficient resource utilization ·       Collaborate with DevOps
teams to streamline deployment processes, implement CI/CD pipelines, and ensure
platform stability ·       Implement data governance
practices, data lineage, and metadata management to ensure data accuracy,
traceability, and compliance ·       Monitor and optimize data
pipeline performance, troubleshoot issues, and implement necessary enhancements ·       Implement monitoring and
logging mechanisms to ensure the health, availability, and performance of the
data infrastructure ·       Document data engineering
processes, workflows, and infrastructure configurations for knowledge sharing
and reference ·       Stay updated with emerging
technologies, industry trends, and best practices in data engineering and
DevOps ·       Provide technical
leadership, mentorship, and guidance to junior team members to foster a culture
of continuous learning and innovation to the continuous improvement of the
analytics capabilities within the bank Requirements: ·       Bachelor’s degree in
computer science, Information Technology, or a related field ·       At least 6 years of
experience as a Data Engineer, working with Hadoop, Spark, and data processing
technologies in large-scale environments ·       Strong expertise in
designing and developing data infrastructure using Hadoop, Spark, and related
tools (HDFS, Hive, Pig, etc) ·       Experience with
containerization platforms such as OpenShift Container Platform (OCP) and
container orchestration using Kubernetes ·       Proficiency in programming
languages commonly used in data engineering, such as Spark, Python, Scala, or
Java ·       Knowledge of DevOps
practices, CI/CD pipelines, and infrastructure automation tools (e.g., Docker,
Jenkins, Ansible, BitBucket) ·       Experience with jobs
schedulers like Control-m ·       Experience with Graphana,
Prometheus, Splunk will be an added benefit ·       Quantexa exposure and/or
certification a strong plus ·       Strong problem-solving and
troubleshooting skills with a proactive approach to resolving technical
challenges ·       Excellent collaboration and
communication skills to work effectively with cross-functional teams ·       Ability to manage multiple
priorities, meet deadlines, and deliver high-quality results in a fast-paced
environment ·       Experience with cloud
platforms (e.g., AWS, Azure, GCP) and their data services is a plus Key Technical Skills: ·      
Scala ·      
Python ·      
Spark ·      
Java ·      
SQL, ·      
Shell Script, Java ·      
Hadoop / Cloudera ·      
Elastic Search ·      
Read Heat OCP What's
on Offer Bounteous
brings together 5000+ employees spanning North America, APAC, and EMEA, and
partnerships with leading technology providers. Through advanced digital
engineering, technology solutions, and data-driven digital experiences, we
create exceptional and efficient business impact and help our clients win. Bounteous
is focused on promoting an inclusive environment and is proud to be an equal
opportunity employer. We celebrate the different viewpoints and experiences our
diverse group of team members bring to Bounteous. Bounteous does not
discriminate on the basis of race, religion, colour, gender identity,
sexual orientation, age, physical or mental disability, national origin, or any
other status protected under state, or local law."
Senior Data Scientist,0.632088740115207,"data engineer, data engineers, data analyst",18,0.3174046159459419,0.5256344686841513,DSA3101 – Data Science in Practice,"About Scientific Infra Scientific Infra is a provider of market indices, benchmarks and valuation analytics for investors in unlisted infrastructure equity and private debt. EDHECinfra maintains the infraMetrics® platform: an online information system that gives access to key market indices including the infra300® and infra100® series. InfraMetrics® also includes a wealth of valuation data and analytics, risk metrics, a fund strategy analysis tool providing robust performance quartiles for any segment, strategy or vintage, and peer group analyses allowing investors to compare themselves against comparable segments of the market. Responsibilities: • The successful applicant will be responsible for the development of model pipeline tools to convert unstructured financial and textual data into structured data formats • Liaise with the production team to implement and maintain the developed models. • Providing ongoing analysis and commentary of the investment outlook of an infrastructure sector. • Work closely with the Head of Data to develop other data products as necessary. Skills and Qualifications: This is an opportunity for a candidate with: • 3-4 years professional experience • Work experience in building and deploying applications and machine learning technology • Familiar with different programming/statistics language • Knowledge in big data processing framework and cloud services (e.g. Spark, MongoDB, AWS) • Knowledge of the data collection methodologies and its tools in industry scenario (e.g. Prodigy, Amazon MTuck) • Knowledge of machine learning techniques and applications (including image processing, natural language processing, Python, R, MySQL) • Knowledge of XBRL/iXBRL is desirable • Familiar with web technologies (i.e. Javascript, HTML-CSS) • Degree in Computer Science, IT, or similar field; Master - is a plus • Data engineering certification (e.g. IBM) - is a plus This is a full-time, permanent position. Remuneration is competitive and includes a bonus for meeting performance objectives. Attractive salary and bonus, healthcare and pension plan coverage. Flexible work is available, but with an expectation of a minimum three days in the office. The salary will be determined according to EDHEC's pay scale, the candidate's qualifications and experience. A work pass is necessary. Flexible work is available, but with an expectation of a minimum three days in the office. To apply for this offer, please send a CV and a cover letter to: recruitment@edhec-dbd.com. To know more about Scientifc Infra: https://edhec.infrastructure.institute/mission"
