title,combined_score,topic_label,topic_module_count,avg_similarity,max_similarity,best_module,description
Interior Designer (Hospitality),0.733022410333025,"interior design consultant, senior interior designer, interior design firm",12,0.507617555002607,0.6498769416599106,ID2122 – Ecodesign And Sustainability,"Aedas is one of the world’s leading architecture design practices with a core mission to create inspiring designs that enhance the built environment and enrich lives — today and for future generations. Aedas leverages on its global network of expertise and deep understanding of local culture to deliver design solutions tailored to the nuances and needs of the communities we design for. We take a holistic design approach to sustainability with the goal of maximising benefits to the natural environment and communities, thereby building a better environment in which to work, live, play, and learn. Aedas operates from 3 principal Design Centres in Asia, Europe and the Middle East with a global network of 13 offices and over 1,000 staff spanning 4 continents. With a commitment to design excellence, we offer expertise in Architecture, Interior Design, Master Planning and Urban Design, across a broad range of sectors including Commercial, Residential, Mixed-Use, Education, Hospitality (including Integrated Resorts), Retail, Transportation, Aviation, Civic & Cultural, and Sports & Leisure. Key Responsibilities : • Assist in space planning, layouts, and design development. • Support design presentations, material boards, and visualization work. • Prepare drawings and documentation for design and construction phases. • Coordinate with vendors and consultants on finishes and FF&E. • Maintain project documentation with attention to consistency and detail. Key Competencies: • Good design sensibility and attention to detail. • Good visual communication and presentation skills. • Organized and responsive in managing tasks and timelines. • Clear communicator and collaborative team member. Application Link: https://careers.aedas.com/jobs/7119873-interior-designer-hospitality?promotion=1808769-trackable-share-link-application-link"
Internship Interior Designer,0.7183163198522384,"interior design consultant, senior interior designer, interior design firm",12,0.492468820860563,0.606643957540066,ID2107 – Design Platforms A,"Launch Your Interior Design Career: A Career-Focused Internship About Us: At HG Works Pte Ltd, we are passionate about crafting inspiring and functional spaces. As a dynamic interior design firm, we believe in nurturing the next generation of talent. When you join our collaborative team, you’re not just completing tasks; you’re building the foundation for your professional future. Your Career Opportunity: This full-time internship is designed as a launchpad for your design career. Go beyond academic theory and immerse yourself in the complete lifecycle of live projects. Under the direct mentorship of our senior designers, you will develop the practical skills and professional mindset essential for success in the industry. The internship begins with a 3-month introductory period to ensure a valuable mutual fit, with the opportunity to extend for deeper, long-term career development. Build Your Professional Skills & Portfolio: In this role, you will actively contribute while building critical career assets: Develop Design Solutions: Assist in creating tangible design concepts, including space planning, material palettes, and colour schemes that solve real client needs. Master Project Coordination: Gain hands-on experience supporting projects from concept to installation, learning to liaise effectively with clients, suppliers, and contractors. Enhance Client Communication: Participate in client meetings and contribute to presentation materials, building confidence and professional communication skills. Execute Collaborative Workflow: Collaborate with our internal team to see how design intent is translated into actionable project plans. Strengthen Industry Knowledge: Conduct research on trends, materials, and innovations, keeping your design thinking current and informed. Your Foundational Profile: We are looking for a future colleague who is building their professional toolkit: Currently pursuing or a recent graduate of a Diploma/Degree in Interior Design or a related field. Building Technical Proficiency: Foundational skills in AutoCAD, SketchUp, and Adobe Creative Suite (Photoshop, InDesign) are essential. Demonstrating Core Competencies: A keen visual eye, clear communication, and strong organizational abilities. Possessing a Professional Mindset: A proactive, eager-to-learn attitude and the collaborative spirit needed in a studio environment. Showcasing Your Potential: A portfolio that reflects your design thinking and passion, even if it's academic or personal work. Invest in Your Career Future – What You Will Gain: This internship is an investment in your long-term success. Here’s how it will propel your career forward: Professional Mentorship: Receive direct, ongoing guidance from experienced designers who are invested in your growth. A Robust Professional Portfolio: Contribute to real-world projects, giving you compelling, client-based work to showcase to future employers. Inside Industry Insight: Understand the full professional workflow, from initial briefing and client management to project execution and delivery. Practical Experience: Translate classroom knowledge into applied skills, making you a confident and job-ready candidate. Competitive Monthly Stipend: Your contribution is valued, and you will be supported with a stipend for the duration of your internship. Ready to build your future in design? Submit your portfolio and resume to start the conversation. Key Changes and Benefits: Strong Career-Oriented Framing: The headline and descriptions consistently frame the internship as a strategic career step, not just a temporary role. Focus on Skill Acquisition: Responsibilities are phrased to highlight the transferable professional skills the intern will develop and master . Reframed Requirements: Changed to ""Your Foundational Profile,"" positioning requirements as the starting point for growth rather than just a checklist. Enhanced Value Proposition: The ""What You Will Gain"" section is expanded to clearly articulate the long-term career benefits, including job readiness and industry insight. Professional Tone: Uses more assertive and professional language (""Launch Your Career,"" ""Master Project Coordination,"" ""Invest in Your Career Future"") to attract serious, ambitious candidates. Clear Call to Action: The closing line invites candidates to take a proactive step for their career"
BIM Modeller,0.715181923686898,"interior design consultant, senior interior designer, interior design firm",12,0.48765766971129687,0.6005942790118961,ID2122 – Ecodesign And Sustainability,"Aedas is one of the world’s leading architecture design practices with a core mission to create inspiring designs that enhance the built environment and enrich lives — today and for future generations. Aedas leverages on its global network of expertise and deep understanding of local culture to deliver design solutions tailored to the nuances and needs of the communities we design for. We take a holistic design approach to sustainability with the goal of maximising benefits to the natural environment and communities, thereby building a better environment in which to work, live, play, and learn. Aeda s operates from 3 principal Design Centres in Asia, Europe and the Middle East with a global network of 13 offices and over 1,000 staff spanning 4 continents﻿. With a commitment to design excellence, we offer expertise in Architecture, Interior Design, Master Planning and Urban Design, across a broad range of sectors including Commercial, Residential, Mixed-Use, Education, Hospitality (including Integrated Resorts), Retail, Transportation, Aviation, Civic & Cultural, and Sports & Leisure Job Summary: Supports the Interiors Design team (Hospitality) in preparing drawings and documentation. ﻿Key Responsibilities: • Assist in preparing design and technical documentation under supervision. • Assist in preparing statutory documentation under supervision. • Assist with BIM model updates and design coordination under supervision. • Work with Interior Designers and team members to prepare drawings, specifications and models. • Maintain drawing accuracy and documentation consistency using firm standards. ﻿Key Competencies: • Basic technical drafting and digital modelling skills. • Good attention to detail and well organised. • Ability to review own work and contribute to documentation quality. • Awareness of digital delivery tools and digital collaboration workflows. Apply Here - https://careers.aedas.com/jobs/7127757-bim-modeller?promotion=1810978-trackable-share-link-application-link"
Senior Interior Designer,0.7091259562825682,"interior design consultant, senior interior designer, interior design firm",12,0.4704354849021571,0.6047588116085268,ID2107 – Design Platforms A,"Join Our Creative Team at SOG Design! Are you passionate about interior design and eager to work on diverse projects? SOG Design is a leading architectural and interior design firm dedicated to designing cutting-edge structures that inspire and transform spaces, is looking for a talented Senior Interior Designer to join our dynamic team. About Us: At SOG Design, we pride ourselves on delivering innovative and high-quality design solutions to our clients. Our collaborative environment allows you to work closely with architects and designers from our regional offices, ensuring a holistic approach to every project We are currently looking for a highly motivated Senior Interior Designer to join our team based in Singapore. As a Senior Designer, your main responsibility will be to collaborate closely with the SOG Design lead on design and construction projects across Singapore and the Asia Pacific region, while also contributing to the expansion of our interior design capabilities. You will play a crucial role in producing design work for architectural projects, including the creation of presentations, 3D models, graphics, and visualization documents to effectively communicate design ideas and project concepts to clients. Roles and Responsibilities: • Display exceptional creativity and innovative thinking while delivering high-quality design and technical work, inspiring others. • Execute the complete design process, starting from initial sketches and continuing through to the beginning of production. • Demonstrate a comprehensive understanding of the design process and project objectives, coordinating the preparation of project deliverables and other related activities. • Apply your expertise in all phases of Interior Design project deliverables, from Concept Design to Construction Administration, to ensure the successful realization of design concepts. • Work independently or with minimal supervision on various assignments, including conceptual design, schematic design, design development, space planning, and construction documentation. • Foster a boundlessly creative approach and constantly push the boundaries. • Actively participate in internal and consultant meetings. • Possess excellent time management, communication, collaboration, and multitasking skills, including the ability to manage multiple projects and meet deadlines, while also being capable of working independently. • Exemplify a collaborative work environment that encourages innovation and the sharing of best practices. • Take a leadership role in team efforts, delegating work to team members to enable them to work autonomously. • Cultivate professional relationships across the organization and actively seek leadership opportunities by guiding and supporting junior team members. • Develop effective relationships with clients and consultants. • Assist senior colleagues in client presentations and make valuable contributions during project meetings and client engagements. • Take responsibility for aspects of project budgeting and collaborate with stakeholders to ensure successful project delivery. • Strive to gain a working understanding of cost control, fee management, project finance, and explore methods to maximize project fees without jeopardizing client relationships and potential future work opportunities. Job Requirements: • Possess a Bachelor's or Master's degree in a relevant design field or hold equivalent certification, with professional registration preferred. • Singaporeans and Singapore PRs are preferred for the position • Fluent in both spoken and written English. • Have at least 6 years of experience working on large-scale, mixed-use projects. • Display enthusiasm for architecture and design, along with a commitment to reliability and teamwork. • Proficient in commonly used computer applications within the field, with expertise in Revit being essential. • Showcase exceptional design talent through a portfolio that demonstrates creativity and innovative thinking. • Have a successful track record of delivering large-scale projects through all stages of work, particularly within the APAC regions. • Possess strong organizational and supervisory skills, with a proven ability to manage projects and teams to achieve excellent results. • Demonstrate leadership abilities and a desire to mentor junior staff. • Exhibit excellent time management, communication, organizational, and collaboration skills. • Coordinate and integrate the work of external contractors, suppliers, and professionals."
Architectural Designer,0.7084030666984995,"interior design consultant, senior interior designer, interior design firm",12,0.4735326492304256,0.5949500350316459,ID2107 – Design Platforms A,"We create vibrant, distinctive designs focused on contributing positively to people and cities. We see possibilities. We transform and regenerate spaces to celebrate context, inspire meaningful purpose and create value. SPARK is a global team of designers and thinkers creating architecture, urbanism, interiors, landscapes, research and branding. Using the evocation of the studio’s name “SPARK”; we have built vibrant, distinctive designs by generating ideas, collaboration, communication and an energy borne out of possibilities. We love people, places and all forms of culture, our open source of inspiration to purposefully transform and regenerate environments. We have designed at all scales; from handbags, pavilions, residential towers, mixed-use, waterfront destinations, civic buildings to urban planning. Our award winning projects include Clarke Quay in Singapore, the Shanghai International Cruise Terminal and the Starhill Gallery in Kuala Lumpur. Our Homefarm and BeachHut projects won the Future Experimental Category at the World Architecture Festival in 2015 and 2016. SPARK’s residential towers Arte S and MK won the German Design Council’s Iconic Awards for 2018 and 2021. Architectural Designer Responsibilities: Education: Degree or equivalent majoring in architecture and/or Urban Design 0-2 years of experience Enthusiasm for architecture, commitment, reliability and team spirit Excellent design and drafting skills and proficiency with computer-aided design (Sketch-up, CAD, Adobe CS, InDesign, Illustrator, Photoshop, Enscape, Rhino) Excellent physical model-making skills Organisational, project management and planning skills, including the ability to juggle multiple tasks Good communication skills If you think you fit the role, please send your CV to: admin@sparkarchitects.com Only shortlisted candidates will be contacted. SPARK is an equal opportunity employer."
"Interior Designer (Architectural, minor M&E",0.7066887766167387,"interior design consultant, senior interior designer, interior design firm",12,0.4752273064021,0.5829892702794931,ID2107 – Design Platforms A,"Production of scaled site plans and as built drawings (Architectural / minor M&E) Production of detailed, shop and construction drawings Liaison between supporting vendors together with Senior Designer / Creative Director from project commencement to completion Compilation of completed as built drawings Develop and prepare drawings and designs from sketches, specification sheets Ensure timely completion with project team members Attend site meetings /conduct site measurements for drawings production Perform any other duties and responsibilities as may be assigned from time to time Requirements Min of 5 years and proficient in AutoCAD, SketchUp, Revit and other modelling software or programs. Knowledge and experience of UD and BCA requirements advantageous Experienced with interior decoration, finishing materials, furnishing, accessories and artwork. Ergonomics design / drafting standards advantageous Nitec/ITC/Diploma/Degree in related field (Architectural / Engineering / Civil) Exceptional communicator Team player, self motivated, able to work independently Good interpersonal and people management skills Company profile ID.Inc Interiors Pte Ltd Architectural & Design Services11-50 employees ID.inc. is a regional interior design firm specialising in offering intelligent solutions for the corporate sector. Headquartered in Singapore we have regional experience across Asia including Malaysia, Thailand, and Hong Kong- and have undertaken projects up to 50,000 sq ft in size."
Interior Designer,0.7009234403723292,"interior design consultant, senior interior designer, interior design firm",12,0.45752407604661294,0.58956904976842,ID2107 – Design Platforms A,"Interior Designer About Us SCDA is an international practice integrating Architecture, Interiors and Landscape to create holistic spatial experiences. With offices in Singapore, Shanghai, Manila and New York City, SCDA has projects in over 80 locations across Asia, Africa, Europe, Oceania, and North America. In parallel, SCDA Lab pioneers social and cultural initiatives, applying research and design to enact measurable change and advance the environmental cause. The Opportunity We are seeking a design-driven Senior Interior Designer to join our Singapore studio. This role is for a strong designer with proven experience delivering residential and hospitality interior projects from concept design through schematic design and design development. You will work closely with senior designers to shape refined interior environments, contributing to SCDA’s design vision across high-profile international projects. This is a hands-on design role, suited to someone deeply engaged in design thinking, spatial quality, and material expression. Key Contributions Develop and carry interior design projects from concept design through schematic design and design development. Contribute to the design of completed residential and hospitality projects, maintaining design intent and quality throughout all stages. Lead and refine space planning, material palettes, detailing, and FF&E design. Produce clear, well-crafted drawings, 3D studies, and presentation materials using SketchUp, AutoCAD, and Adobe Creative Suite. Participate in internal design reviews and design presentations, articulating design ideas with clarity. Collaborate closely with architectural and design teams to ensure cohesive and well-resolved interior outcomes. Requirements Bachelor’s Degree or higher in Interior Design, Interior Architecture, or Architecture. Minimum 5 years of professional experience, with a portfolio demonstrating completed residential and hospitality interior projects. Proven experience delivering projects from concept through schematic design and design development. Strong design sensibility with a refined eye for spatial composition, proportion, materiality, and detailing. Proficiency in AutoCAD, SketchUp, and Adobe Creative Suite; familiarity with Revit is an advantage. Strong visual communication skills and the ability to articulate design ideas clearly. Design-focused, self-motivated, and comfortable working in a collaborative studio environment. Why Join Us At SCDA, design excellence sits at the heart of our practice. You will join a collaborative, design-led studio with exposure to international residential and hospitality projects, and the opportunity to further develop your design voice within a globally recognised practice. Application Interested candidates are invited to submit a CV and portfolio as a single PDF, clearly demonstrating design development across all stages and completed residential or hospitality projects, to careers@scdaarchitects.com. Please include current and expected salary, as well as notice period. Only shortlisted candidates will be contacted."
Senior Project Executive,0.7006675228615983,"interior design consultant, senior interior designer, interior design firm",12,0.44546242406320297,0.6124127661815855,ID2107 – Design Platforms A,"About the Company Studio Mojo is a multidisciplinary studio comprising consultants and designers with solid track records. We’ve carved a niche in spatial design and execution, creating transformative 360-experiences across galleries, commercial interiors, immersive content, and exhibitions. About the Role As a Senior Project Executive , you will support and learn from senior team members while taking responsibility for parts of project delivery. With at least 3–4 years of relevant experience, you’ll bring a working knowledge of design or build projects and the drive to grow into a full project management role. Responsibilities Assist in managing timelines, budgets, and deliverables across multiple projects. Coordinate with suppliers, contractors, and vendors to support smooth execution. Contribute to the preparation of project proposals, pitches, and presentations. Maintain responsive and professional communication with clients and team members. Prepare and maintain project documentation such as meeting notes, photo records, and feedback forms. Support adoption of Studio Mojo’s processes and tools (e.g., Project Management tools and AI applications). Take initiative to improve workflow, client service, and team efficiency. Qualifications Diploma in Architecture, Interior Design, Project Management, or related field. 3–4 years of relevant experience in design, build, events, or creative industries. Basic understanding of project workflows, budgeting, and supplier coordination. Strong organizational and multitasking skills with attention to detail. Effective communication skills in both client-facing and team settings. Eagerness to learn, adapt, and take on increasing responsibility over time. Familiarity with project management or design software is an advantage."
FFE Designer,0.6993872458521289,"interior design consultant, senior interior designer, interior design firm",12,0.4618348072117673,0.5732666148371097,ID2107 – Design Platforms A,"FFE Designer About Us SCDA is an international practice seamlessly integrating architecture, interiors, landscape and object-making to create holistic spatial experiences that are intrinsically sustainable. With offices in Singapore, Shanghai, Manila and New York City, SCDA has projects in over 80 locations across Asia, Africa, Europe, Oceania, and North America. In parallel, SCDA Lab pioneers social and cultural initiatives, applying research and design to enact measurable change and advance the environmental cause. The Role We are seeking a motivated FF&E Designer to join our Singapore Interiors team. This role supports the selection, design and coordination of furniture, fixtures, equipment, lighting, artwork and accessories for both hospitality and residential projects. You will assist in preparing design presentations, sourcing materials, and ensuring that every element aligns with SCDA’s refined design language and overall project vision. Responsibilities Assist in the design, sourcing and specification of furniture, fixtures, lighting, artwork and accessories. Prepare FF&E mood boards, presentation layouts and material palettes that reflect the project concept and design intent. Develop and maintain FF&E schedules, specification sheets and budgets under the direction of senior designers. Coordinate with clients, suppliers and manufacturers to obtain samples, quotations and technical information. Review shop drawings, prototypes and material submissions to ensure quality and design alignment. Collaborate with architectural and interior design teams to ensure FF&E integration with the overall design vision. Organise and maintain the FF&E library, samples and documentation for ongoing and completed projects. Participate in site coordination and installation reviews where required. Requirements Degree in Interior Design, Interior Architecture or a related field. Min 5 years’ experience in interior design or FF&E roles. Strong design sensibility and familiarity with luxury hospitality and residential interiors. Proficiency in AutoCAD, SketchUp, Photoshop, InDesign and Microsoft Office. Excellent communication and organisational skills with attention to detail. Must be proficient in spoken and written English ; Mandarin fluency is an advantage. Ability to work collaboratively in a fast-paced, design-focused environment. Application To be considered, please submit your portfolio showcasing relevant project experience along with your detailed resume. Applications without a portfolio will not be shortlisted. Please send your application to careers@scdaarchitects.com . We regret that only shortlisted candidates will be contacted."
Senior Exhibition Designer,0.6992676980431958,"interior design consultant, senior interior designer, interior design firm",12,0.4530535251444659,0.5902314399270467,ID2107 – Design Platforms A,"About us GSM Project is a design firm specialised in the ideation, creation and production of visitor experiences. Our team works on observation decks, brand experiences, museum and science centre projects across the globe. Take a closer look at what we do and how we do it  GSM Project. Job Summary We are seeking a Senior Creative to join our Singapore team. Reporting to the Managing Director and Associate Creative Director, the experienced Senior Exhibition Designer will lead the development of spatial elements of our projects, including circulation, artefact placements, and bespoke interior/product design. You will drive the 3D design process from inception through completion, translate complex narratives into physical environments, provide technical leadership, mentor junior designers, and liaise with contractors and external partners to ensure design intent is realized. Responsibilities Lead the creation of sophisticated 3D design concepts that advance experiential storytelling and enhance visitor engagement Translate complex narratives into compelling spatial storytelling through high-end rendering and rapid sketching techniques Integrate media, lighting, soundscapes, and interactive elements seamlessly within physical environments to elevate visitor experiences Produce and oversee detailed technical packages for production, ensuring materials and construction methods meet budgetary and aesthetic standards Manage design timelines and deliverables independently or in collaboration with Project Managers to ensure high-quality client outcomes Facilitate collaboration between curators, content developers, and fabrication teams to maintain design coherence and integrity Mentor and guide junior designers to foster creative excellence and professional growth within the team Navigate complex spatial and technical challenges by developing innovative and elegant solutions Demonstrate initiative and autonomy in leading workstreams within a fast-paced, dynamic environment Required competencies and certifications Based in Singapore 6-8 years of experience in creative roles within entertainment, design, architecture, or construction industries Proficient in advanced 3D software including SketchUp, Blender, and Rhino to develop and communicate design concepts Skilled in Google Workspace applications including Docs, Sheets, Slides, and Gemini for project documentation and collaboration Experienced in Adobe Suite applications including Photoshop, Premiere, and After Effects for visual content creation Excellent written and spoken English communication skills to effectively collaborate with diverse stakeholders Ability to perform effectively under high-pressure situations Preferred competencies and qualifications Multilingual abilities considered an asset for collaboration in international and multicultural project environments"
