title,combined_score,topic_label,topic_module_count,avg_similarity,max_similarity,best_module,description
LANDSCAPE ARCHITECT,0.7476099900756091,"plantation gardener, gardener, landscaping",5,0.5136990939243367,0.7106517625293725,LAD3003 – Professional Practice,"Job Description 1. General project work in all phases from concept up to detailedconstruction drawings, preparation of documentation and any otherproject materials under supervision of a team leader. 2. Monitor work progress to ensure project development is according todesign and time schedules. 3. Prepare and communicate design intent by computer generated orhand drawings within or outside office. 4. Liaison with clients, consultants, contractors and suppliers. 5. Attend project / technical / consultant and / or other co-ordinationmeetings. 6. Supervise, guide and advise Landscape Technicians working on theproject. 7. Any other duties that may be assigned from time to time by the teamleader. Job Requirements 1. A motivated and hardworking individual with good attitude who is ableto work independently as well as collaboratively in a team. 2. Individual with excellence in design and willingness to work hard andtakes initiative to complete given tasks thoroughly and efficiently. 3. Excellent academic performance as demonstrated by awards, forexample, Dean’s List, Prizes, Commendations. 4. Proficiency in AutoCAD / Vectorworks, SketchUp, Lumion, Photoshop,Microsoft Office and any other computer-aided drafting and designsoftware. 5. Good hand drawing skill and sketching ability. 6. Evidence of English language proficiency, both written and spoken. 7. Bachelor’s degree from a recognized Landscape Architecture programand University"
Horticulturist/Landscape Architect with horticultural experience,0.7347100696913034,"plantation gardener, gardener, landscaping",5,0.5056536891607483,0.6622429701350203,LAD2006 – Design 3,Description on duties 1.1     Formulate landscape design concepts 1.2     Prepare presentation drawings 1.3     Prepare detailed designs and planting plans for tender 1.4     Supervision of landscape site work. Qualifications 1.1     Degree in Landscape Architecture and have at least 3 years of relevant working experience in landscaping 1.2     Registration with Singapore Institute of Landscape Architects is an advantage 1.3     Ideally able to use software tools such as AutoCAD / 3D computer rendering (lumion/enscape/vray) / Photoshop / Sketch-up / Revit 1.4  Knowledge of plants in tropical and temperate climate is essential Email: hr@woha.net
Design Manager,0.7050726050508243,"contractors design requirements, architectural designs, architectural design",5,0.4602195808865875,0.6049238634809464,LAD3003 – Professional Practice,"Develop and present innovative design concepts that balance functionality, aesthetics, and sustainability Collaborate with the project management team to ensure seamless integration of the design process with overall project execution Attend client meetings, presentations, and site visits as needed Lead and manage the design process for a portfolio of architectural projects, collaborating closely with clients, project managers, and the design team Oversee the production of detailed design drawings, specifications, and technical documentation Ensure projects adhere to relevant building codes, regulations, and industry standards Provide mentorship and guidance to junior designers, fostering their professional development Interested applicants, please apply online or send your resume in WORD format to davidnhbsg@gmail.com; ram@deshingroup.com; wayne@deshingroup.com; shawn@deshingroup.com Thank you for your application but we regret that only shortlisted candidates will be notified."
Landscape Technician,0.7028764844177515,"plantation gardener, gardener, landscaping",5,0.44840912755425544,0.6175641669802469,LAD2006 – Design 3,"Grow, maintain and transplant      flowers, shrubs and trees Maintenance and installation of      sprinkler systems Construct walkways, walls and      small foot bridges Follows plans and specifications,      inspects and directs the planting of landscape material associated with      improvement, beautification, and erosion control Create and adhere to various      watering and feeding schedules Plan new growth planting patterns      in distinct seasonal changes Identify detrimental insects or      plant disease and eliminate them Ability to adhere to a      predetermined budget Operate a variety of mechanical      equipment If certified or under the      supervision of a certified applicator will apply chemicals Requirement Primary/Secondary/’O’      Level Education with relevant landscape gardening experience. With      WSQ Landscape Operation (Entry Level) Certification will be an advantage. No      age limit with ability to work outdoors. Physically      fit to handle tools and move around easily during work. Working Hours and Office Location: · 5.5-day work week · Office location: Mandai Estate · Work location: Various Sites"
Senior Interior Designer/Design Manager,0.6971579190486579,"contractors design requirements, architectural designs, architectural design",5,0.4325223306474422,0.6207449339484051,LAD3003 – Professional Practice,"Key Responsibilities: 1.      Design Direction and Presentation: a.      Provide design guidance, creative direction, and innovative proposal to meet client requirements. b.      Present and effectively communicate design intent during client pitches and project discussions. 2.      Client Management: a.      Efficiently handle multiple projects concurrently, overseeing them from start to finish, design, and executionphases. b. Ensure that projects are completed on time and meet client expectations. 3.      Design Implementation: a. Conceptual design for pitching projects, including mood board, rendering. b.      Translate design concepts into detailed plans, ensuring that aesthetic intent aligns with technical feasibility. c.      Collaborate with design principal, and clients, qualified Persons and vendors to refine and finalize design details. d.      Collaborate with MEP engineers to ensure the seamless integration of mechanical, electrical, and plumbing systems within theinterior design. e.      Produce comprehensive construction drawings, including floor plans, elevations, sections, and details, with a focus on precision and clarity. 4.      Building Management Submissions: a.      Prepare and submit drawing package required for approvals from building management. b.      Coordinate with QP for submission to relevant authorities. c.      Manage the submission process, tracking progress, and ensuring timely approvals. 5.      Project Design Coordination: a.      Coordinate with project teams to integrate architectural, structural, MEP, and interior design elements seamlessly. b.      Coordinate with procurement team to select feasible materials for design implementation. c.      Collaborate with Project Leaders from project initiation to completion, offering design expertise and insights. d.      Attend adhoc meetings related to design and project matters, including client meetings, project meetings, and site visits. e.      Monitor the implementation of design intent on-site and provide guidance or recommend design changes as necessary. 6. As-Built Submissions: a.      Ensure that all design changes and solutions are seamlessly integrated into project documentation. b.      Oversee the creation of accurate as-built drawings, reflecting the final state of the project post-construction. c.      Ensure that as-built submissions are complete and comply with relevant industry standards. Requirements: 1.      A recognized Degree/Diploma in Interior Design or an equivalent qualification. 2.      Proficiency in a range of design-related software, including Hand Sketch, Sketchup, AutoCAD, and similar tools. 3.      A minimum of 5 years of relevant experience in commercial design, showcasing strong technical knowledge in areas such as shop drawings, site surveys, and detail drawings. 4.      Proven experience in managing projects from  start to finish, encompassing sales, design, and execution. 5.     Exceptional flair for creative design and a meticulous eye for design details. 6.      Highly proactive with outstanding coordination and execution skills."
Landscape Coordinator/Landscape Manager Assistance,0.6967668785385361,"plantation gardener, gardener, landscaping",5,0.4446629259487369,0.5945085407952063,LAD3003 – Professional Practice,"Attend site visits and tender show round Propose and design simple yet sustainable landscape designs for specified sites Prepare quotes and landscape maintenance reports Coordinate work orders with ground crew Dealing with complaints from client on site Prepare maintenance schedule Monitor and recording of site staff attendance Handling few projects assigned and coordination To be responsible for the administrative and operational for landscape project aspects, including liaise with customers for project requirements and progress Requirements Degree/Diploma in Horticulture, Arboriculture or other related fields with minimum of 1 yr experience in landscaping industries Required language(s): English, Chinese (in order to deal with complaints from Chinese speaking client on site) Dynamic and energetic Good team player with ability to lead and multi-task Committed to work Required Skill(s): Microsoft Office Excellent interpersonal and communication skills Prefer candidates with horticulture or arborist knowledge On-the-job training provided Entry level candidates with the revelant Polytechnic / WSQ Diploma / Degree are welcomed Working Hours and Office Location: 5.5-day work week Office location: Mandai Estate Work location: Various Sites"
Landscape Supervisor,0.6959919198892658,"plantation gardener, gardener, landscaping",5,0.43703308613876773,0.6058934271687931,LAD2006 – Design 3,"Ensure work tasks are completed on time. Handle client questions on the landscape project. Identify symptoms, pests and diseases. Improve growing conditions using proper nutrient fertilisers and soil mix. Manage landscape maintenance works (Pruning, Weeding, Mulching) Organise work orders with the ground crew. Esnure and plan work safety regulations are followed. Plan daily work schedule for the workforce. Review of the plant health, soil, water and other environmental conditions. Review sites according to the health and safety regulations."
Architectural Manager (HDB/Condo/Landed Projects),0.6931697782686208,"contractors design requirements, architectural designs, architectural design",5,0.443348035466673,0.5791528204097579,LAD3003 – Professional Practice,"Lead the architectural design team and oversee design development. Ensure designs comply with regulatory requirements and client expectations. Review design proposals and provide innovative solutions for complex projects. Coordinate with consultants and project managers for smooth design integration. Requirements: Degree in Architecture with strong technical knowledge. At least 4 years’ experience in HDB, Condo, and Landed developments. Strong project management and client coordination skills. Proficient in AutoCAD, Revit, or equivalent. If you are keen to apply for the position, kindly email your detailed resume in MS Word to hr@recruit-expert.com Please note that only shortlisted candidates will be notified. For more job opportunities, please visit our website at www.recruit-expert.com EA Licence: 19C9701 Registration: R1326740"
Interior Designer,0.6870825405258738,"contractors design requirements, architectural designs, architectural design",5,0.41667973747773884,0.6020532276738911,LAD3003 – Professional Practice,"Key Responsibilities: 1. Design Creation & Implementation: a. Conceptual design for pitching projects, including mood board, rendering. b. Translate design concepts into detailed plans, ensuring that aesthetic intent aligns with technical feasibility. c. Collaborate with design principal, and clients, qualified Persons and vendors to refine and finalize design details. d. Collaborate with MEP engineers to ensure the seamless integration of mechanical, electrical, and plumbing systems within the interior design. e. Produce comprehensive construction drawings, including floor plans, elevations, sections, and details, with a focus on precision and clarity. f. 2D Drawing & Drafting 2. Building Management Submissions: a. Prepare and submit drawing package required for approvals from building management. b. Coordinate with QP for submission to relevant authorities. c. Manage the submission process, tracking progress, and ensuring timely approvals. 3. Project Design Coordination: a. Coordinate with project teams to integrate architectural, structural, MEP, and interior design elements seamlessly. b. Coordinate with procurement team to select feasible materials for design implementation. c. To ensure project executed aligns with design intent and requirement. 4. As-Built Submissions: a. Ensure completion of as-built drawings on schedule, accuracy of as-built drawings, reflecting the final state of the project post-construction. b. Ensure that as-built submissions are complete and comply with relevant industry standards. Requirements: 1. Possess an accredited Bachelor's or Diploma in Interior Design or an equivalent qualification. 2. Proficiency in a range of design-related software, including Hand Sketch, Sketchup, AutoCAD, and similar tools. 3. Demonstrated experience of at least 1-2 years in commercial design projects, showcasing a strong grasp of technical aspects, such as shop drawings, site surveys, and detailed drawings."
Architectural Coordinator,0.6861021166345089,"contractors design requirements, architectural designs, architectural design",5,0.4204123997516795,0.5896857836691857,LAD3003 – Professional Practice,"Job Responsibilities : Collaborate with architects, engineers, and consultants to ensure the integration of design elements across disciplines Review and coordinate architectural plans, drawings and specifications to maintain design intent and accuracy Assist in the planning, scheduling, and management of architectural projects Monitor project progress, ensuring timelines and budgets are adhered to Prepare, review, and manage architectural documentation, including design proposals, tender packages and construction documents Job Requirements : Diploma or Degree in Building/Architecture or other related field Minimum 3–5 years of experience in architectural design, project coordination, or related roles Proficient in architectural software such as AutoCAD, Revit, SketchUp, and BIM tools Strong understanding of construction techniques, building codes and standards Good technical detailing , specification knowledge and aesthetic sensibilities Problem-solving mindset with attention to detail Proactive, self-motivated and adaptable to dynamic project requirements"
