title,combined_score,topic_label,topic_module_count,avg_similarity,max_similarity,best_module,description
"Director, Transactions Management",0.7049947598710804,"property management services, property management, chambers property management",5,0.43011738388789317,0.6647390315796152,RE3701 – Real Estate Investment Analysis,"About the role You will deliver Portfolio Strategy and Transaction Management (TM) services to some of the world’s largest companies. This position calls for an energetic, detail-oriented professional with excellent project management, analytical, communication and collaboration skills as well as experience of managing real estate strategies and transactions across Asia Pacific. Comfortable in working towards achieving performance targets, you will be responsible to deliver a range of possible real estate and workplace solutions to clients looking for the next generation benefits that come from a vested partnership with JLL. Portfolio Strategy & Planning – Country, City and Metro plans, Global Initiatives Assessment of portfolio performance, portfolio rationalization and divestment, lease vs. ownership structures, cost reduction initiatives and bid support to achieve business change. Lead planning process to develop strategies to lower real estate costs and improve workplace effectiveness. Identify opportunities for optimization, cost saving and improved ROI in the Client portfolio Conduct fact-based analysis using occupancy, portfolio, real estate, and business data to align stakeholders on informed real estate plans. Through strong business relationships and clear, compelling business cases, challenge status quo thinking to drive unexpected portfolio optimization opportunities Develop overarching strategies related to workplace, organization, process, sustainability, operations and finance to govern the portfolio and set a foundation for city master plans Analyze inputs from the strategic planning process and on-account systems (business requirements, costs, facility information, cap-ex requirements, forecasts, occupancy data, lease and market data) Analyze and make recommendations with respect to strategic dispositions, investment and market opportunities, hold versus sell analysis, feasibility studies, asset review and market studies, highest and best use analysis, acquisition and advice analysis and valuations for sale/leaseback purposes Develop multiple practical options supported by strong business cases that optimize NPV and enhance productivity and innovation Be a SPOC for all Portfolio related client inquiries and a representative in global calls and initiatives Manage expectations, timelines and delivery against Client requirements, represent both JLL and the Client’s interest on the long term Transaction Management You will execute a wide variety of real estate transactions, including capital and lease acquisitions, sale and leasebacks and disposition transactions through local Markets teams across Asia, demonstrating a high level of proficiency and knowledge. You will actively engage with client’s senior stakeholders to define objectives and agree requirements at the outset of a strategy and transaction. Financial Acumen You will need to: Prepare and evaluate financial analysis documents. Support and contribute to the client’s budget forecasting. Forecast revenue and initiate and close-out projects to meet monthly cashflow plan. Monitor and closely control legal budgets and resolve billing queries. Relationship Management You will build strong and sustainable working relationships and help the client navigate through the JLL delivery platform in an efficient and productive manner. You will be the face of Portfolio Strategy and Transaction Management towards the Client both regionally and globally. People Management You possess strong leadership skills to manage brokers across geographies and actively engage across the client’s wider corporate real estate team and internal stakeholders in a collaborative manner. You demonstrate a high level of proficiency and knowledge in portfolio management and possesses the ability to orchestrate complex activities across multiple countries/properties/services at once to accomplish goals and objectives. Commercial Acumen You will understand account profitability, formulate an account plan to achieve revenue and performance targets whilst meeting client service standards. Armed with a sharp business acumen, you will leverage on technology and new products within JLL to deliver the next generation of benefits for our client. Operating a Global Account Can you see the bigger picture? Can you juggle regional delivery that aligns to a global strategy? As the TM lead for Asia on a Global Account, you are proactive in bringing Asia into the forefront, highlighting successes or potential issues whilst providing tangible solutions for the client. Can you communicate clearly and guide the client and your team on the best way forward for best in class processes and portfolio strategies at an account level? Sound like you? Here is what we’re looking for: Great Communicator Can you get your ideas across clearly both verbally and in writing? You’ll be working with many diverse interest groups so the way you share information and your ability to persuasively convey information is highly important. A high EQ is must for this role. You will have exceptional client management, communication and presentation skills and the ability to absorb and translate broad concepts and ideas into clear and logical communications. Ambitious You will be results-oriented with confidence to liaise effectively with all levels of management. Have commitment to collaboration and teamwork, and would thrive to exceed team goals. Resilient Transaction Management is a highly dynamic part of JLL’s business. It’s fast paced and you’ll need to be fast paced as well. You’ll need a positive mind set and a ‘can do’ attitude when multi-tasking driving change and delivering efficiencies. Naturally proactive, you’ll possess the innate ability to identify risks in delivery before it becomes an issue. At JLL, we have a continuous improvement mentality across our business and we’ll be looking for you to have the same. A flexible, resourceful and proactive individual who is able to produce results and guide the team to deliver the same. You will have the ability to work well under pressure and support the team without compromising quality. Experienced You will be an experienced real estate professional with a minimum of 10-12 years’ experience who has delivered positive results across the APAC region. You will be familiar with working with fast moving MNC clients with a regional presence and multiple service lines and possess prior experience in managing a team."
Senior Finance Analyst,0.7030808349321276,"property management services, property management, chambers property management",5,0.42756544564387977,0.6602732833728778,RE4701 – Real Estate Development,"Key Responsibilities 1. Financial Modelling & Investment Analysis Build and maintain development and acquisition financial models (DCF, IRR, NPV, equity waterfall, sensitivity analysis). Analyse GDV, construction costs, land cost, financing costs, exit values and cash-flow timing. Evaluate different ownership and investment structures (direct holding, SPV, JV, fund structures). Stress-test assumptions under various market, interest-rate and sales-velocity scenarios. 2. Singapore Property Market Analysis Conduct micro-market research by district, sub-market, and asset class (residential, industrial, commercial). Track URA data, transaction trends, price indices, rental yields, take-up rates, and supply pipelines. Assess the impact of government policies (ABSD, BSD, SSD, LTV limits, cooling measures, GLS/IGLS supply). Monitor URA Master Plan and infrastructure developments affecting asset values. 3. Deal Evaluation & Due Diligence Support feasibility studies for new developments, redevelopment and value-add opportunities. Review key due-diligence inputs: valuation reports, cost plans, sales assumptions and consultants’ reports. Assess project risks (planning, construction, sales, financing, regulatory) and propose mitigation strategies. 4. Investment Committee & Stakeholder Support Prepare investment memoranda, IC papers, and executive summaries for senior management and investors. Translate complex financial outputs into clear insights and recommendations. 5. Portfolio & Performance Monitoring Track actual vs forecast performance for live projects and stabilised assets. Analyse deviations in costs, sales velocity, pricing and cash flows. Support periodic asset revaluation and portfolio reporting. Requirements Technical & Analytical Strong proficiency in Excel financial modelling (advanced formulas, scenario analysis). Solid understanding of real estate finance metrics: IRR, NPV, DSCR, LTV, ICR, GDV. Familiarity with Singapore property regulations and tax framework. Ability to interpret market data and translate it into investment insights. Professional Background Degree in Finance, Real Estate, Economics, Accounting, or related discipline. 2–5 years of experience in real estate investment, development, advisory, valuation, or fund management. Experience covering Singapore property is strongly preferred. Soft Skills High attention to detail with strong commercial judgement. Clear written and verbal communication skills (able to brief senior stakeholders). Ability to work across multiple projects and tight timelines. Strong ethics and professionalism in handling confidential information."
Key Account Manager,0.6856044642039686,"property management services, property management, chambers property management",5,0.4096124438881999,0.608797433243443,RE4803 – REIT and Business Trust Management,"PropertyGuru is Southeast Asia’s leading PropTech company, and the preferred destination for over 32 million property seekers monthly to connect with over 50,000 agents monthly to find their dream home. PropertyGuru empowers property seekers with more than 2.1 million real estate listings, in-depth insights, and solutions that enable them to make confident property decisions across Singapore, Malaysia, Thailand and Vietnam. PropertyGuru.com.sg was launched in Singapore in 2007 and since then, PropertyGuru Group has made the property journey a transparent one for property seekers in Southeast Asia. In the last 18 years, PropertyGuru has grown into a high-growth PropTech company with a robust portfolio including leading property marketplaces and award-winning mobile apps across its markets in Singapore, Malaysia, Vietnam, Thailand as well as the region’s biggest and most respected industry recognition platform – PropertyGuru Asia Property Awards , events and publications across Asia. About the Role As a Key Account Manager , you will play a pivotal role in growing PropertyGuru’s business by developing strategic client relationships, uncovering new opportunities, and driving value for some of our most important partners. You will combine deep market understanding with strong commercial acumen to deliver solutions that help our clients win and fuel PropertyGuru’s continued leadership in the region. As a Guru you will be accountable for: Drive strategic account growth by identifying new and existing business opportunities and expanding PropertyGuru’s presence within key client segments. Build and nurture long-term partnerships , ensuring clients receive consistent value and an exceptional service experience. Conduct detailed market and competitor analysis to identify trends, opportunities, and emerging client needs. Drive sales initiatives and conduct trainings to increase product adoption, drive revenue growth, and exceed sales targets. Develop compelling proposals and presentations that clearly communicate our value propositions and data-driven insights. Collaborate cross-functionally with Product, Marketing, Operations, to align on solutions with broader business objectives and client requirements. Support and work alongside with senior key account manager to achieve team targets We're looking for someone who: Proven experience in business development or key account management , with a track record of meeting or exceeding sales goals. Hands-on experience with cold calling and face-to-face client meetings , with the confidence and communication skills to engage prospects, pitch value propositions, and convert opportunities into revenue. You are comfortable initiating conversations, handling objections, and building rapport quickly in both virtual and in-person settings Strong strategic and commercial thinking , with the ability to identify opportunities and execute effective growth plans. Exceptional relationship management skills , including the ability to influence, consult, and build trust with clients. Analytical and data-driven mindset , capable of interpreting market insights to guide recommendations and decision-making. Highly proactive, self-motivated, and outcome-oriented , with strong leadership qualities and a passion for driving client success. Strong team player , you actively collaborate, support teammates, and contribute to a positive, high-performance team culture. Ability to work effectively with minimal supervision , demonstrating maturity, accountability, and strong organizational skills. You can prioritize tasks, manage time independently, and consistently deliver results in a fast-paced environment. Our commitment to you: Hybrid flexible working that focuses on outcomes over hours. Holistic rewards package covering your financial, physical & mental health. Multi-directional career development across all levels. Inclusive benefits like equal paternity leave, supporting all employees in work-life balance."
Industrial Property Consultant,0.6808527726492304,"property management services, property management, chambers property management",5,0.411359342825842,0.5815451775944677,RE4701 – Real Estate Development,"About the Role We are seeking a motivated and analytical individual to join our consultancy team as an Industrial Property Consultant . In this role, you will work closely with industrial clients to develop a thorough understanding of their business operations, financial position, workforce profile and operational requirements. This understanding will be applied to support property-related decisions that have direct implications on the client’s operations, cost structure and long-term planning. The role is primarily analytical and report-driven. This position is well suited to individuals who are comfortable working with data, structured documentation requirements and who enjoy producing clear and substantiated reports. Key Responsibilities Business and Operational Assessment • Review clients’ financial statements. • Analyze clients’ business models and operational workflows. • Review employee headcount, manpower composition and organizational structure. • Assess operational scale, space utilization and site requirements. Property Planning Support and Reporting • Prepare structured analyses for industrial property planning. • Draft reports for property-related applications. • Develop structured strategies relating to space requirements and site usage. • Ensure reports and submissions are accurate, consistent and complete. Coordination and Engagement • Obtain information and data from clients. • Clarify data and assumptions with relevant parties. • Respond to queries on reports and supporting materials. • Coordinate documentation with internal and external parties. • Manage multiple assignments and timelines concurrently. Qualifications and Requirements • Ability to review and interpret financial statements. • Strong analytical capability. • Strong written communication and report-writing skills. • Proficiency in Microsoft Word and Excel. • Organized and detail-oriented. • Ability to manage multiple tasks and deadlines. • Diploma or higher qualification in any discipline. • Prior experience in business analysis, reporting, consultancy support or property-related roles is an advantage. What We Offer • Competitive monthly remuneration. • Performance-based incentives. • Annual performance bonus and Annual Wage Supplement. • On-the-job training and guidance. • Professional and collaborative working environment."
Relationship Manager,0.6739814506321958,"property management services, property management, chambers property management",5,0.3845399978164346,0.60082725752811,RE4701 – Real Estate Development,"PropertyGuru is Southeast Asia’s leading PropTech company, and the preferred destination for over 32 million property seekers monthly to connect with over 50,000 agents monthly to find their dream home. PropertyGuru empowers property seekers with more than 2.1 million real estate listings, in-depth insights, and solutions that enable them to make confident property decisions across Singapore, Malaysia, Thailand and Vietnam. PropertyGuru.com.sg was launched in Singapore in 2007 and since then, PropertyGuru Group has made the property journey a transparent one for property seekers in Southeast Asia. In the last 18 years, PropertyGuru has grown into a high-growth PropTech company with a robust portfolio including leading property marketplaces and award-winning mobile apps across its markets in Singapore, Malaysia, Vietnam, Thailand as well as the region’s biggest and most respected industry recognition platform – PropertyGuru Asia Property Awards , events and publications across Asia. About the Role As a Relationship Manager, you will play a critical role in expanding PropertyGuru’s customer base by engaging and supporting mass market agent clients. This role is hunter-focused: you will drive new business acquisition through proactive outreach, effective prospecting, and strong product pitches. You will be responsible for building early-stage relationships, understanding agent needs, and helping them get started on our platform. You will recommend relevant products, and ensure every agent receives professional, high-quality service. This role is ideal for someone energetic, driven, and eager to grow a career in sales within the PropTech industry. As a Guru you will be accountable for: Acquire new clients through high-volume cold calling and proactive outreach to mass market agent clients. Conduct high-volume cold calling and outreach to build a strong pipeline of prospects and generate new revenue opportunities. Be comfortable with face-to-face engagements, including client meetings, networking sessions, and training events, representing PropertyGuru professionally and confidently. Deliver effective product pitches and demonstrations, clearly explaining how PropertyGuru’s solutions can support agent success. Build early-stage relationships with agent clients, providing guidance and support as they start using the platform. Identify client needs and recommend suitable products, ensuring agents understand the value and features of our solutions. Support account onboarding and activation, including helping new clients set up, navigate their account, and optimise their usage. Maintain strong service standards, ensuring mass market clients receive professional and timely support. Gather market feedback and competitor insights to help improve product offerings and sales strategies. Collaborate with team mates to surface opportunities, share market insights, and support go-to-market initiatives. Hit and exceed monthly sales and activity targets, demonstrating consistency, resilience, and drive. Be a strong team player, work and communicate well with team mates, sharing insights, and supporting team initiatives to contribute to a positive and cohesive working environment. We're looking for someone who: Experience in sales, telesales, customer service, or business development, preferably in a high-volume or fast-paced environment. Strong hunter mentality, motivated, persistent and results-oriented. Confidence in cold calling and client engagement, with the ability to deliver clear pitches and handle objections effectively. Excellent communication and interpersonal skills, with the ability to build rapport quickly with agent clients. Positive, energetic, and resilient, with a strong desire to learn and grow in a commercial role. Organised and self-driven, able to manage your time, track activities, and follow through consistently. Team player, willing to collaborate, share insights, and contribute to the overall success of the commercial team. Ability to work effectively with minimal supervision, demonstrating maturity, accountability, and strong organizational skills. You can prioritize tasks, manage time independently, and consistently deliver results in a fast-paced environment. Our commitment to you: Hybrid flexible working that focuses on outcomes over hours. Holistic rewards package covering your financial, physical & mental health. Multi-directional career development across all levels. Inclusive benefits like equal paternity leave, supporting all employees in work-life balance."
Assistant Manager/Manager - Portfolio & Asset Management (Real Estate),0.6739658191482194,"property management services, property management, chambers property management",5,0.3935357449251001,0.5827576058908964,RE3701 – Real Estate Investment Analysis,"This is a newly created position and working very closely with an established senior management team that embrace an excellent work culture of performance. They are a multi-asset firm with real estate as one of their biggest portfolios. With their value-add strategies, you will be looking to be very hands-on in managing their asset enhancement initiatives. Their portfolio will comprise of logistics, living and healthcare. You will be responsible for a wide scope of work including portfolio management, asset management, lease, project and development management. This will include formulating and executing overall fund strategy, including overseeing asset allocation and asset management plans. You will oversee, prepare and manage annual asset plan / budgets and financial reports, with the assistance of the asset management and finance teams. You will recommend asset enhancement, redevelopment, divestment opportunities and managing the sale process. You will participate in any potential development/ investment transaction process. You will be managing and work closely with the appointed property agents to ensure the assets are well-managed. You will liaise with various stakeholders in the conceptualization, formulation and implementation of asset enhancement. You will be supporting the investment team in property acquisitions, fund raising, fund management, general corporate finance work too. You will be responsible for carrying out financial modelling and assist in feasibility studies to support projects identified for major real estate asset enhancements, redevelopment and transformation. You will assist in analysing, planning of real estate assets within the portfolio to determine its highest and best use. As part of the Lease Management, you will maintain good tenant relationships and oversee in lease negotiations to ensure high occupancy rate including setting leasing strategy, re-gearing leases and negotiate surrender/re-letting opportunities. You will be responsible for driving the global leasing of properties within the portfolio, including attending to securing tenants. You will be analysing and reviewing rental, renewal options and prepositions as well as negotiation. This will include reviewing and recommending lease terms, negotiating with prospective tenants to achieve desired rent and occupancy. You will also be involved in Project and Development Management such as managing the budget, resources, scheduling etc. You will oversee site entitlement and due diligence effort for new construction and re-modelling projects across portfolio of real estate. You will participate in project scoping and budgeting as well as managing all aspects of the due diligence process including but not limited to feasibility studies, geotechnical evaluations, environmental assessments, and surveys. Requirements: Degree in Finance, Real Estate, or equivalent. Preferably at least 5 years’ experience in similar capacity either Portfolio or Asset Management or Development management Strong financial skills, analytical mind, and creative thinking Excellent verbal and written communication skills Fast learner, ability to work independently, multi-task, and execute efficiently in a fast-paced dynamic environment All applications will be treated in the strictest confidence. Personal data provided will be used for recruitment purposes only. Please apply with your CV in word document format. We regret to inform that only shortlisted candidates will be notified. For other positions related to real estate, please go to https://careers.tri-cap.com.sg/. EA Licence: 24S2282 EA Personnel: R1109270"
Marketing Analytics Specialist,0.6656380592073698,"property management services, property management, chambers property management",5,0.3988911631383118,0.5304079697602253,RE4701 – Real Estate Development,"PropertyGuru is Southeast Asia’s leading PropTech company, and the preferred destination for over 32 million property seekers monthly to connect with over 50,000 agents monthly to find their dream home. PropertyGuru empowers property seekers with more than 2.1 million real estate listings, in-depth insights, and solutions that enable them to make confident property decisions across Singapore, Malaysia, Thailand and Vietnam. PropertyGuru.com.sg was launched in Singapore in 2007 and since then, PropertyGuru Group has made the property journey a transparent one for property seekers in Southeast Asia. In the last 18 years, PropertyGuru has grown into a high-growth PropTech company with a robust portfolio including leading property marketplaces and award-winning mobile apps across its markets in Singapore, Malaysia, Vietnam, Thailand as well as the region’s biggest and most respected industry recognition platform – PropertyGuru Asia Property Awards , events and publications across Asia. For more information, please visit: PropertyGuruGroup.com ; PropertyGuru Group on LinkedIn . Recognised as a Top Employers Certified* organisation, we’re proud to be among the best workplaces in the region—celebrating an inclusive culture of excellence, growth, and well-being. About the Role We are hiring a Marketing Analytics Specialist to drive analytical thinking, data exploration, and measurement across Growth and Product Marketing. This role focuses on data analysis, insight generation, and performance measurement, enabling teams to make informed, evidence-based decisions. You will work with large, complex datasets across product, user behavior, and marketing touchpoints to uncover trends, assess impact, and translate data into clear insights for senior stakeholders. This is a individual contributor role, reporting to the Growth & Product Marketing Lead, and partnering closely with Product, Data, and Marketing teams. As a Guru, you will be accountable for : Data Analysis & Insight Generation Analyse first-party platform and marketing datasets to identify: User and agent behaviour patterns Search, intent, and engagement signals Adoption, retention, and usage trends Conduct deep-dive analyses to answer strategic questions around: Feature and product adoption Marketing effectiveness and value delivery Behavioural changes across user segments Translate complex analyses into clear, structured insights and recommendations for non-technical stakeholders Marketing & Growth Measurement Frameworks Define and own marketing and growth measurement frameworks, including: Metric definitions and success criteria Funnel, cohort, and segmentation logic Design, build, and maintain scalable dashboards and reports, ensuring: Consistent definitions across teams Data accuracy and reliability Clear interpretation of results Partner with Data and Engineering teams to: Validate data sources and pipelines Improve data quality and availability over time Experimentation & Performance Analysis Design and analyse experiments and A/B tests, including: Hypothesis definition Measurement approach Post-test analysis and readouts Evaluate growth initiatives and campaigns through: Incrementality analysis Trend and variance analysis Performance comparisons across channels and cohorts Produce structured performance summaries that inform: Prioritisation decisions Optimisation opportunities Future experimentation Analytics Enablement & Decision Support Act as a trusted analytics partner to Growth and Product Marketing stakeholders Proactively surface insights and risks, rather than responding only to ad-hoc requests Help establish a culture of data literacy and analytical rigour within Marketing What we are looking for: Experience in: Data analytics Marketing analytics Growth or product analytics Strong hands-on expertise in: Advanced SQL (complex joins, window functions, performance optimisation) Data analysis and modelling techniques Dashboarding and BI tools (e.g. Looker, Tableau, Power BI) Experience working with: Customer and behavioural data (e.g. GA4, Segment) Marketing and attribution data (e.g. Braze, AppsFlyer) Proven experience analysing: Funnels, cohorts, and user segments Experiments and A/B tests Solid understanding of paid marketing channels (e.g. Meta, SEM) from a measurement and analytics perspective Nice to Have Experience in product-led, marketplace, or platform-based businesses Familiarity with data modelling or analytics engineering concepts Strong storytelling and stakeholder communication skills Our commitment to you: Hybrid flexible working that focuses on outcomes over hours. Holistic rewards package covering your financial, physical & mental health. Multi-directional career development across all levels. Inclusive benefits like equal paternity leave, supporting all employees in work-life balance. At PropertyGuru, you’ll be part of a Top Employers Certified* company that puts people at the heart of everything we do."
Estate Manager,0.663377068339261,"property management services, property management, chambers property management",5,0.3542526606854801,0.6083800203253448,RE4701 – Real Estate Development,"Company Overview / Employee Value Proposition Welcome to OneSG Holding Pte Ltd, a leading provider of property management services. Our team of experienced professionals is committed to delivering exceptional service tailored to the unique needs of strata living environments and condominiums. We offer a wide range of customized management services to ensure that our clients receive the highest levels of support in every situation. Contact us today to discover how our tailored property management solutions can meet your specific needs. OneSG Holding Pte Ltd is a trusted Managing Agent Services company dedicated to providing top-notch property management services. We focus on Mechanical, Electrical & Fire Management, Building Defects & Facade Management, R&R Works & Project Management, and Energy Efficiency Management, establishing ourselves as a reliable partner for property owners. Our highly committed HQ provides business support and technical expertise, while our established procedures and SOPs adhere to market best practices. Our team of experienced and qualified professionals are specialists in their respective fields and knowledgeable in legislations and regulations relating to MCST management and building-related compliances. We value the trust and confidence our clients place in us and endeavor to uphold that trust should we be appointed as Managing Agent for MCST. OneSG offers a full spectrum of property management services with in-depth knowledge of project management, including water tank maintenance replacement, lift modernization, and other essential asset enhancement initiatives for aging MCST estates. With years of property management experience, the dedicated staff at OneSG have become true experts in the local Managing Agent Services market with Management Corporation Strata Title, MCSTs. We believe in Outcome/Performance-Based facility management systems. As a property management company, we are dedicated to doing whatever it takes to help you achieve your estate goals with professional and digital tools in strata living environments or condominiums. Learn more about OneSG. Job Summary The Building Manager leads the comprehensive management and operational oversight of the building, ensuring compliance with statutory requirements and delivering high standards of maintenance and service. Reporting to senior leadership, you will drive financial stewardship, coordinate cross-functional teams, and engage stakeholders to enhance property value and resident satisfaction. Responsibilities Serve as the primary liaison to the council and residents by actively listening to inquiries and delivering effective solutions to improve community satisfaction Maintain a professional and courteous demeanor in all communications to foster a positive and supportive environment Manage overall office administration to ensure organized and efficient operations Advise the Corporation on all property-related matters, ensuring compliance with bylaws, laws, and statutory requirements Convene, attend, and document minutes for Council, Sub-committee, general, and extraordinary meetings to support transparent governance Handle inquiries, complaints, and correspondence related to the Corporation, property, and subsidiary proprietors with timely and accurate responses Coordinate and engage contractors, solicitors, auditors, architects, engineers, and other professionals with prior Corporation approval to execute maintenance and project works Act on behalf of the Corporation in responding to notices or orders from public or statutory authorities concerning the property Collect and recover all monies due to the Corporation, initiating legal proceedings when necessary to secure payments Ensure timely payments to contractors and service providers for property upkeep, statutory charges, licenses, professional fees, rent, insurance, and taxes Maintain accurate financial records of all monies received and expended on behalf of the Corporation Prepare and submit annual budgets to determine expenses and recommend contribution rates for management and sinking funds Deliver financial reports on contractual matters governing the property to the Corporation for informed decision-making Review service contracts for cost-effectiveness and advise the Council on necessary changes or renewals Monitor utilities consumption and implement timely actions to achieve cost savings or recover overpayments Oversee day-to-day building operations, ensuring all maintenance and administrative staff perform to the highest standards expected by clients and subsidiary proprietors Lead teams responsible for maintenance, finance, security, fire safety, and car park management to deliver seamless property services Ensure all contract works and routine servicing comply with contractual agreements and quality standards Review contracts, agreements, and insurance policies before expiry and recommend renewals or initiate quotations and tenders Coordinate council and general meetings to facilitate effective stakeholder engagement Manage the property’s condition to comply with all relevant legislation, standards, and requirements, including BMSMA and cautionary practices Track and resolve estate matters arising from AGM/EOGM, Council, Sub-committee meetings, and resident feedback from planning through execution to closure Develop estate work plans with Portfolio Manager guidance for approved projects, major events, and tasks aligned with AGM cycles Assist in preparing specifications, calling tenders, evaluating bids, and recommending contractors to the Corporation Conduct regular property inspections to verify maintenance quality and service provider performance Implement preventive maintenance programs approved by the Corporation to sustain property condition Manage site staff performance, behavior, and attitudes to uphold the Corporation’s best interests Maintain regular communication with Portfolio Manager and Business Unit Head on major issues, breakdowns, complaints, project progress, emergencies, and liabilities Perform additional duties as assigned by supervisors to support operational excellence"
SENIOR MANAGER,0.6610015242363646,"property management services, property management, chambers property management",5,0.3519605514820483,0.601086518217726,RE4701 – Real Estate Development,"Responsibilities: Conduct real estate market research, site investigations, and project investment assessments; Compile market research and data collections on various real estate matters; Collect development land & project information to perform the preliminary analysis; Develop tender strategies and positions by studying the land tender documents, examining risks and potential opportunities; Prepare feasibility study reports in Chinese, and liaise with HQ for clarifications and follow-ups to ensure approvals are obtained; Prepare working papers, correspondence, documents, plans, presentation materials and other relevant materials; Liaise with external consultants, such as marketing consultants and legal consultants; Perform feasibility studies and evaluations of the projects, including financial, market, and economic analyses Preparing the annual investment budget and cash flow plans, ensuring rationality and effective implementation; Coordinate audits and compliance checks for real estate projects. Lead issue tracking and ensure timely resolution; Any other assignment as and when required. Requirements: A Bachelor Degree/ Master Degree in Real Estate, Business, Finance, Economics, Engineering, or other related fields; At least 5 years of relevant experience in real estate, investment, business development, or finance and accounting, with a good understanding of the real estate sector; Working experience in a Chinese real estate developer, especially with a finance and accounting background, will be preferred; Familiarity with the Singapore real estate market and regulations set by relevant government authorities will be preferred; Proficiency in spoken and written English and Mandarin; A proven track record in investment and development projects; Ability to manage multiple tasks and perform well under pressure; Good knowledge of relevant software."
"Senior Associate, Real Estate",0.6503847478391165,"property management services, property management, chambers property management",5,0.35431357116326795,0.5432965968690464,RE4701 – Real Estate Development,"Job Description Senior Associate, Real Estate Department The department is under Real Estate. This department is primarily responsible for creation of real estate strategies and products, matching them with the right investors and to manage the investments till the end of its life cycle. As such, the department is supported by 2 teams. One team is the Investment and Portfolio Management team, and the other is the Investor Relations team. Designation and Reporting Your designation is Senior Associate, Real Estate. You will report to one of the investment managers in the department, as assigned by the Head of Department. Scope of Work Your role is to assist the team in its various responsibilities, which includes the following (but not limited to): 1. Deal Evaluation Perform financial modeling and analysis Coordinate with various departments on input parameters Conduct legal, tax, technical and financial due diligence Prepare investment papers for Investment Committee approval 2. Capital Deployment & Deal Execution Coordinate with external service providers on the acquisition and fund set-up Support deal negotiation and acquisition of land Address tax/legal related activities pre and post-acquisition 3. Fund Raising Educate the wider team on both the qualitative and quantitative aspects of the deal Accompany the team for fund raising efforts provide inputs to investors on the market, structure, and deal specifics 4. Fund Administration Done collectively with Investor Relations Preparation of notices i.e. draw down, distribution, etc. Storage of Fund and Investor information. Internal filing and organization together with Wee Hur Capital's admin. 5. Tax Incentive Compliance Establish tax incentives for newly set-up funds Handle the on-going reporting of tax incentives 6. Research PBSA specific, macro and situation research Preparation of semi-annual research update Work with Business Development, Asset Management and Portfolio Management on situational research where necessary 7. Internal Reporting & Planning Regular monitoring and updating of senior management on: deals evaluated, operational and financial performance of the portfolio, portfolio valuations and trends in the market Actively monitor fund liquidity, interest rates, control fund expenses, and perform fund level modelling Participate in regular planning for department 8. Corporate Initiatives To actively participate in corporate tasks/growth plans to help the organization move forward and ahead of competition 9. Ad-Hoc Support You might be tasked with ad-hoc tasks from time to time by the Head of Department to support other teams depending on workload requirements. Job Requirements Bachelor’s degree in Finance, Real Estate, Economics, or a related field 2–4 years of relevant experience in real estate investment, fund management, or financial analysis Strong financial modeling and analytical skills Familiarity with legal and tax aspects of real estate transactions Excellent communication and presentation skills Ability to work collaboratively across departments and with external stakeholders Detail-oriented with strong organizational and documentation skills Proactive and adaptable to a dynamic work environment"
