course,type,code,description
economics,core,7351,"This course is designed for students who have a background in basic probability and statistics and who intend to pursue a quantitative major in SMU. The course gives a mathematical introduction to statistical and probability concepts. It is intended for students with interests in Actuarial Science, Economics and Econometrics, Operations Management, Finance, Marketing Research, and Statistics. Students are expected to be mathematically oriented or at the very least, be interested in mathematics. Students taking this course are expected to have some basic knowledge in calculus and statistics. Course Learning Outcomes Students who complete the course should be able to: 1) Utilize numerical and graphical methods to explore data. 2) Explain and apply the basic probability theory and statistical inference methods to handle real- world issues. 3) Build up a solid foundation for upper-level courses where quantitative analysis techniques are essential. Grading Basis GRD - Graded Course Units 1"
economics,core,601,"This is a course on calculus and linear algebra, designed for economics students. It covers linear algebra, univariate and multivariate calculus, and simple differential and difference equations. The course assumes basic familiarity with the concept of a function, the basic properties of elementary functions, and derivatives of functions of one variable. Strong foundation in Calculus is required for this course. Course Learning Outcomes 1. To outline the standard mathematical techniques that are essential for under-standing modern economics 2. To illustrate the mathematical tools that will enable students to fully master all undergraduate economics and econometrics courses. 3. To provide students with the mathematical skills to frame an economic problem. 4. To enable students both to mathematically analyze an economic problem and to describe the economic intuition of the problem and the solution in plain language. 5. To provide students with the analytical skills to systematically evaluate various aspects of an economic problem. 6. To help students combine their solid analytical skills with an innovative idea to improve the functioning of an economic institution. Grading Basis GRD - Graded Course Units 1"
economics,core,481,"This course aims to equip students with a basic understanding of econometric methods and models. It is a hands-on course in which students will learn how to analyse economic data in light of various economic theories. It emphasises the use and interpretation of single-equation regression techniques in formulating and testing micro, macro and financial economic hypotheses. Cross section and time series modeling, quantitative and qualitative choice variables, model misspecification, diagnostics and selection will be discussed. Illustration will be given of the uses of econometrics in a variety of areas through statistical analysis, problem solving and econometric estimation using statistical packages, on the computer. Course Learning Outcomes By the end of the course, students will be able to: 1) Understand the fundamental econometric models used for analyzing economic data. 2) Use computer software to conduct estimation and inference procedures. 3) Demonstrate the ability to interpret the results from the econometric analysis. Grading Basis GRD - Graded Course Units 1"
economics,core,23041,"This course provides students with a foundational study of the concepts and theories underlying individual choice, and price formation and government intervention in perfectly competitive markets. The approach combines economic intuition with a rigorous treatment of the concepts taught. Students will learn the micro foundations of individual and market demand, individual and market supply, price elasticities. about the price formation under perfect competition in one market and in all markets (general equilibrium), as well as the two Welfare Theorems of Economics and the scope for government intervention. Finally, they will also learn marginal analysis as a powerful tool for problem solving. During the course, the applicability of these concepts to practical situations and their linkages to various economic electives will be discussed. Course Learning Outcomes At the end of this course, students will be able to: Grading Basis GRD - Graded Course Units 1"
economics,core,23061,"This course is the first part of a two-course Macroeconomics sequence. The aim of the sequence is twofold. First, it is to introduce students to modern macroeconomic theory, in particular formal macroeconomic models built on microfoundations. Second, it is to develop a deep understanding of macroeconomic phenomena such as business cycles, long-term economic growth, and the process of economic development, as well as macroeconomic policy issues, such as the impact of fiscal and monetary policy on the economy and the design of a social security system or an unemployment insurance scheme. This first part of the sequence first covers the topic of measurement of macro-economic variables, before easing students into micro-founded macroeconomics by developing a static general equilibrium model with production and using it to analyze a number of fiscal policy issues. The course then moves on to a dynamic framework and covers the mechanics of long-term economic growth and the role of policy in economic development. Students are then introduced to dynamic decision problems when considering consumption and savings decisions of households and investment decisions of firms, and these building blocks are combined with a Walrasian approach to the labor market to complete the development of a dynamic macroeconomic model, which is then used to consider fiscal policy questions like the role of the timing in taxes and government expenditures. Course Learning Outcomes A more detailed list of topics is covered under weekly lesson plan on page 3. By the end of this course, you will be able to: Identify and have a working knowledge of the basic concepts and terminology of macroeconomics Demonstrate an understanding of the role of economic models in explaining economic phenomena, as well as the limitations of those models Think through economic relationships using the concepts and models you have learned. Solve problems and make recommendations based on those models, graphically and algebraically. Critically analyze current economic news and events in light of the concepts learned in this class. By the end of the course students will have had a firm grasp of the key concepts and issues in macroeconomics. They should have an in-depth understanding of the foundational macroeconomic models and be able to apply them in their thinking and analyses of economic problems. Grading Basis GRD - Graded Course Units 1"
economics,core,521,"This course will provide an introduction to the developmental challenges in Asia. The course will begin with introducing the distinction between concepts of economic growth and development. The course will have a strong emphasis on understanding the life and well-being of people in Asian countries through the lens of development economics. We will attempt to diagnose the causes of underdevelopment by analysing its components such as lack of sufficient access to education, savings, and nutrition, and study how these can cause the persistence of underdevelopment. We will also look at dimensions of identity such as gender and how development policy can be designed in the presence of prejudice. Finally, we will study how the delivery of public goods and services is constrained by issues like state capacity, corruption and political institutions. Policy implications emerging from the material we have studied will be also discussed. Course Learning Outcomes To understand the factors that lead to persistence of underdevelopment in the empirical context of Asia. Learning how to examine the evidence on policy relevant interventions. This will involve looking at tables with statistical output. By the end of the course you should be more comfortable making inferences based on statistical output that is presented to you. To develop and sharpen your analytical and presentation skills by participating in class discussions and debates. To acquire an appreciation of the issues involved in designing and evaluating developmental policies. Grading Basis GRD - Graded Course Units 1"
economics,core,581,"The course is structured into two parts: international trade and international finance. The first part of the course introduces the theory and policy of international trade. The issues involved include the bases for trade, the determinants of trade pattern (direction, terms, and volume), the effects of trade on income redistribution, as well as the various types of frequently-used trade policies, and their welfare consequences. The second part of the course introduces the theory and policy of international finance. The topics discussed include the balance of payment, the international monetary systems, the stabilisation policies of governments to adjust internal and external imbalances, and their effectiveness under alternative exchange rate regimes and different degrees of international financial market integration. Course Learning Outcomes CLO1: Understand the bases for trade, the determinants of trade pattern, and the effects of trade on income distribution. CLO2: Understand the classical trade models (that focus on comparative advantage as the source of gains from trade). CLO3: Understand the new trade theories (that rely on imperfect competition and/or increasing returns to scale as the rationale for trade). CLO4: Understand the welfare properties of trade policies. CLO5: Understand the balance-of-payments accounting, the models on exchange rate determinations, and capital mobility. CLO6: Understand the thoeries on currency crises and the international monetary systems. Grading Basis GRD - Graded Course Units 1"
economics,core,9591,"This course examines the economic determinants of cross-country trade patterns and welfare properties of trade policies. We first introduce economic models that focus on cross-country differences (in technology, in factor endowment), imperfect competition, or increasing returns to scale as the rationale for trade and the consequences of opening to trade on national welfare and on income distribution within and across countries. We then examine the economic causes and effects of increasing trade in intermediate goods or services through international outsourcing and foreign direct investment. In the third component of the course, we examine efficiency properties of frequently used trade measures, the political economy of trade protection, and welfare effects of preferential trade liberalizations such as free trade agreements against the backdrop of multilateral trade liberalizations sponsored by the WTO. Economics first major students who do this course must do International Macroeconomics as well to replace International Economics. Course Learning Outcomes CLO1: Understand the bases for trade, the determinants of trade pattern, and the effects of trade on income distribution. CLO2: Understand the classical trade models (that focus on comparative advantage as the source of gains from trade). CLO3: Understand the new trade theories (that rely on imperfect competition and/or increasing returns to scale as the rationale for trade). CLO4: Understand the theories on foreign direct investment and outsourcing (that study trade in intermediate goods and services). CLO5: Understand the welfare properties of trade policies. CLO6: Understand the mechanism design of multilateral trade agreements (GATT/WTO), and the welfare effects of preferential trade agreements. Grading Basis GRD - Graded Course Units 1"
economics,core,9601,"This course will cover basic concepts, tools and facts needed to understand the functioning of the global economy and international financial markets. We develop a theoretical framework for the analysis of the determinants of current account deficits, international capital movements, real and nominal exchange rates. We also examine the relationship between interest rates and exchange rates, and discuss various measures of global capital market integration. This framework is then used to discuss relevant policy issues such as the emergence of the US as a foreign debtor, the developing country external debt crises and balance-of-payment crises. Economics first major students who do this course must do International Trade as well to replace International Economics. Course Learning Outcomes By the end of the course students will have had a firm grasp of the key concepts and issues in international macroeconomics and finance. Grading Basis GRD - Graded Course Units 1"
economics,core,23051,"This course provides students with a foundational study of the concepts and theories underlying economic interactions in markets and public organisations. The approach combines economic intuition with a rigorous treatment of the concepts taught. Students will learn about public goods, externalities, monopoly and monopsony, and oligopoly. In addition, students will learn the tools to deal with decisions under risk and how asymmetries of information affect economic institutions. Finally, students are introduced the basic concept from Game Theory, which provides a rigorous treatment of strategic decision making. During the course, the applicability of these concepts to practical situations and their linkages to various economic electives will be discussed. Course Learning Outcomes This course forms the second part of the core microeconomics sequence. Students will acquire foundational knowledge of microeconomics and develop analytical reasoning skills. In addition, students will understand how microeconomic concepts and principles are applied to economic problems that evolve around market failures, such as public goods and externalities, monopoly, oligopoly, and asymmetries of information. Equipped with economic thinking and analytical tools, students will also be prepared for future learning in upper-level economic courses Grading Basis GRD - Graded Course Units 1"
