course,type,code,description
architecture,core,20-101,"The studio establishes foundations for architectural design through three projects that build in scope and complexity to have students engage issues of 3-dimensional geometry and drawing, space and component aggregation, ordering systems, structure, circulation and narrative, and tectonics. The design process is introduced as an iterative form of research, experimentation, and play, enabling students to develop conceptual ideas about architecture and translate them into a series of physical and material investigations. Each exercise is envisioned as an introduction to design thinking through an increasingly more complex set of relationships with regard to formal procedures, programs, and systems. Students are required to work in both physical and digital models, and rehearse both analogue and digital drawing techniques for each exercise. The exercises will test both conceptual and analytical thinking as well as aid in the development of representational skills. – Number of credits: 21 Workload: 12-0-9* *The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study."
architecture,core,20-102,"Architecture Core Studio 2 expands the scope of architectural problems to include the urban scale, complex building structures, as well as cultural and programmatic materials (inhabitation and human factors). Two subsequent and interrelated design problems engage students in programs of public institutions in the context of higher education in Singapore. At the end of the studio, students are expected to be able to translate spatial, material, programmatic, and representational ideas into a comprehensive and powerful architectural proposal that articulates nuanced and convincing approaches to institutional building programs in the Singapore urban context. Number of credits: 21 Workload: 12-0-9* *The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study."
architecture,core,20-103,"Architecture Core Studio 3 expands the complexity of architectural design challenges further to the issue of human habitation. Seeking sustainable approaches to high-density living students will investigate the essential physical and social requirements for human dwelling and the mutual potentials evolving between the urban condition and innovative forms of residence. Applying integrative design strategies building structures will be developed as coherent synthesis of load-bearing systems and of concepts for spatial hierarchies that anticipate issues like program, circulation and relation to the territory. With the provision of human comfort being a primary concern of habitation the design studio will also focus on the envelope’s capacities to control and facilitate exposure to climate, on its materiality and composition. In coordination with other courses students will expand design strategies to an integrative and simultaneous development of architectural form and building systems and develop an understanding of the relevance of building performance parameters. Number of credits: 21 Workload: 12-0-9* *The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study."
architecture,core,20-111,"Option Studio 1 builds upon the foundational principles established in Core Studio 3 on urban design, extending the scope of architectural inquiry into the international realm. This studio invites students to critically engage with urbanism beyond the local context, fostering a comparative and experiential understanding of sustainable design across diverse cultural and spatial settings. The studio encourages students to compare and contrast these international urban environments with the Singaporean context. Using methods such as mapping, overlay analysis, and diagrammatic studies, students will extract insights that inform new design propositions. These proposals aim to generate innovative spatial-temporal interventions that respond to contemporary challenges in urban sustainability, while reflecting the nuanced interplay between global precedents and local conditions. By synthesising cross-cultural urban experiences, Option Studio 1 cultivates a critical design approach that is both globally informed and locally responsive, preparing students to contribute meaningfully to the evolving discourse on sustainable architecture and urbanism. By the end of this course, you will be able to: Number of credits: 18 Workload: 8-0-10* *The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study. Download all studio briefs"
architecture,core,20-112,"Option Studio 2: Speculative Urban Futures invites students to imagine alternative trajectories for Singapore by engaging deeply with speculative thinking. Grounded in research on contemporary culture, systems, and global paradigms, the studio encourages students to critically interpret the present while scanning the horizon for emerging futures. Through this process, each student develops individual, critically reasoned positions about possible futures. The studio introduces diverse techniques of projection, storytelling, and narrative-building, guiding students in transforming trans contextual observations into architectural abstractions and future oriented spatial narratives. Central to this is an understanding of transcontextuality and the interconnectedness between people, place, and planet—recognising that well-being and regenerative action are inseparable foundations for truly critical sustainability. This methodology offers a broader vantage point on sustainability and the role architecture plays in shaping resilient global futures. Students also acquire advanced skills in representation, fabrication, and model making to communicate imaginative and radical proposals. These explorations may take the form of absurd, utopic, or dystopic scenarios—each serving as a provocation that challenges assumptions and inspires thoughtful actions toward a regenerative, sustainable urban future. By the end of this course, you will be able to: No of Credits: 18 Workload: 8-0-10* *The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study. Download all studio briefs"
architecture,core,20-201,"The development of a building design to its actual construction is not a predetermined process. Each architectural design is an autonomous and unique scenario demanding a high level of creative invention supported by current and responsible technological knowledge. This understanding of the technology of assemblies should be less a mere familiarity with devices and products but rather, a working understanding of the forces, both general and specific, that affect the performance of building systems and the architecture. With this understanding, architects and engineers can then design physical assemblies and systems that both respond to and collaborate with these forces. The eventual humanity and beauty of any architectural construct is an almost pure reflection of the depth of both the thought of and individual, and the highly complex interactions of a collective effort. This course intends for the full depth of design possibilities to unfold and be revealed, not constrained, as technological issues are introduced. The building technology sequence in the core curriculum terms begins with an introduction to the performance requirements, physics and physical phenomena and construction systems of contemporary buildings. The intention of this class will be to link the diversity of physical forces relevant to building performance to the materials, components, assemblies and large scale systems that control and direct these forces and guide performance. This introduction will be phased to deliver to the entering Architecture and Sustainable Design student key concepts and essential analytical skills necessary for the rigorous selection and design of structural systems, enclosure and façade systems, environmental and energy systems, and circulation and interior systems. The scope of the class includes these major systems to an intermediate level of understanding and an introductory level of analysis and system design. Subsequent classes in the building technologies will build on all four systems in both detail complexity and integrative depth. This class is an introduction to the science and physics of building design and performance and an understanding of contemporary building construction methods, materials, and technical information necessary for a responsible making of a humane built environment. It is also intended as an introduction to the historical foundations and cultural contexts in which construction technologies have been developed over time. The focus of the class will be put on an understanding of tectonic principles: the materials and components that comprise buildings, their relationship to the manufacturing processes, and the forces and physical phenomenon of performance requirements. Beyond that there will also be a substantial discussion of the environmental consequences of the construction and operation of the built environment. While the scope of the course is broad, it is not, and could never be, a comprehensive treatment of all issues regarding the design and construction of buildings. However, the course will address all of the primary forces that determine the configuration, materials and processes of construction and the integration of building systems into the completed whole. The learning objectives listed below constitute the essential elements of a holistic understanding of the various ways in which contemporary building systems deliver services to occupants in a reliable, safe and efficient manner. The main learning objective will be the acquisition of an analytical understanding of the performance of building systems and a qualitative appreciation of the system dynamics of these systems within the larger construction and with regard to all other building systems. Students will be able to: The key outcome will be for the student to be able to articulately describe the performance of a building system, its function, its intended operational goals and its essential working elements. Also, the student will be able to measure the predicted performance of a system. Students will be able to:"
architecture,core,20-202,"The course provides students with basic knowledge of structural analysis and design. The course emphasizes the understanding of building structure as architectural elements and fosters a design attitude based on the understanding of forces and reactions. Students will design structures using force flow diagrams and simple computational tools and will gain an appreciation of the importance of structural design today, with an emphasis on the versatile performative potential of structures. The course will cover the following topics: basic analysis and design of structures; approximate loadings for buildings, basic axial bending and shear forces in typical structural elements; the importance of fixity and ground reactions relationship of architectural and structural properties; materials in relation to forces; structural systems as space generator and facade. The laboratory exercises include analysis, basic FEA modelling, physical model building and designing. The learning objectives listed below constitute essential elements of a holistic understanding of the various ways in which contemporary building structures deliver services to occupants in a reliable, safe and efficient manner. The main learning objective will be the acquisition of an analytic understanding of the inner force flow of structural systems and a qualitative appreciation of the flexibility of these systems within the larger construction and with regard to architectural and performative requirements. Students will be able to The key outcome will be for the student to be able to articulately describe the performance of a structural system, its function, its intended operational goals and its essential working elements. Also, the student will be able to conceptualize an appropriate structural system and modify its performance with respect to given boundary conditions. Students will be able to"
architecture,core,20-203,"Energy poses one of the greatest challenges to a future sustainable built environment. The individual buildings that comprise our ever-expanding urban landscape retain the potential to contribute significant efficiency savings to an overall mix of strategies necessary for a sustainable future. This class will address the needs of a variety of building types and the systems that distribute energy-based resources to their occupants. The course material will be taught using a weekly series of lectures, recitations, and assignments. Two lectures per week introduce key concepts and illustrative case studies. One recitation per week further explores information from the lectures through hands-on activities and software tutorials. Assignments will be based upon the knowledge gained in the lectures and recitations. Student groups will apply the assignments to conceptual space design, a chosen studio project, or a semester-long design project. There will be no formal exams in this course. You will be graded on your ability to utilize and explain the course concepts through your work on the ongoing class project. Recitations will not be formally graded, but will count towards the participation portion of a student’s grade and are necessary to complete the homework assignments. By the end of this course, you will be able to: Students wishing to enrol in the course must have completed Number of credits: 9 Workload: 5-0-4* *The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study."
architecture,core,20-212,"Digital Design and Fabrication investigates the transformation of conceptual design to production documentation and manufacturing within contemporary digital media. Situated at the threshold between virtual and physical, design information and artefacts, it is comprised of both design computation methods as well as material fabrication techniques. The course introduces advanced concepts of design computation such as imperative and declarative techniques of design description and analysis for fabrication, computer aided design and manufacturing workflows and technologies of materialization such as conventional fabrication protocols as well as rapid prototyping and numerically controlled manufacturing. – Number of credits: 9 Workload: 4-0-5* *The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study."
architecture,core,20-213,"Building and Urban Analytics provides rich, machine-readable representations of proposed building designs. With BIM, it becomes practical to embed into computational tools the accumulated knowledge regarding good design and construction practices. This subject is designed to provide students with fundamental knowledge and basic practical skills of the planning and execution of Building Information Models. It is also aimed to offer opportunities for students to establish a basic understanding of those elements that impact the generation of a Building Information Model, including methods of communication, data creation, social, and economic factors between trades. Building models will be challenged with analysis software to test for various performance criteria. Learning occurs through design cases of building over 4 stories and wide span structures as a way to learn behaviours of all building systems. Students will also use visual programming skills to design parametric schematics. – Number of credits: 9 Workload: 3-0-6* *The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study."
